repo_id,initial_date,end_date
2,3/30/2006,9/22/2014
14,3/17/2010,1/23/2015
15,3/28/2011,12/3/2014
16,11/29/2005,7/31/2014
17,1/17/2011,10/4/2014
18,10/6/2008,11/29/2014
20,12/6/2010,1/29/2015
22,4/26/2006,1/30/2015
23,10/10/2001,1/23/2015
24,1/3/2008,6/20/2013
26,7/31/2008,7/17/2014
28,1/24/2007,12/31/2014
29,9/2/2011,1/12/2015
30,5/1/2003,1/27/2015
32,11/7/2003,1/27/2015
34,10/10/2001,10/5/2011
35,11/8/2004,12/2/2014
36,10/14/2005,10/9/2014
38,11/28/2007,1/22/2015
196,1/9/2006,4/28/2010
39,9/13/2002,1/25/2015
40,8/5/2004,1/23/2015
41,3/29/2006,8/7/2013
42,11/13/2001,1/29/2015
43,9/14/2005,1/29/2015
44,4/20/2013,1/28/2015
45,10/10/2001,1/31/2015
46,12/27/2004,1/15/2014
47,10/10/2001,1/29/2015
48,7/24/2006,11/18/2014
50,10/30/2007,6/11/2014
51,12/3/2004,12/15/2014
54,9/1/2004,1/19/2015
55,3/13/2005,12/21/2014
198,10/1/2007,11/19/2014
57,1/16/2006,1/16/2015
58,10/4/2011,1/15/2015
199,8/22/2005,4/9/2014
61,2/14/2008,11/17/2014
62,5/13/2008,1/27/2015
63,3/3/2005,8/5/2014
64,1/3/2006,1/15/2015
68,9/13/2006,2/27/2014
56,8/21/2006,1/22/2015
71,6/20/2009,1/30/2015
89,10/22/2010,1/28/2015
143,4/18/2011,9/3/2013
73,6/18/2009,1/21/2015
74,2/1/2011,7/15/2013
75,12/10/2010,1/14/2015
77,12/2/2013,1/27/2015
202,1/3/2012,10/15/2014
78,7/15/2010,1/27/2015
79,12/4/2007,1/30/2015
203,9/26/2005,7/15/2008
81,9/3/2013,1/27/2015
83,3/8/2011,2/28/2014
84,1/7/2005,1/13/2015
85,1/9/2009,3/18/2014
86,8/31/2011,11/28/2014
87,2/22/2008,1/29/2015
88,3/5/2008,11/3/2010
25,7/2/2012,12/22/2014
93,12/16/2010,1/28/2015
94,5/11/2009,12/17/2012
95,8/17/2007,4/26/2013
96,10/10/2001,6/11/2014
99,12/3/2012,1/23/2015
100,5/18/2006,11/7/2011
101,8/26/2006,4/18/2014
104,8/8/2005,12/12/2014
105,10/13/2008,1/22/2015
106,10/10/2001,1/15/2015
107,12/6/2004,12/8/2014
112,9/29/2011,6/30/2014
113,4/28/2006,1/17/2013
114,2/2/2011,6/8/2012
116,5/20/2008,1/15/2015
117,5/18/2012,1/29/2015
118,12/9/2008,11/14/2014
119,5/12/2005,6/20/2013
120,9/20/2002,1/28/2015
121,2/28/2011,1/29/2015
122,5/24/2002,1/31/2015
123,4/15/2004,1/9/2015
124,3/10/2011,11/26/2014
125,9/12/2005,10/5/2014
126,8/14/2009,1/14/2015
127,3/1/2011,6/4/2014
128,9/17/2012,1/21/2014
129,9/8/2005,9/13/2011
130,4/4/2010,1/3/2015
133,10/10/2001,6/23/2014
134,4/22/2002,1/21/2015
207,10/10/2001,1/12/2015
135,8/3/2005,9/22/2014
136,2/8/2006,1/20/2014
137,3/10/2005,7/1/2009
138,10/25/2010,2/2/2015
139,10/22/2007,1/9/2015
140,8/8/2010,5/14/2014
142,3/13/2009,1/30/2015
144,12/15/2008,10/22/2014
145,7/26/2004,1/29/2015
147,10/15/2010,9/19/2014
148,5/6/2010,1/15/2015
210,6/10/2011,9/18/2014
149,2/16/2004,1/29/2015
150,10/14/2008,1/20/2015
152,4/30/2010,7/30/2014
153,5/19/2006,1/25/2015
154,4/8/2008,1/16/2015
156,12/23/2010,1/23/2015
157,6/22/2006,12/25/2014
158,2/23/2007,1/20/2015
159,10/17/2007,3/30/2011
161,10/23/2004,1/27/2015
162,1/29/2010,1/20/2015
163,2/9/2007,9/23/2014
167,1/14/2009,1/15/2014
168,7/18/2008,1/8/2015
169,4/13/2008,12/18/2014
170,7/11/2011,1/28/2015
171,7/18/2005,1/28/2015
172,3/6/2006,1/24/2015
173,11/29/2004,5/27/2014
174,8/1/2007,1/28/2015
175,9/24/2012,10/14/2014
176,8/1/2012,1/27/2015
178,6/9/2011,4/27/2014
179,7/25/2007,9/22/2014
182,4/4/2011,11/8/2012
183,8/14/2009,8/20/2014
185,4/10/2007,12/8/2014
186,9/25/2010,2/24/2014
189,7/10/2002,9/18/2014
190,1/14/2002,1/28/2015
191,8/15/2007,12/10/2014
192,2/21/2011,1/29/2013
194,11/18/2010,1/23/2015
19,5/11/2009,7/15/2011
31,6/30/2008,8/27/2014
