,temp,degree_centralization,betweenness_centralization,closeness_centralization,eigenvector_centralization,global_clustcoeff,assortativity,diameter,avg_degree,modularity,density,avg_path_length,vertices,edges
269,99_229,4.19047619,0,0.13968254,0.767872319,1,-0.150887447,154,14.85714286,0,2.476190476,1,7,52
267,96_72,1.566967742,0.042424127,0.006029016,0.909289694,0.5875,-0.180872504,31,17.696,0.079135997,0.142709677,1.760638298,125,1106
264,94_384,2,0.333333333,0.327380952,0.962613646,0,-0.581395349,206,4,0,1.333333333,1.333333333,4,8
263,93_173,0.943333333,0.040257649,0.035676471,0.798291459,0.786206897,-0.210187517,67,7.36,0,0.306666667,1.378787879,25,92
262,89_303,0.5,0.0625,0.239814815,0.479482396,0.75,-0.666666667,2123,4,-0.26,1,1.166666667,5,10
261,88_271,1.333333333,0,0,2,0,0,0,1.333333333,0,0.666666667,0,3,2
260,87_48,1.136842105,0.130501693,0.051597419,0.859677884,0.482758621,0.045960635,20,6.4,0,0.336842105,1.672727273,20,64
259,86_17,4.285714286,0.046258503,0.156051587,0.702548428,0.906976744,-0.027633109,24,22,0,3.142857143,1.095238095,8,88
258,85_91,1.4,0,0.0875,1.073074531,0,-0.5,33,2.4,0,0.6,1,5,6
257,84_424,2.58908007,0.010860906,0.004311804,0.93626489,0.705348705,-0.018406195,9,24.72131148,0.102666416,0.204308359,1.488636364,122,1508
254,83_164,3,0.013588065,0.093111285,0.610290907,0.911111111,-0.155752212,14,27,0,2.454545455,1.107142857,12,162
253,81_290,0.527472527,0.006015779,0.070163688,0.555444706,0.895522388,-0.33248731,36,7.142857143,-0.1272,0.549450549,1.107142857,14,50
252,79_41,1.904411765,0.054899805,0.063727126,0.771517204,0.713414634,-0.276767149,6,11.52941176,0,0.720588235,1.355555556,17,98
248,78_420,1.472432432,0.033517419,0.012172541,0.862446568,0.662465753,-0.113765476,10,19.04,0.036442028,0.257297297,1.531092437,75,714
243,77_204,0.346153846,0,0.036188811,0.818181818,1,0,105,1.846153846,-0.25,0.153846154,1,13,12
241,75_280,0.476190476,0.014814815,0.152548037,0.470849738,0.875,-0.5,33,5.142857143,-0.203703704,0.857142857,1.1,7,18
238,74_66,1.666666667,0,0.208333333,0.720243331,1,-0.333333333,139,7,0,2.333333333,1,4,14
237,73_283,0.194444444,0,0.026041667,1,0,0,807,0.444444444,-0.5,0.055555556,1,9,2
235,71_247,3.25,0.004619007,0.05614807,0.635477045,0.977760127,-0.032318354,43,48,0,2,1.028571429,25,600
233,68_360,0.4,0,0.1125,0.75,1,0,156,2,-0.333333333,0.4,1,6,6
