repo_id,initial_date,end_date
101,10/29/2001,2/19/2015
104,10/30/2001,2/20/2015
106,10/31/2001,2/21/2015
107,11/1/2001,2/22/2015
117,11/2/2001,2/23/2015
123,11/3/2001,2/24/2015
124,11/4/2001,2/25/2015
126,11/5/2001,2/26/2015
130,11/6/2001,2/27/2015
133,11/7/2001,2/28/2015
134,11/8/2001,3/1/2015
139,11/9/2001,3/2/2015
14,11/10/2001,3/3/2015
142,11/11/2001,3/4/2015
143,11/12/2001,3/5/2015
144,11/13/2001,3/6/2015
148,11/14/2001,3/7/2015
153,11/15/2001,3/8/2015
161,11/16/2001,3/9/2015
168,11/17/2001,3/10/2015
17,11/18/2001,3/11/2015
171,11/19/2001,3/12/2015
18,11/20/2001,3/13/2015
182,11/21/2001,3/14/2015
190,11/22/2001,3/15/2015
2,11/23/2001,3/16/2015
20,11/24/2001,3/17/2015
207,11/25/2001,3/18/2015
22,11/26/2001,3/19/2015
23,11/27/2001,3/20/2015
25,11/28/2001,3/21/2015
29,11/29/2001,3/22/2015
39,11/30/2001,3/23/2015
40,12/1/2001,3/24/2015
42,12/2/2001,3/25/2015
43,12/3/2001,3/26/2015
45,12/4/2001,3/27/2015
47,12/5/2001,3/28/2015
51,12/6/2001,3/29/2015
56,12/7/2001,3/30/2015
58,12/8/2001,3/31/2015
61,12/9/2001,4/1/2015
62,12/10/2001,4/2/2015
68,12/11/2001,4/3/2015
71,12/12/2001,4/4/2015
73,12/13/2001,4/5/2015
74,12/14/2001,4/6/2015
75,12/15/2001,4/7/2015
77,12/16/2001,4/8/2015
78,12/17/2001,4/9/2015
79,12/18/2001,4/10/2015
81,12/19/2001,4/11/2015
86,12/20/2001,4/12/2015
87,12/21/2001,4/13/2015
93,12/22/2001,4/14/2015
96,12/23/2001,4/15/2015
99,12/24/2001,4/16/2015
