"","temp","degree_centralization","betweenness_centralization","closeness_centralization","eigenvector_centralization","global_clustcoeff","assortativity","diameter","avg_degree","modularity","density","avg_path_length","vertices","edges"
"1","101_264_0",2.33333333333333,0.75462962962963,0.871111111111111,0.73027344973254,0.391304347826087,-0.406601378309758,15,8,0,1.33333333333333,1.57142857142857,7,28
"2","101_264_1",2.33333333333333,0.75462962962963,0.871111111111111,0.73027344973254,0.391304347826087,-0.406601378309758,14,8,0,1.33333333333333,1.57142857142857,7,28
"3","101_264_10",2,0.23,0.265909090909091,0.728843569448108,0.642857142857143,-0.178988326848248,4,8,0,1.6,1.3,6,24
"4","101_264_11",2.1,0.378472222222222,0.622222222222222,0.638458092597477,0.642857142857143,-0.178988326848248,3,9.6,0,2.4,1.3,5,24
"5","101_264_12",2.1,0.378472222222222,0.622222222222222,0.638458092597478,0.642857142857143,-0.178988326848248,3,9.6,0,2.4,1.3,5,24
"6","101_264_13",2.1,0.378472222222222,0.622222222222222,0.638458092597477,0.642857142857143,-0.178988326848248,3,9.6,0,2.4,1.3,5,24
"7","101_264_14",2.1,0.378472222222222,0.622222222222222,0.638458092597477,0.642857142857143,-0.178988326848248,3,9.6,0,2.4,1.3,5,24
"8","101_264_15",2.1,0.378472222222222,0.622222222222222,0.638458092597477,0.642857142857143,-0.178988326848248,3,9.6,0,2.4,1.3,5,24
"9","101_264_16",2.1,0.378472222222222,0.622222222222222,0.638458092597477,0.642857142857143,-0.178988326848248,3,9.6,0,2.4,1.3,5,24
"10","101_264_17",2.1,0.378472222222222,0.622222222222222,0.638458092597477,0.642857142857143,-0.178988326848248,3,9.6,0,2.4,1.3,5,24
"11","101_264_18",2,0.597222222222222,0.755555555555556,0.645617742506654,0.545454545454545,-0.319796954314721,7,8,0,2,1.4,5,20
"12","101_264_19",2,0.597222222222222,0.755555555555556,0.645617742506654,0.545454545454545,-0.319796954314721,7,8,0,2,1.4,5,20
"13","101_264_2",2.33333333333333,0.75462962962963,0.871111111111111,0.73027344973254,0.391304347826087,-0.406601378309758,14,8,0,1.33333333333333,1.57142857142857,7,28
"14","101_264_20",2.2,0.597222222222222,0.755555555555556,0.680790381668368,0.545454545454545,-0.393939393939394,7,7.2,0,1.8,1.4,5,18
"15","101_264_21",1.66666666666667,0.666666666666667,0.75,0.690983005625053,0.6,-0.287878787878788,16,5,0,1.66666666666667,1.33333333333333,4,10
"16","101_264_22",1.66666666666667,0.666666666666667,0.75,0.690983005625053,0.6,-0.287878787878788,16,5,0,1.66666666666667,1.33333333333333,4,10
"17","101_264_23",1.66666666666667,0.666666666666667,0.75,0.690983005625053,0.6,-0.287878787878788,16,5,0,1.66666666666667,1.33333333333333,4,10
"18","101_264_24",1.66666666666667,0.666666666666667,0.75,0.690983005625053,0.6,-0.287878787878788,16,5,0,1.66666666666667,1.33333333333333,4,10
"19","101_264_25",1.66666666666667,0.666666666666667,0.75,0.690983005625052,0.6,-0.287878787878788,12,5,0,1.66666666666667,1.33333333333333,4,10
"20","101_264_26",1.66666666666667,0.666666666666667,0.75,0.690983005625053,0.6,-0.287878787878788,12,5,0,1.66666666666667,1.33333333333333,4,10
"21","101_264_27",1.66666666666667,0.666666666666667,0.75,0.690983005625053,0.6,-0.287878787878788,10,5,0,1.66666666666667,1.33333333333333,4,10
"22","101_264_28",2,0,0,Inf,0,-0.333333333333333,4,4,0,4,1,2,4
"23","101_264_29",2,0,0,Inf,0,-0.333333333333333,4,4,0,4,1,2,4
"24","101_264_3",2.33333333333333,0.75462962962963,0.871111111111111,0.730273449732539,0.391304347826087,-0.406601378309758,14,8,0,1.33333333333333,1.57142857142857,7,28
"25","101_264_30",2,0,0,Inf,0,-0.333333333333333,4,4,0,4,1,2,4
"26","101_264_31",2,0,0,Inf,0,-0.333333333333333,4,4,0,4,1,2,4
"27","101_264_32",2,0,0,Inf,0,-0.333333333333333,4,4,0,4,1,2,4
"28","101_264_33",2,0,0,Inf,0,-0.333333333333333,4,4,0,4,1,2,4
"29","101_264_34",2,0,0,Inf,0,-0.333333333333333,1,4,0,4,1,2,4
"30","101_264_35",2,0,0,Inf,0,-0.333333333333333,1,4,0,4,1,2,4
"31","101_264_36",2,0,0,Inf,0,-0.333333333333333,1,4,0,4,1,2,4
"32","101_264_37",0,0,0,0,0,0,0,4,0,0,0,1,2
"33","101_264_38",0,0,0,0,0,0,0,4,0,0,0,1,2
"34","101_264_39",0,0,0,0,0,0,0,4,0,0,0,1,2
"35","101_264_4",2.33333333333333,0.75462962962963,0.871111111111111,0.730273449732539,0.391304347826087,-0.406601378309758,14,8,0,1.33333333333333,1.57142857142857,7,28
"36","101_264_40",0,0,0,0,0,0,0,4,0,0,0,1,2
"37","101_264_41",0,0,0,0,0,0,0,4,0,0,0,1,2
"38","101_264_42",0,0,0,0,0,0,0,4,0,0,0,1,2
"39","101_264_5",2.33333333333333,0.75462962962963,0.871111111111111,0.730273449732539,0.391304347826087,-0.406601378309758,13,8,0,1.33333333333333,1.57142857142857,7,28
"40","101_264_6",2.33333333333333,0.75462962962963,0.871111111111111,0.730273449732539,0.391304347826087,-0.406601378309758,13,8,0,1.33333333333333,1.57142857142857,7,28
"41","101_264_7",2.33333333333333,0.75462962962963,0.871111111111111,0.73027344973254,0.391304347826087,-0.406601378309758,12,8,0,1.33333333333333,1.57142857142857,7,28
"42","101_264_8",2.33333333333333,0.75462962962963,0.871111111111111,0.73027344973254,0.391304347826087,-0.406601378309758,12,8,0,1.33333333333333,1.57142857142857,7,28
"43","101_264_9",2.33333333333333,0.75462962962963,0.871111111111111,0.730273449732539,0.391304347826087,-0.406601378309758,12,8,0,1.33333333333333,1.57142857142857,7,28
"44","104_134_0",0,0,0,0,0,0,2697,2,-0.5,2,1,2,2
"45","104_134_1",0,0,0,0,0,0,2555,2,-0.5,2,1,2,2
"46","104_134_10",0,0,0,0,0,0,2355,2,-0.5,2,1,2,2
"47","104_134_11",0,0,0,0,0,0,2355,2,-0.5,2,1,2,2
"48","104_134_12",0,0,0,0,0,0,2355,2,-0.5,2,1,2,2
"49","104_134_13",0,0,0,0,0,0,2355,2,-0.5,2,1,2,2
"50","104_134_14",0,0,0,0,0,0,2298,2,-0.5,2,1,2,2
"51","104_134_15",0,0,0,0,0,0,2298,2,-0.5,2,1,2,2
"52","104_134_16",0,0,0,0,0,0,2298,2,-0.5,2,1,2,2
"53","104_134_17",0,0,0,0,0,0,2291,2,-0.5,2,1,2,2
"54","104_134_18",0,0,0,0,0,0,2236,2,-0.5,2,1,2,2
"55","104_134_19",0,0,0,0,0,0,2236,2,-0.5,2,1,2,2
"56","104_134_2",0,0,0,0,0,0,2555,2,-0.5,2,1,2,2
"57","104_134_20",0,0,0,0,0,0,2236,2,-0.5,2,1,2,2
"58","104_134_21",0,0,0,0,0,0,2228,2,-0.5,2,1,2,2
"59","104_134_22",0,0,0,0,0,0,2228,2,-0.5,2,1,2,2
"60","104_134_23",0,0,0,0,0,0,2228,2,-0.5,2,1,2,2
"61","104_134_24",0,0,0,0,0,0,2228,2,-0.5,2,1,2,2
"62","104_134_25",0,0,0,0,0,0,2210,2,-0.5,2,1,2,2
"63","104_134_26",0,0,0,0,0,0,2135,2,-0.5,2,1,2,2
"64","104_134_27",0,0,0,0,0,0,1786,2,-0.5,2,1,2,2
"65","104_134_28",0,0,0,0,0,0,1786,2,-0.5,2,1,2,2
"66","104_134_29",0,0,0,0,0,0,1786,2,-0.5,2,1,2,2
"67","104_134_3",0,0,0,0,0,0,2555,2,-0.5,2,1,2,2
"68","104_134_30",0,0,0,0,0,0,1786,2,-0.5,2,1,2,2
"69","104_134_31",0,0,0,0,0,0,1786,2,-0.5,2,1,2,2
"70","104_134_32",0,0,0,0,0,0,1786,2,-0.5,2,1,2,2
"71","104_134_33",0,0,0,0,0,0,1786,2,-0.5,2,1,2,2
"72","104_134_34",0,0,0,0,0,0,1742,2,-0.5,2,1,2,2
"73","104_134_35",0,0,0,0,0,0,1742,2,-0.5,2,1,2,2
"74","104_134_36",0,0,0,0,0,0,1738,2,-0.5,2,1,2,2
"75","104_134_37",0,0,0,0,0,0,515,2,-0.5,2,1,2,2
"76","104_134_38",0,0,0,0,0,0,458,2,-0.5,2,1,2,2
"77","104_134_39",0,0,0,0,0,0,411,2,-0.5,2,1,2,2
"78","104_134_4",0,0,0,0,0,0,2555,2,-0.5,2,1,2,2
"79","104_134_40",0,0,0,0,0,0,406,2,-0.5,2,1,2,2
"80","104_134_41",0,0,0,0,0,0,291,2,-0.5,2,1,2,2
"81","104_134_5",0,0,0,0,0,0,2478,2,-0.5,2,1,2,2
"82","104_134_6",0,0,0,0,0,0,2355,2,-0.5,2,1,2,2
"83","104_134_7",0,0,0,0,0,0,2355,2,-0.5,2,1,2,2
"84","104_134_8",0,0,0,0,0,0,2355,2,-0.5,2,1,2,2
