"repoName","Total_number_of_commits","Average_number_of_commits","Total_number_of_reviews","Average_number_of_reviews","Total_number_of_emails","Average_number_of_emails","Total_lines_of_code","Average_number_lines_of_code","Total_number_of_reviews_got_merged","Average_number_of_reviews_got_merged"
99,1623,232,280,40,560,80,1242856,177551,240,34
96,11168,89,5597,45,1717,14,32256315,258051,4657,37
94,2572,643,0,0,0,0,7289341,1822335,0,0
93,3612,144,175,7,115,5,2413038,96522,132,5
89,2056,411,0,0,562,112,567797,113559,0,0
88,376,125,0,0,1,0,886224,295408,0,0
87,653,33,1148,57,191,10,269208,13460,1035,52
86,1429,179,308,38,199,25,4199473,524934,193,24
85,106,21,0,0,7,1,246597,49319,0,0
84,21211,174,0,0,9220,76,6501467,53291,0,0
83,3052,254,20,2,39,3,4307135,358928,20,2
81,684,49,6399,457,41,3,1600265,114305,5705,408
79,4507,265,276,16,548,32,1855901,109171,245,14
78,5507,73,5232,70,83,1,3541397,47219,4819,64
77,224,17,1997,154,0,0,101243,7788,1888,145
75,1021,146,2631,376,2413,345,336883,48126,2377,340
74,562,140,371,93,320,80,509447,127362,272,68
73,199,22,100,11,203,23,35548,3950,94,10
71,3006,120,10670,427,1235,49,394807,15792,9139,366
68,575,96,1014,169,55,9,1059685,176614,941,157
64,497,23,0,0,307,14,739267,33603,0,0
63,3567,70,0,0,1458,29,1948298,38202,0,0
62,9738,749,16883,1299,369,28,15372579,1182506,15977,1229
61,5940,248,10392,433,21,1,6831117,284630,9559,398
58,5565,428,248,19,39,3,5885822,452756,73,6
57,80,3,0,0,210,8,59597,2128,0,0
56,4860,347,2400,171,281,20,2863015,204501,2321,166
54,820,26,0,0,0,0,133990,4187,0,0
51,9145,269,83,2,5284,155,1253734,36875,33,1
48,378,63,0,0,53,9,4093373,682229,0,0
47,10871,143,695,9,5571,73,8198999,107882,561,7
46,386,32,0,0,862,72,1515980,126332,0,0
45,35723,235,842,6,9775,64,7327343,48206,453,3
44,128,26,9,2,0,0,174830,34966,6,1
43,4177,321,76,6,1108,85,31311034,2408541,38,3
42,4448,234,110,6,0,0,1119709,58932,93,5
41,104,7,0,0,19,1,35030,2502,0,0
40,12710,310,1328,32,10140,247,8444128,205954,1142,28
39,12846,262,931,19,459,9,25608679,522626,705,14
35,12395,539,0,0,2775,121,2272262,98794,0,0
34,347,13,0,0,0,0,3274529,121279,0,0
29,894,26,2163,62,287,8,1000975,28599,1995,57
28,6,1,0,0,18,2,78291,8699,0,0
25,560,43,248,19,1056,81,291553,22427,148,11
24,29,2,0,0,630,48,4685,360,0,0
23,10691,114,408,4,545,6,2576368,27408,323,3
22,2355,55,1283,30,1607,37,548237,12750,1185,28
210,225,56,0,0,0,0,156090,39022,0,0
207,194,7,42,2,98,4,13620,504,22,1
20,13389,268,801,16,1453,29,3948067,78961,629,13
2,3488,116,3078,103,6,0,548462,18282,2572,86
190,24264,217,4866,43,15102,135,8162078,72876,4141,37
185,411,68,0,0,28,5,846139,141023,0,0
182,759,84,1123,125,109,12,679160,75462,1112,124
18,8446,206,3839,94,1835,45,35390709,863188,3081,75
179,455,41,0,0,88,8,282600,25691,0,0
178,221,37,0,0,13,2,152439,25406,0,0
175,182,61,135,45,3,1,546978,182326,133,44
173,83,5,0,0,3175,176,2881,160,0,0
171,7279,303,182,8,496,21,2643713,110155,114,5
170,1471,123,0,0,92,8,1305428,108786,0,0
17,3017,251,7531,628,1059,88,2355141,196262,6787,566
168,1189,99,166,14,2106,176,531013,44251,157,13
162,3318,664,0,0,6,1,7426995,1485399,0,0
161,10202,227,16035,356,1889,42,5778416,128409,14128,314
16,207,12,15,1,746,41,430017,23890,14,1
158,152,8,6,0,840,44,8139,428,5,0
157,193,7,5,0,1801,67,172478,6388,5,0
156,282,47,259,43,11,2,601683,100280,184,31
153,378,17,377,17,1157,53,690748,31398,329,15
152,1001,143,0,0,381,54,331687,47384,0,0
149,495,99,0,0,34,7,1193352,238670,0,0
148,1277,182,243,35,283,40,1380435,197205,219,31
145,7492,112,0,0,2991,45,3315126,49479,0,0
144,3331,555,417,70,402,67,575348,95891,370,62
143,31,6,76,15,38,8,25340,5068,55,11
142,11705,975,304,25,3356,280,3788480,315707,114,10
140,84,12,0,0,48,7,59400,8486,0,0
14,754,40,2678,141,467,25,395163,20798,2388,126
139,992,90,668,61,1,0,268276,24389,613,56
138,1041,149,0,0,0,0,808921,115560,0,0
134,2671,86,1018,33,1788,58,925937,29869,900,29
133,68851,252,7644,28,10204,37,44640060,163517,6324,23
130,636,58,361,33,25,2,154115,14010,317,29
127,466,233,0,0,1,0,679750,339875,0,0
126,2216,89,10485,419,1685,67,449096,17964,8913,357
124,4301,253,1057,62,91,5,2846015,167413,948,56
123,1250,15,443,5,1378,16,64960,773,405,5
122,3282,164,0,0,643,32,1551322,77566,0,0
118,738,49,77,5,196,13,193884,12926,65,4
117,810,162,138,28,179,36,915982,183196,108,22
107,962,26,371,10,796,22,1713964,46323,283,8
106,12986,146,113,1,400,4,2330923,26190,36,0
104,1824,51,256,7,2189,61,783029,21751,229,6
101,802,80,409,41,31,3,108288,10829,386,39
