"","labels","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
"1",317,10,10,10,0,0.266666666666667,0.0601092896174863,0.204984260110284
"2",382974,0,0,0,0,0,0.0833333333333333,0.00315400744643185
"3",106,30,30,30,9,0.0459770114942529,0.1,1
"4",104,16,16,16,0,0.166666666666667,0.0578947368421053,0.991254512082195
"5",378243,0,0,0,0,0,0.0833333333333333,0.00315400744643185
"6",315,8,8,8,0,0.214285714285714,0.0964912280701754,0.0366328775039507
"7",382301,0,0,0,0,0,0.0833333333333333,0.00315400744643185
"8",316,6,6,6,5,0.4,0.088,0.00934281259861341
"9",107,20,20,20,2.5,0.105263157894737,0.0956521739130435,0.123650544311404
"10",108,10,10,10,1.5,0.266666666666667,0.0956521739130435,0.0468918753731165
"11",576,0,0,0,0,0,0.0833333333333333,0.00315400744643185
"12",3234,0,0,0,0,0,0.0833333333333333,0.00315400744643185
