"upeople_id","X58scmChanges","X59scmChanges","X387scmChanges","X103scrChanges","X1mslChanges","number_of_domain","country","X58linesadded","X58linesremoved","X59linesadded","X59linesremoved","X387linesadded","X387linesremoved","X103ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
95,0,6,0,5,0,5,7,0,0,50,46,0,0,4,1,6,6,6,0,0.4,0.111111111111111,0.00101736567412936
104,78,370,30,0,0,5,10,15225,7386,159136,71061,1965,390,0,5,54,54,54,21.8,0.0545073375262055,0.142857142857143,0.494273509303357
105,116,485,0,49,24,7,8,23322,10910,99834,39978,0,0,45,4,38,38,38,37.6,0.105263157894737,0.150943396226415,0.471026927993029
106,6,26,4,12,30,7,7,129,128,2188,1958,41,89,12,3,46,46,46,8,0.0483091787439614,0.132231404958678,0.106899344675554
107,0,31,7,0,1,2,7,0,0,823,831,93,35,0,8,22,22,22,43.4,0.12987012987013,0.150943396226415,0.00929665732528826
108,425,1770,2,529,27,4,8,134396,79978,635968,438058,10,10,490,9,60,60,60,0,0.0440677966101695,0.123076923076923,1
315,1,11,0,0,4,2,9,18,11,424,413,0,0,0,6,20,20,20,12,0.157894736842105,0.140350877192982,0.00330190063404826
316,0,17,0,0,0,1,9,0,0,1594,625,0,0,0,7,14,14,14,0,0.32967032967033,0.0720720720720721,0.010902151503084
317,176,2,0,0,1,1,6,374997,222788,2,0,0,0,0,2,12,12,12,13,0.181818181818182,0.140350877192982,0.00108483898933326
573,43,50,0,0,0,1,7,7262,2909,7152,3048,0,0,0,10,16,16,16,0,0.166666666666667,0.0506329113924051,0.0824412620311114
576,0,473,0,254,2,4,7,0,0,242420,100762,0,0,226,11,38,38,38,1,0.0682788051209104,0.125,0.47230744782329
578,0,118,0,152,1,4,6,0,0,59602,25192,0,0,130,15,38,38,38,17.6,0.042674253200569,0.141592920353982,0.0706707556233919
3234,0,10,0,22,1,1,7,0,0,40510,3184,0,0,17,16,16,16,16,8.2,0.25,0.130081300813008,0.0170545910905686
64569,0,44,0,34,0,1,0,0,0,18233,10831,0,0,24,13,16,16,16,0.6,0.25,0.124031007751938,0.0107684384545403
177607,0,0,0,0,0,2,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0.0588235294117647,8.96806946339242e-08
378243,0,0,0,0,0,13,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0.0588235294117647,8.96806946339242e-08
415362,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0.0588235294117647,8.96806946339242e-08
