"upeople_id","X42scmChanges","X211scmChanges","X289scmChanges","X291scmChanges","X394scmChanges","X403scrChanges","X1mslChanges","X2mslChanges","X4mslChanges","X5mslChanges","number_of_domain","country","X42linesadded","X42linesremoved","X211linesadded","X211linesremoved","X289linesadded","X289linesremoved","X291linesadded","X291linesremoved","X394linesadded","X394linesremoved","X403ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
498,87,1925,57,178,36,25,30,0,400,400,3,9,1496,944,146600,96190,1521,571,14417,4632,212,219,23,4,32,32,32,0,0.145161290322581,0.0354838709677419,1
499,5,3276,4,14,0,52,16,1,323,104,5,6,7,7,848029,459460,13,0,602,74,0,0,37,5,96,96,96,0,0.0157894736842105,0.0407407407407407,0.992441040609527
500,11,1962,1,270,0,1,13,0,197,513,6,10,70,101,545441,477039,233,233,42430,22988,0,0,0,3,90,90,90,33,0.0179775280898876,0.0873015873015873,0.494735383152864
501,2,192,0,0,2,0,1,0,75,70,3,8,8,1,17323,8928,0,0,0,0,348,73,0,1,60,60,60,8,0.0406779661016949,0.06875,0.0208503754007754
502,6,1246,4,30,40,7,8,0,167,415,5,8,66,14,196577,109747,0,0,29726,89,514,262,6,2,96,96,96,0,0.0157894736842105,0.0632183908045977,0.31964503115902
503,1,137,0,12,0,0,0,0,14,78,3,9,8,0,23242,6874,0,0,851,346,0,0,0,9,32,32,32,0,0.145161290322581,0.0774647887323944,0.0286538381190167
504,1,392,0,6,0,164,0,0,57,122,2,10,8,0,42143,27482,0,0,223,3,0,0,1,10,32,32,32,0,0.145161290322581,0.069620253164557,0.0392856573561797
589,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0.0833333333333333,0.255953292182973
2079,0,32,0,0,0,0,0,0,13,0,2,7,0,0,440,204,0,0,0,0,0,0,0,7,32,32,32,14,0.145161290322581,0.0846153846153846,0
2080,0,19,0,0,0,0,0,0,6,0,1,8,0,0,1554,74,0,0,0,0,0,0,0,6,30,30,30,0,0.16551724137931,0.0392857142857143,0
2081,0,1742,0,15,0,55,0,0,103,218,5,6,0,0,381054,275417,0,0,1025,327,0,0,47,8,32,32,32,0,0.145161290322581,0.0374149659863946,0.10556326744846
425353,0,0,0,0,0,0,0,0,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0.0833333333333333,0.255953292182973
