"upeople_id","X67scmChanges","X151scmChanges","X417scmChanges","X38scrChanges","X179scrChanges","X1mslChanges","number_of_domain","country","X67linesadded","X67linesremoved","X151linesadded","X151linesremoved","X417linesadded","X417linesremoved","X38ReviewGotMerged","X179ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
96,0,1,0,0,0,0,3,6,0,0,9,7,0,0,0,0,15,6,6,6,0,0.133333333333333,0.00843613933236575,0.000261132087204284
185,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
189,0,981,1,0,0,0,2,10,0,0,331083,188055,42,20,0,0,24,40,40,40,53.7866666666667,0.228205128205128,0.00843307943416757,0.434785393326762
193,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
197,0,8,0,0,1,0,3,7,0,0,124,60,0,0,0,1,20,12,12,12,26,0.212121212121212,0.00835579514824798,0.000732981876256325
199,0,3,2,0,4,0,3,6,0,0,72,8,2,0,0,4,10,30,30,30,5.30666666666667,0.349425287356322,0.00843537414965986,0.0101673990604506
258,0,3,0,0,5,0,2,9,0,0,31,60,0,0,0,5,16,16,16,16,82.9175824175824,0.25,0.00844533236469306,0.000724826692053073
262,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
273,0,0,0,0,0,5,7,9,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
276,0,12,0,0,54,0,5,8,0,0,630,689,0,0,0,26,1,46,46,46,20.8939393939394,0.171980676328502,0.00844073334543474,0.010768797169692
277,0,7,0,0,5,0,4,6,0,0,76,34,0,0,0,1,89,4,4,4,0,0.333333333333333,0.00831693793596852,0.000506224445434515
286,0,1,0,0,4,12,3,6,0,0,9,1,0,0,0,1,12,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
300,0,0,0,0,0,4,4,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
319,0,812,0,0,0,9,2,7,0,0,154832,47375,0,0,0,0,18,34,34,34,0,0.0106951871657754,0.0084384357136376,0.132545699104206
411,0,0,12,0,0,8,4,6,0,0,0,0,39,36,0,0,14,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
412,0,0,641,0,0,51,2,7,0,0,0,0,55184,21388,0,0,21,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
417,0,9,0,0,39,2,6,8,0,0,4622,177,0,0,0,37,83,32,32,32,12.7128205128205,0.32258064516129,0.00843767011431682,0.0563146186032333
517,0,0,0,0,0,28,4,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
610,0,813,0,0,42,0,5,9,0,0,181841,107677,0,0,0,36,13,48,48,48,4.45454545454545,0.138297872340426,0.00841476655808903,0.150223960752097
