"upeople_id","X110scmChanges","X285scmChanges","X287scmChanges","X466scmChanges","X139scrChanges","X451scrChanges","X1mslChanges","X2mslChanges","X3mslChanges","X4mslChanges","X5mslChanges","number_of_domain","country","X110linesadded","X110linesremoved","X285linesadded","X285linesremoved","X287linesadded","X287linesremoved","X466linesadded","X466linesremoved","X139ReviewGotMerged","X451ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
25,13,630,0,0,0,0,0,0,79,0,0,1,7,536,117,66350,12276,0,0,0,0,0,0,4,28,28,28,7.075,0.201058201058201,0.0332502078137988,0.564305836081841
1483,1268,61,0,0,5,0,2,14,248,29,347,7,6,1390765,1127208,35551,3365,0,0,0,0,2,0,16,36,36,36,49.2669330669331,0.193650793650794,0.0340136054421769,0.0254688073401961
1485,43,15,0,0,0,0,0,0,135,2,32,1,7,4002,2663,496,66,0,0,0,0,0,0,7,14,14,14,2.61111111111111,0.417582417582418,0.0341005967604433,0.00230130210421482
1489,173,5621,15,117,451,231,29,325,2279,551,80,5,9,9485,5518,2134821,1413529,28083,25295,49772,29575,398,204,1,86,86,86,77,0.0683994528043776,0.0297397769516729,1
1490,6,0,0,0,0,0,0,0,1,0,1,1,10,741,435,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0.024390243902439,3.30031458245516e-06
1491,12,0,0,0,0,0,0,0,0,0,0,1,10,1554,393,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0.024390243902439,3.30031458245516e-06
1493,2,0,0,0,0,0,0,0,0,0,5,2,7,52,12,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0.024390243902439,3.30031458245516e-06
2456,0,1,0,0,16,0,0,26,21,11,0,2,7,0,0,149,0,0,0,0,0,1,0,39,4,4,4,0,0.333333333333333,0.0299625468164794,0.000111111190787937
2510,0,144,0,10,47,122,0,262,238,57,0,1,9,0,0,38967,47066,0,0,1229,305,38,119,12,40,40,40,16.5595238095238,0.2,0.0341005967604433,0.0951702697783934
2582,0,177,0,0,0,0,0,0,87,0,0,1,6,0,0,31257,12469,0,0,0,0,0,0,6,18,18,18,0,0.431372549019608,0.0293040293040293,0.204578345394984
2583,0,860,0,0,0,0,1,0,94,16,0,4,9,0,0,158894,109013,0,0,0,0,0,0,5,22,22,22,0,0.38961038961039,0.0324149108589951,0.589605119937527
2584,0,160,0,0,0,0,0,0,39,0,0,2,7,0,0,43895,41551,0,0,0,0,0,0,8,20,20,20,0,0.410526315789474,0.0335570469798658,0.160868631009683
2585,0,1237,10,0,40,0,36,28,1354,389,121,4,7,0,0,271805,50796,5,4,0,0,26,0,2,86,86,86,127.965476190476,0.0607387140902873,0.0348128807658834,0.171284136689546
2587,0,103,0,0,30,0,1,98,345,67,6,3,8,0,0,48810,14151,0,0,0,0,27,0,9,42,42,42,40.3882867132867,0.139372822299652,0.0345721694036301,0.021574722865026
2588,0,111,0,0,0,0,0,0,35,1,0,4,9,0,0,38333,17198,0,0,0,0,0,0,13,32,32,32,42.4686507936508,0.294354838709677,0.0345721694036301,0.0939196053763403
2589,0,252,0,0,5,0,1,1,261,44,0,1,9,0,0,59854,39949,0,0,0,0,3,0,15,24,24,24,24.8940476190476,0.253623188405797,0.0340425531914894,0.099069495454279
2590,0,141,0,0,0,0,0,0,34,0,0,2,7,0,0,24984,13582,0,0,0,0,0,0,14,12,12,12,0,0.393939393939394,0.0329760923330585,0.053451464582002
2591,0,147,0,0,31,0,0,56,582,63,0,4,10,0,0,104112,60845,0,0,0,0,13,0,10,64,64,64,97.3282106782107,0.0873015873015873,0.0349344978165939,0.0797584797987153
2592,0,521,0,0,0,0,0,0,258,24,0,1,10,0,0,214753,160809,0,0,0,0,0,0,25,46,46,46,57.1005494505494,0.18743961352657,0.0337268128161889,0.452116035021057
2593,0,14,0,0,0,0,0,0,114,2,0,1,10,0,0,3154,3018,0,0,0,0,0,0,21,10,10,10,0,0.444444444444444,0.0343347639484979,0.00190898518384925
2594,0,8,0,0,0,0,0,0,12,0,0,3,7,0,0,118,90,0,0,0,0,0,0,27,4,4,4,0,0.333333333333333,0.0275292498279422,7.68666492682516e-05
2595,0,19,0,0,0,0,0,0,11,0,0,1,7,0,0,26418,24824,0,0,0,0,0,0,26,4,4,4,0,0.333333333333333,0.00373866716515562,0.00903759167945285
2596,0,105,0,0,0,0,0,0,86,3,0,3,10,0,0,17069,12032,0,0,0,0,0,0,22,28,28,28,1.9010989010989,0.0740740740740741,0.0332778702163062,0.0113006970082636
2597,0,172,0,0,0,0,0,0,8,7,0,2,8,0,0,41306,30489,0,0,0,0,0,0,33,28,28,28,0,0.100529100529101,0.0333889816360601,0.120203447659938
2598,0,42,0,0,0,0,0,0,8,0,0,3,7,0,0,11218,2077,0,0,0,0,0,0,3,12,12,12,2,0.393939393939394,0.0337268128161889,0.0123743362774855
2599,0,13,0,0,1,0,0,0,2,0,0,1,8,0,0,11768,2874,0,0,0,0,1,0,35,24,24,24,0,0.101449275362319,0.0341880341880342,0.00406183436200124
2600,0,202,0,3,135,39,0,139,106,87,3,5,7,0,0,31803,20313,0,0,2,2,118,38,36,46,46,46,65.1347374847375,0.114009661835749,0.0340425531914894,0.0620264673692509
2605,0,197,0,0,50,0,0,98,27,18,0,3,7,0,0,133219,104756,0,0,0,0,45,0,34,36,36,36,19.949494949495,0.180952380952381,0.0343347639484979,0.107116390254093
2608,0,2,0,0,0,0,0,0,2,0,0,1,8,0,0,2954,460,0,0,0,0,0,0,31,4,4,4,27,0.333333333333333,0.00762631077216397,0.00184672470768544
2614,0,21,0,1,55,1,0,83,76,1,0,3,9,0,0,2958,1981,0,0,1,8,53,1,38,24,24,24,52.7395521145521,0.246376811594203,0.0345721694036301,0.00545892841327861
