"upeople_id","X26scmChanges","X366scmChanges","X1mslChanges","number_of_domain","country","X366linesadded","X366linesremoved","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
161,0,7,3,1,8,903,2923,26,4,4,4,0,0.333333333333333,0.037037037037037,0.971402513898696
166,0,62,6,1,10,28172,27433,19,4,4,4,0,0.333333333333333,0.0367847411444142,1
167,0,11,0,1,7,125,41,25,4,4,4,1,0.333333333333333,0.0374479889042996,0.515929859335359
547,0,0,3,5,8,0,0,4,0,0,0,0,0,0.0357142857142857,0.402595744350549
554,0,0,30,4,10,0,0,5,0,0,0,0,0,0.0357142857142857,0.402595744350549
1320,0,0,0,3,10,0,0,3,0,0,0,0,0,0.0357142857142857,0.402595744350549
1351,0,0,1,7,8,0,0,7,0,0,0,0,0,0.0357142857142857,0.402595744350549
1860,0,0,0,6,6,0,0,8,0,0,0,0,0,0.0357142857142857,0.402595744350549
2699,0,0,51,2,8,0,0,12,0,0,0,0,0,0.0357142857142857,0.402595744350549
3089,0,0,0,2,8,0,0,27,0,0,0,0,0,0.0357142857142857,0.402595744350549
378243,0,0,0,13,0,0,0,24,0,0,0,0,0,0.0357142857142857,0.402595744350549
378323,0,0,5,2,0,0,0,1,0,0,0,0,0,0.0357142857142857,0.402595744350549
378412,0,0,4,3,0,0,0,2,0,0,0,0,0,0.0357142857142857,0.402595744350549
379930,0,0,5,3,0,0,0,6,0,0,0,0,0,0.0357142857142857,0.402595744350549
380007,0,0,4,3,0,0,0,22,0,0,0,0,0,0.0357142857142857,0.402595744350549
381786,0,0,16,2,0,0,0,9,0,0,0,0,0,0.0357142857142857,0.402595744350549
381787,0,0,7,2,0,0,0,10,0,0,0,0,0,0.0357142857142857,0.402595744350549
381807,0,0,1,2,0,0,0,11,0,0,0,0,0,0.0357142857142857,0.402595744350549
381852,0,0,35,2,0,0,0,13,0,0,0,0,0,0.0357142857142857,0.402595744350549
381933,0,0,19,2,0,0,0,14,0,0,0,0,0,0.0357142857142857,0.402595744350549
381935,0,0,7,1,0,0,0,15,0,0,0,0,0,0.0357142857142857,0.402595744350549
381968,0,0,8,1,0,0,0,16,0,0,0,0,0,0.0357142857142857,0.402595744350549
382209,0,0,4,1,0,0,0,17,0,0,0,0,0,0.0357142857142857,0.402595744350549
382303,0,0,0,4,0,0,0,18,0,0,0,0,0,0.0357142857142857,0.402595744350549
384357,0,0,1,1,0,0,0,20,0,0,0,0,0,0.0357142857142857,0.402595744350549
384451,0,0,0,1,0,0,0,21,0,0,0,0,0,0.0357142857142857,0.402595744350549
384459,0,0,0,2,0,0,0,23,0,0,0,0,0,0.0357142857142857,0.402595744350549
384477,0,0,0,2,0,0,0,28,0,0,0,0,0,0.0357142857142857,0.402595744350549
