"upeople_id","X33scmChanges","X45scmChanges","X56scmChanges","X86scmChanges","X107scmChanges","X116scmChanges","X184scmChanges","X193scmChanges","X203scmChanges","X228scmChanges","X230scmChanges","X241scmChanges","X299scmChanges","X313scmChanges","X348scmChanges","X385scmChanges","X390scmChanges","X391scmChanges","X419scmChanges","X1mslChanges","X2mslChanges","X3mslChanges","X4mslChanges","X5mslChanges","number_of_domain","country","X33linesadded","X33linesremoved","X45linesadded","X45linesremoved","X56linesadded","X56linesremoved","X86linesadded","X86linesremoved","X107linesadded","X107linesremoved","X116linesadded","X116linesremoved","X184linesadded","X184linesremoved","X193linesadded","X193linesremoved","X203linesadded","X203linesremoved","X228linesadded","X228linesremoved","X230linesadded","X230linesremoved","X241linesadded","X241linesremoved","X299linesadded","X299linesremoved","X313linesadded","X313linesremoved","X348linesadded","X348linesremoved","X385linesadded","X385linesremoved","X390linesadded","X390linesremoved","X391linesadded","X391linesremoved","X419linesadded","X419linesremoved","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
374,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,9,1998,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0.0196078431372549,0.0383467480369057
379,4,5,6,6,23,53,92,6,381,10,11,9,19,13,13,95,7,63,4,0,0,483,14,0,2,7,12,9,57,5,9,6,82,22,32739,893,583,275,4735,22530,88,8,54672,16547,18,15,51,40,22,11,101,69,111,22,40,25,191,175,14,11,6454,1845,9,6,5,48,48,48,5,0.00886524822695036,0.021551724137931,0.911700014069255
381,1,3,5,1,0,319,78,3,9,14,26,5,103,0,5,1,11,5,5,4,0,63,27,12,1,6,14,0,13,1,29,4,14,0,0,0,111283,31940,8557,3309,59,2,503,510,41,24,199011,339,25,7,507307,248327,0,0,35,10,15,0,68,52,961,1,28,1,8,18,18,18,0,0.065359477124183,0.0214224507283633,0.294030994578136
570,0,0,5,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,1,0,1,7,0,0,0,0,726,8,0,0,0,0,23,18,0,0,0,0,0,0,0,0,0,0,305,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0.0196078431372549,0.0383467480369057
760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0196078431372549,0.0383467480369057
1153,0,0,0,0,67,1,790,0,39,3,3,0,0,10,2,178,2,12,0,0,3,76,49,0,1,8,0,0,0,0,0,0,0,0,11996,2678,6,4,172618,31095,0,0,4727,4670,1272,1034,1330,1090,0,0,0,0,3529,335,432,409,7823,2729,638,526,1290,380,0,0,13,20,20,20,0,0.0736842105263158,0.0214408233276158,1
1159,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,848,0,0,0,0,2,44,3,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,25660,6501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369326,31159,0,0,0,0,0,0,9,48,48,48,3,0.0124113475177305,0.021505376344086,0.735653530899859
1162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0.0196078431372549,0.0383467480369057
1191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0.0196078431372549,0.0383467480369057
1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0.0196078431372549,0.0383467480369057
1215,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,0,0,0,0,0,0,51,8,8,8,4,0.214285714285714,0.021551724137931,0.00316901724277093
1218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0.0196078431372549,0.0383467480369057
1518,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,9,0,0,0,0,0,0,0,0,0,0,359,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0.0196078431372549,0.0383467480369057
1998,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,2280,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,6,6,6,1,0.4,0.0214316330904415,0.015552669784014
2140,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0.0196078431372549,0.0383467480369057
