"upeople_id","X41scmChanges","X133scmChanges","X42scrChanges","X64scrChanges","X1mslChanges","number_of_domain","country","X41linesadded","X41linesremoved","X133linesadded","X133linesremoved","X42ReviewGotMerged","X64ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
23,56,0,15,0,19,3,6,13675,3474,0,0,14,0,2,12,12,12,0,0.181818181818182,0.103896103896104,0.0299502978713345
24,11,0,0,0,83,6,6,93,25,0,0,0,0,3,20,20,20,9.65714285714286,0.0631578947368421,0.10958904109589,0.00742285932934092
29,99,0,15,0,7,1,10,36995,36668,0,0,15,0,12,14,14,14,0,0.285714285714286,0.106666666666667,0.0151910050061319
475,594,1092,23,124,129,5,8,113580,97756,147651,111933,21,109,11,40,40,40,0,0.0512820512820513,0.103896103896104,0.31188538891902
476,1685,2,30,0,108,4,7,468370,351337,3,2,30,0,7,42,42,42,21.3809523809524,0.0464576074332172,0.114285714285714,1
477,393,0,0,0,2,1,9,107543,71870,0,0,0,0,14,10,10,10,0,0.266666666666667,0.10126582278481,0.507099609951688
478,17,0,0,0,0,2,6,6747,1472,0,0,0,0,16,14,14,14,12.0380952380952,0.285714285714286,0.112676056338028,0.0291305116732831
479,461,0,4,0,4,1,9,151771,123433,0,0,4,0,8,20,20,20,0.619047619047619,0.2,0.105263157894737,0.85457288814245
480,1,34,0,7,4,2,7,13,2,1665,275,0,5,9,6,6,6,0,0.133333333333333,0.0987654320987654,0.00015549692671519
492,1,24,0,6,7,3,6,4,4,2082,114,0,2,15,0,0,0,0,0,0.0588235294117647,0.000233409080999405
494,14,13,40,8,179,1,6,1112,167,5635,169,34,7,1,18,18,18,13.3428571428571,0.169934640522876,0.112676056338028,0.00526431291740826
1608,0,10,0,0,1,3,8,0,0,168,93,0,0,13,0,0,0,0,0,0.0588235294117647,0.000233409080999405
2223,0,0,0,0,5,3,7,0,0,0,0,0,0,4,0,0,0,0,0,0.0588235294117647,0.000233409080999405
2793,0,0,4,0,0,4,8,0,0,0,0,4,0,17,0,0,0,0,0,0.0588235294117647,0.000233409080999405
3080,0,0,0,0,0,7,6,0,0,0,0,0,0,5,0,0,0,0,0,0.0588235294117647,0.000233409080999405
378243,0,0,0,0,0,13,0,0,0,0,0,0,0,10,0,0,0,0,0,0.0588235294117647,0.000233409080999405
382566,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0.0588235294117647,0.000233409080999405
