"upeople_id","X424scmChanges","X1mslChanges","X2mslChanges","number_of_domain","country","X424linesadded","X424linesremoved","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
379,2944,1061,1,2,7,514384,257897,3,338,338,338,69.5354742253377,0.00849823538707355,0.0110674105917863,1
1134,1141,235,0,1,10,395801,152759,36,124,124,124,22.44945756902,0.0521898767374771,0.0110613401590639,0.0795725147437037
1135,717,337,0,1,6,82614,39021,37,102,102,102,8.47375384558327,0.0745486313337216,0.0110603290676417,0.163314310959302
1138,859,328,0,4,7,362267,172961,7,128,128,128,55.3835477793309,0.0445374015748031,0.0110734876910405,0.060214168236998
1142,151,46,0,1,6,49279,5854,30,34,34,34,0,0.427807486631016,0.0109980003635703,0.0219040354919274
1146,1381,204,0,2,6,95824,31268,44,160,160,160,66.9580144221813,0.0303459119496855,0.0110694355502699,0.0738269826637089
1147,1411,432,1,1,7,424591,248847,25,196,196,196,27.2247252747253,0.0241758241758242,0.0110562865497076,0.255082408840201
1148,1434,408,0,4,8,229879,92709,23,76,76,76,59.1360229785292,0.117894736842105,0.011068422978412,0.717937622968245
1153,275,77,0,1,8,32932,12135,13,78,78,78,33.8472168464242,0.130536130536131,0.011062351435363,0.019961753242401
1159,2434,776,0,4,6,344058,123143,10,258,258,258,131.484631967765,0.0122462522245347,0.0110765287440498,0.0788261801744463
1160,1255,300,0,2,6,449993,105422,42,108,108,108,0,0.0654205607476635,0.0110371248745781,0.65573016123608
1161,311,238,0,1,7,85200,20342,48,34,34,34,5.45773216825848,0.409982174688057,0.0110441767068273,0.0306474963400363
1162,243,86,0,4,10,620443,320582,49,54,54,54,19.0536063504358,0.0894479385045423,0.0110674105917863,0.0739828340098728
1169,2,7,0,1,7,4,4,14,10,10,10,5.33339070567986,0.444444444444444,0.0110411533899078,6.01212341244321e-05
1170,160,60,0,2,7,51105,10348,5,16,16,16,0,0.466666666666667,0.0109522085445329,0.0244766292392455
1174,304,341,0,1,6,83314,24330,16,34,34,34,0,0.39572192513369,0.0110381317277869,0.124511871116824
1179,1396,38,0,4,10,91271,37379,64,216,216,216,27.8705703805577,0.0168819982773471,0.0110724743777452,0.108384385228053
1189,1487,185,0,3,8,136205,66634,85,94,94,94,33.0027711624461,0.0640585678334477,0.0110603290676417,0.244383243378669
1191,598,106,0,3,6,45957,12652,20,78,78,78,4.93758639021797,0.0785880785880786,0.0110603290676417,0.014649105498379
1193,1400,209,0,2,8,232520,56163,93,116,116,116,1.82619047619048,0.0500749625187406,0.0110552763819095,0.0638582552439257
1199,150,10,0,1,10,21181,4369,68,20,20,20,0,0.473684210526316,0.0110371248745781,0.00754059688066158
1200,396,35,0,3,8,17371,8611,21,102,102,102,9.00543430806589,0.0500873616773442,0.0110633628965896,0.0173411634715503
1210,5,0,0,1,8,119,64,109,46,46,46,56.2354173494201,0.0695652173913043,0.0110704483074108,0.000338639858261868
1212,61,0,0,1,8,695,340,112,44,44,44,7.30081585081585,0.0887949260042283,0.0110512375559412,0.00191083799259817
1213,132,0,0,4,6,7020,2579,97,154,154,154,21.4059519191098,0.00254647313470843,0.0110613401590639,0.00294037896047173
1215,5,0,0,1,10,52,28,78,14,14,14,1.33333333333333,0.0659340659340659,0.0110532565999817,5.34183655493937e-06
1218,122,0,0,2,8,11803,2276,77,32,32,32,1,0.129032258064516,0.0110330992978937,0.00440043432065362
1228,228,425,0,4,8,111798,164993,34,122,122,122,23.6879729129729,0.0303481913019916,0.011068422978412,0.0102086633881628
1248,2,0,0,1,7,13,1,110,26,26,26,6.35135094713408,0.221538461538462,0.0110562865497076,0.000257410209931252
1273,33,374,0,1,8,1333,459,4,64,64,64,19.2404733535939,0.0248015873015873,0.0110643745427944,0.00177390122444288
1275,19,0,0,1,9,3281,2827,107,40,40,40,0,0.115384615384615,0.0110090073696661,0.00156952645036909
1296,25,2,0,2,6,5975,5248,113,32,32,32,10.4454545454545,0.165322580645161,0.0110572969021292,0.000620887532965982
378243,0,0,0,13,0,0,0,114,0,0,0,0,0,0.00819672131147541,0.00244670179973012
379873,0,6,0,3,0,0,0,1,0,0,0,0,0,0.00819672131147541,0.00244670179973012
380915,0,0,0,2,0,0,0,2,0,0,0,0,0,0.00819672131147541,0.00244670179973012
381400,0,4,0,1,0,0,0,6,0,0,0,0,0,0.00819672131147541,0.00244670179973012
382536,0,265,0,2,0,0,0,8,0,0,0,0,0,0.00819672131147541,0.00244670179973012
382556,0,0,0,3,0,0,0,33,0,0,0,0,0,0.00819672131147541,0.00244670179973012
382772,0,213,0,4,0,0,0,9,0,0,0,0,0,0.00819672131147541,0.00244670179973012
383086,0,0,0,2,0,0,0,92,0,0,0,0,0,0.00819672131147541,0.00244670179973012
383817,0,183,75,1,0,0,0,11,0,0,0,0,0,0.00819672131147541,0.00244670179973012
384558,0,26,6,1,0,0,0,12,0,0,0,0,0,0.00819672131147541,0.00244670179973012
384648,0,11,0,2,0,0,0,17,0,0,0,0,0,0.00819672131147541,0.00244670179973012
384649,0,15,16,1,0,0,0,18,0,0,0,0,0,0.00819672131147541,0.00244670179973012
