"upeople_id","X72scmChanges","X263scmChanges","X293scmChanges","X77scrChanges","X212scrChanges","X391scrChanges","X1mslChanges","number_of_domain","country","X72linesadded","X72linesremoved","X263linesadded","X263linesremoved","X293linesadded","X293linesremoved","X77ReviewGotMerged","X212ReviewGotMerged","X391ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
32,31,0,4,0,109,22,2,2,9,7006,2346,0,0,192,42,0,97,20,81,44,44,44,47.8464666697192,0.133192389006343,0.0126672795995505,0.0112137819491115
177,65,13,11,0,0,0,6,2,6,20082,10706,2362,1053,3039,2466,0,0,0,25,122,122,122,301.363600278117,0.0536512667660209,0.0126815299652281,0.341180060508807
182,0,0,73,0,0,0,15,3,6,0,0,0,0,11789,2978,0,0,0,40,0,0,0,0,0,0.008,0.00035549491925867
185,131,0,0,0,0,0,8,4,10,7748,4473,0,0,0,0,0,0,0,35,12,12,12,43.7695906432749,0.454545454545455,0.01262472001629,0.0488968682310943
189,407,471,0,0,0,0,3,2,10,53791,28314,89868,48858,0,0,0,0,0,31,14,14,14,0,0.32967032967033,0.0122808755075765,0.00466983330547598
197,225,9,59,0,18,5,31,3,7,4966,11070,1706,1113,2039,1300,0,17,5,20,158,158,158,293.747846827848,0.0419253406433927,0.0126854219948849,0.189889231292816
199,72,2,1,0,25,0,0,3,6,5541,3065,6,5,1,0,0,25,0,8,46,46,46,88.4335801062866,0.146859903381643,0.0126750485536134,0.0377434660093647
234,0,0,0,0,0,0,103,4,10,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0.008,0.00035549491925867
249,211,45,0,0,0,0,8,3,6,87423,81604,2366,1210,0,0,0,0,0,44,8,8,8,0,0.428571428571429,0.0123333996419336,0.0581912914696847
258,11,0,22,0,28,57,5,2,9,1226,649,0,0,917,108,0,24,53,14,36,36,36,48.1554723034816,0.247619047619048,0.012637586628618,0.0128327658430411
273,10,1,0,0,4,0,16,7,9,52,104,2,33,0,0,0,4,0,15,16,16,16,0,0.333333333333333,0.0124049619847939,0.0113637401704289
276,483,5,37,24,4093,220,161,5,8,15483332,8053385,14,30,1604,2150,20,3486,199,2,212,212,212,324.689484078898,0.0230707323616203,0.0126815299652281,1
278,6,0,0,0,0,0,0,2,9,1137,46,0,0,0,0,0,0,0,96,38,38,38,0.837121212121212,0.295874822190612,0.0126260054984217,0.0141745311138227
286,14,0,0,0,107,0,36,3,6,2409,363,0,0,0,0,0,67,0,9,68,68,68,60.7018241251717,0.17910447761194,0.0126530612244898,0.020148737476851
411,464,22,1338,0,76,55,93,4,6,41204,42439,917,3963,73748,43519,0,73,51,11,152,152,152,16.6402490842148,0.0444405716277449,0.0126427406199021,0.574917802369522
412,8,0,1,0,0,0,12,2,7,79,9,0,0,3,2,0,0,0,23,20,20,20,0,0.210526315789474,0.0126272912423625,0.00819322080266012
