"upeople_id","no_of_bug_owned","avg_resolution","X363scmChanges","X426scmChanges","X441scmChanges","X459scmChanges","X463scmChanges","X467scmChanges","X164scrChanges","X457scrChanges","X1mslChanges","number_of_domain","country","X363linesadded","X363linesremoved","X426linesadded","X426linesremoved","X459linesadded","X459linesremoved","X463linesadded","X463linesremoved","X467linesadded","X467linesremoved","X164ReviewGotMerged","X457ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
259,24,31.25,1285,5,0,35,5,2,2288,29,608,7,9,514902,522530,639,216,96096,229160,59,1,1705,38,2084,17,1,44,44,44,8,0.0507399577167019,0.0588235294117647,1
2073,32,1.4063,482,0,0,0,18,0,2419,85,160,5,6,33885,35585,0,0,0,0,161,0,0,0,2250,73,6,24,24,24,8,0.173913043478261,0.0326409495548961,0.974147921132916
2074,10,0,129,0,0,0,1,0,746,3,36,5,6,24832,9077,0,0,0,0,1350,227,0,0,670,1,11,32,32,32,24,0.092741935483871,0.0628571428571429,0.133419391707976
2318,39,1.5789,225,0,0,0,50,0,1066,297,28,4,7,13708,9274,0,0,0,0,2369,905,0,0,982,173,7,22,22,22,0,0.199134199134199,0.0376712328767123,0.693282774897825
2319,1,4,2,0,0,0,0,0,57,0,92,4,7,1354,807,0,0,0,0,0,0,0,0,57,0,12,12,12,12,0,0.181818181818182,0.0468085106382979,0.00675241855088878
2929,0,0,374,0,0,14,0,1,2,0,16,3,6,51892,38846,0,0,491877,111742,0,0,234,59,2,0,3,18,18,18,0,0.261437908496732,0.0506912442396313,0.28130275073012
2931,0,0,274,0,0,0,0,0,44,0,4,2,10,64547,30023,0,0,0,0,0,0,0,0,44,0,2,16,16,16,0,0.25,0.0239130434782609,0.180018468496812
2932,0,0,27,0,0,0,0,0,1,0,5,2,9,22709,23968,0,0,0,0,0,0,0,0,1,0,4,34,34,34,24,0.071301247771836,0.0628571428571429,0.0574322785547651
2934,1,0,28,0,0,0,0,0,95,0,109,1,7,8805,0,0,0,0,0,0,0,0,0,95,0,5,4,4,4,0,0.333333333333333,0.0254041570438799,0.00155740872075768
194327,2,0,60,0,0,0,0,0,396,0,1,3,0,8175,3384,0,0,0,0,0,0,0,0,335,0,10,14,14,14,8,0.32967032967033,0.0569948186528497,0.0378186232014223
378243,25,0.12,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0.0833333333333333,0.0780293166944621
452605,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0.0833333333333333,0.0780293166944621
