"upeople_id","no_of_bug_owned","avg_resolution","X3scmChanges","X19scmChanges","X27scmChanges","X70scmChanges","X144scmChanges","X163scmChanges","X198scmChanges","X251scmChanges","X286scmChanges","X297scmChanges","X400scmChanges","X488scmChanges","X35scrChanges","X49scrChanges","X175scrChanges","X256scrChanges","X324scrChanges","X1mslChanges","number_of_domain","country","X3linesadded","X3linesremoved","X19linesadded","X19linesremoved","X27linesadded","X27linesremoved","X70linesadded","X70linesremoved","X144linesadded","X144linesremoved","X163linesadded","X163linesremoved","X251linesadded","X251linesremoved","X286linesadded","X286linesremoved","X297linesadded","X297linesremoved","X488linesadded","X488linesremoved","X35ReviewGotMerged","X49ReviewGotMerged","X175ReviewGotMerged","X256ReviewGotMerged","X324ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,0,0,10,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1744,1670,0,0,0,0,5,0,0,12,0,0,0,0,0,0.0769230769230769,0.00263543087737919
9,8,134,0,4,2,1,1,0,0,0,9,2,0,0,0,0,0,4,0,274,6,6,0,0,494,316,170,25,0,0,24,46,0,0,0,0,16504,16501,350,350,0,0,0,0,0,3,0,1,12,12,12,0,0.181818181818182,0.129032258064516,0.983318680311042
20,51,70.9048,37,2,269,6,56,3,0,1,18,3,0,2,14,20,11,2,18,525,5,6,12970,6723,281,13,64080,22169,2144,26,18434,11731,88,13,47,13,5756,83,281,13,324,2,14,14,8,0,11,4,24,24,24,6.6,0.0507246376811594,0.133333333333333,0.256407677197697
710,11,196,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,1919,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0.0769230769230769,0.00263543087737919
712,4,77,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,6,0,102,1,10,0,0,0,0,0,0,7774,6818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0.0769230769230769,0.00263543087737919
714,15,0,0,0,0,15,0,0,0,0,16,0,0,0,0,19,0,24,0,1,2,8,0,0,0,0,0,0,10933,4146,0,0,0,0,0,0,1917,1502,0,0,0,0,0,12,0,13,0,11,10,10,10,0,0.0444444444444444,0.118811881188119,0.00551388458198419
1580,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,4,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,958,415,0,0,0,0,0,3,0,0,0,3,4,4,4,0,0.333333333333333,0.126315789473684,0.0148976027631066
2624,6,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,89,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26862,11354,0,0,0,0,0,0,0,0,0,2,10,10,10,0,0.266666666666667,0.121212121212121,1
2626,14,0,0,0,0,0,0,0,0,0,29,0,0,0,0,45,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1551,1730,0,0,0,0,0,33,0,0,0,10,18,18,18,9,0.0915032679738562,0.134831460674157,0.0178671223025168
2628,25,16,0,1,0,0,0,0,0,0,29,0,0,0,0,54,0,0,0,24,5,7,0,0,1503,621,0,0,0,0,0,0,0,0,0,0,19195,7146,0,0,0,0,0,28,0,0,0,9,26,26,26,5,0.0492307692307692,0.131868131868132,0.330886253357643
2679,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1803,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0.0769230769230769,0.00263543087737919
395088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0.0769230769230769,0.00263543087737919
433476,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,13,0,0,0,0,0,0.0769230769230769,0.00263543087737919
