"upeople_id","no_of_bug_owned","avg_resolution","X103scmChanges","X208scmChanges","X377scmChanges","X383scmChanges","X398scmChanges","X40scrChanges","X63scrChanges","X349scrChanges","X408scrChanges","X1mslChanges","X2mslChanges","number_of_domain","country","X103linesadded","X103linesremoved","X208linesadded","X208linesremoved","X377linesadded","X377linesremoved","X383linesadded","X383linesremoved","X398linesadded","X398linesremoved","X40ReviewGotMerged","X63ReviewGotMerged","X349ReviewGotMerged","X408ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
24,1,0,0,0,0,0,0,0,0,0,0,51,24,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
26,1,0,0,0,0,0,0,0,0,0,0,9,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
177,8,0,0,0,0,0,0,0,0,0,0,5,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
197,1,0,0,0,0,10,2,1,0,0,4,0,1,3,7,0,0,0,0,0,0,6733,6639,302,128,0,0,0,4,15,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
199,20,7.55,0,0,50,5,10,248,0,0,2,58,7,3,6,0,0,0,0,5332,2293,20,9,842,203,195,0,0,0,8,50,50,50,19.6027255898224,0.0587755102040816,0.0173933209647495,0.00417147709659597
258,1,1,0,0,0,2,0,0,1,0,0,0,0,2,9,0,0,0,0,0,0,77,41,0,0,0,0,0,0,11,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
273,7,27.5714,0,0,2,0,2,6,0,0,0,28,92,7,9,0,0,0,0,15,31,0,0,10,2,6,0,0,0,13,10,10,10,0,0.133333333333333,0.0173490631505899,0.000117151236701616
276,3,0,0,0,4,1,0,6,10,0,0,0,0,5,8,0,0,0,0,122,60,14,17,0,0,2,2,0,0,2,12,12,12,16.1708957708958,0.303030303030303,0.0174216027874564,0.000114816462321316
319,1,20,0,0,0,0,0,0,0,0,0,0,8,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
341,10,28.8,2,0,0,0,0,0,0,0,0,12,39,1,7,16,13,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
388,46,10.8667,0,0,64,0,0,0,0,0,0,121,20,3,6,0,0,0,0,13854,1151,0,0,0,0,0,0,0,0,50,20,20,20,18.0666666666667,0.294736842105263,0.0173330251906633,0.02776722376254
411,388,24.4651,22,0,1459,69,22,0,0,0,1,245,224,4,6,1759,3357,0,0,230533,366254,1351,918,2050,1693,0,0,0,1,10,62,62,62,37.7111109320787,0.0645161290322581,0.0174337517433752,1
412,141,41.2302,6,254,442,0,581,0,0,0,1,108,83,2,7,1252,110,4125,2615,58512,34818,0,0,58572,29018,0,0,0,0,16,24,24,24,11.542982823628,0.202898550724638,0.0174013921113689,0.406627737112389
417,2,1,0,0,884,0,0,23,0,0,0,199,73,6,8,0,0,0,0,103709,67322,0,0,0,0,23,0,0,0,72,34,34,34,0.75,0.142602495543672,0.0173330251906633,0.626132112294105
430,3,211.6667,0,2,0,0,18,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,49273,1096,0,0,0,0,28,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
443,2,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
526,2,1.5,0,0,0,5,0,0,1,0,1,18,42,6,9,0,0,0,0,0,0,713,75,0,0,0,0,0,1,6,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
527,22,22.2727,0,0,50,0,0,0,0,0,0,7,0,4,10,0,0,0,0,17163,1886,0,0,0,0,0,0,0,0,1,10,10,10,0,0.444444444444444,0.0171900068760028,0.0022351459359443
587,1,0,0,1,10,0,6,3,0,1,25,3,0,5,8,0,0,0,2,189,292,0,0,215,1266,3,0,1,16,9,20,20,20,0,0.2,0.0173210161662818,0.000646550906817775
589,33,10.9394,66,13,22,646,3187,10,72,5,84,120,1251,4,7,22708,568,544,5256,768,355,78134,61073,491412,404997,9,50,5,69,73,24,24,24,4.32359307359307,0.130434782608696,0.0173812282734647,0.00108658097797092
670,372,36.7832,169,1,1557,28,207,108,0,0,3,1061,581,13,8,1785458,1470684,3441,0,1517575,825811,4356,3939,38008,19911,97,0,0,3,7,138,138,138,79.0658570819861,0.0126943827356395,0.0174581005586592,0.93188176607926
693,1,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
721,1,47,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
765,33,111.5758,9,0,0,190,0,0,0,0,0,0,58,2,10,1053,305,0,0,0,0,45742,26363,0,0,0,0,0,0,30,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
808,30,13.3,0,0,33,0,0,0,0,0,0,37,0,2,8,0,0,0,0,5475,1341,0,0,0,0,0,0,0,0,4,44,44,44,27.9307359307359,0.0782241014799154,0.0174216027874564,0.00181579193459414
829,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
1120,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
1307,26,102.8,26,0,50,0,1,27,0,0,0,26,0,4,6,30453,32747,0,0,4831,5123,0,0,2,2,26,0,0,0,5,24,24,24,2.64285714285714,0.173913043478261,0.0173570932654478,0.000870530387707713
1401,4,0.75,18,0,0,75,0,0,0,0,0,8,167,4,6,7574,821,0,0,0,0,12328,6282,0,0,0,0,0,0,27,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
1404,49,42,10,0,6,0,0,0,0,0,0,13,0,4,7,5370,1844,0,0,107,52,0,0,0,0,0,0,0,0,52,20,20,20,12.7571428571429,0.157894736842105,0.0173611111111111,0.00628937130452571
1407,14,35.2857,130,0,71,0,0,0,0,0,0,40,3,1,7,2691,794,0,0,89469,930,0,0,0,0,0,0,0,0,47,14,14,14,0,0.32967032967033,0.0172970479704797,0.0901667457881993
1449,1,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
