"upeople_id","no_of_bug_owned","avg_resolution","X31scmChanges","X73scmChanges","X186scmChanges","X367scmChanges","number_of_domain","country","X31linesadded","X31linesremoved","X73linesadded","X73linesremoved","X186linesadded","X186linesremoved","X367linesadded","X367linesremoved","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
92,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0.03125,0.124201736400941
273,2,0,274,16,54,23,7,9,19249,24178,41,24,413,328,2055,510,2,6,6,6,0,0.4,0.0339912280701754,1
348,29,16.5862,326,0,34,2,5,7,41784,34645,0,0,1057,252,223,16,6,6,6,6,2,0.4,0.0342920353982301,0.23601686932562
368,147,11.4014,0,0,0,0,1,10,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0.03125,0.124201736400941
369,49,0.3061,10,0,1,0,3,7,1932,318,0,0,15,1,0,0,16,6,6,6,2,0.4,0.0342920353982301,0.0549666547146153
370,44,19.9545,59,3,15,0,1,9,3556,1334,269,56,1158,552,0,0,25,6,6,6,0,0.4,0.0341409691629956,0.964554872371587
371,3,12.3333,3,0,0,0,3,10,9,15,0,0,0,0,0,0,3,0,0,0,0,0,0.03125,0.124201736400941
462,3,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0.03125,0.124201736400941
1082,1,65,0,0,0,0,3,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.03125,0.124201736400941
1635,3,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0.03125,0.124201736400941
1822,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0.03125,0.124201736400941
380768,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0.03125,0.124201736400941
380771,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.03125,0.124201736400941
380783,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0.03125,0.124201736400941
380784,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0.03125,0.124201736400941
380797,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0.03125,0.124201736400941
380799,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0.03125,0.124201736400941
380827,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0.03125,0.124201736400941
380968,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0.03125,0.124201736400941
380983,190,8.5316,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0.03125,0.124201736400941
381200,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0.03125,0.124201736400941
383677,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0.03125,0.124201736400941
396078,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0.03125,0.124201736400941
399275,1,542,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0.03125,0.124201736400941
432947,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0.03125,0.124201736400941
433088,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0.03125,0.124201736400941
446729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0.03125,0.124201736400941
446954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0.03125,0.124201736400941
446956,15,1.9333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0.03125,0.124201736400941
446957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0.03125,0.124201736400941
447272,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0.03125,0.124201736400941
447528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0.03125,0.124201736400941
