"upeople_id","no_of_bug_owned","avg_resolution","X153scmChanges","X317scrChanges","X1mslChanges","number_of_domain","country","X153linesadded","X153linesremoved","X317ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
1718,0,0,1089,0,3,2,10,170672,110135,0,8,22,22,22,0,0.0865800865800866,0.0592783505154639,0.0111678393765123
1727,3,32,0,338,0,1,6,0,0,296,4,0,0,0,0,0,0.0416666666666667,3.66667442661121e-05
1728,1,0,1777,2464,0,1,9,3384155,685124,2341,6,32,32,32,0,0.149193548387097,0.0672514619883041,1
1730,0,0,1415,2973,0,3,7,977487,653975,2701,7,36,36,36,15.3333333333333,0.117460317460317,0.0676470588235294,0.576507118340534
1732,0,0,246,53,7,1,6,80536,80999,50,11,48,48,48,9.6,0.049645390070922,0.0678466076696165,0.0616574276932008
1740,1,0,26,11,0,2,6,385,658,11,15,22,22,22,24.6238095238095,0.164502164502165,0.0690690690690691,0.00201948133593509
1741,19,9.9474,731,1541,1,1,7,273810,120025,1422,16,30,30,30,3.38095238095238,0.170114942528736,0.0674486803519062,0.490554039056812
1750,0,0,104,824,0,2,7,29326,13414,760,19,22,22,22,13.3238095238095,0.285714285714286,0.0682492581602374,0.0468330087260301
1751,6,22.6667,363,690,0,1,8,148185,61523,591,20,18,18,18,6,0.261437908496732,0.0646067415730337,0.70073236814591
1753,4,0.75,16,16,0,1,10,464,255,16,21,12,12,12,1.7,0.303030303030303,0.0670553935860058,0.00012195658602956
1756,0,0,145,1084,1,1,6,16201,17990,1021,14,20,20,20,0,0.305263157894737,0.064066852367688,0.183104256579532
1757,1,44,24,350,1,1,7,3689,1073,319,22,12,12,12,0,0.454545454545455,0.0534883720930233,0.00522606533973081
1760,0,0,4,4,0,1,10,284,752,4,23,10,10,10,4,0.444444444444444,0.0660919540229885,0.000526079889986152
2247,0,0,0,0,5,1,8,0,0,0,3,0,0,0,0,0,0.0416666666666667,3.66667442661121e-05
378243,4,0,0,0,0,13,0,0,0,0,2,0,0,0,0,0,0.0416666666666667,3.66667442661121e-05
379821,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0416666666666667,3.66667442661121e-05
384577,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0.0416666666666667,3.66667442661121e-05
384581,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0.0416666666666667,3.66667442661121e-05
384582,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0.0416666666666667,3.66667442661121e-05
384583,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0.0416666666666667,3.66667442661121e-05
384584,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0.0416666666666667,3.66667442661121e-05
384589,0,0,0,0,3,1,0,0,0,0,17,0,0,0,0,0,0.0416666666666667,3.66667442661121e-05
445613,1,0,0,2,0,1,0,0,0,2,24,0,0,0,0,0,0.0416666666666667,3.66667442661121e-05
447367,0,0,0,42,0,0,0,0,0,25,18,0,0,0,0,0,0.0416666666666667,3.66667442661121e-05
