"upeople_id","no_of_bug_owned","avg_resolution","X213scmChanges","X247scmChanges","X374scmChanges","X197scrChanges","X209scrChanges","X294scrChanges","X2mslChanges","number_of_domain","country","X213linesadded","X213linesremoved","X247linesadded","X247linesremoved","X374linesadded","X374linesremoved","X197ReviewGotMerged","X209ReviewGotMerged","X294ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
197,0,0,0,19,0,0,0,44,0,3,7,0,0,471,313,0,0,0,0,38,7,48,48,48,26.0497696023783,0.326241134751773,0.104803493449782,0.0151557391854162
276,0,0,0,0,0,0,0,5,3,5,8,0,0,0,0,0,0,0,0,2,23,0,0,0,0,0,0.04,4.74597536456885e-07
415,18,81.8889,0,87,2,0,8,227,65,3,6,0,0,6723,1376,726,15,0,2,181,1,126,126,126,101.258461538462,0.0467301587301587,0.111627906976744,0.218521934557043
444,1,44,1,243,0,6,0,1111,88,3,9,35,3,10575,4546,0,0,1,0,922,24,50,50,50,0,0.300408163265306,0.102564102564103,0.480856556954198
526,3,4.3333,0,7,5,0,24,64,69,6,9,0,0,347,127,1879,0,0,19,38,3,30,30,30,13.0671428571429,0.418390804597701,0.106194690265487,0.0031894275190602
550,1,5,0,25,0,0,0,196,0,5,6,0,0,3244,1406,0,0,0,0,99,12,46,46,46,0,0.355555555555556,0.0699708454810496,0.0532684346897442
818,106,19.1698,399,333,0,965,0,895,0,3,6,59467,18652,21734,5751,0,0,929,0,781,2,50,50,50,0,0.300408163265306,0.051948051948052,0.818698419356524
832,54,44.2222,0,493,0,2,0,1742,105,1,8,0,0,31308,20251,0,0,2,0,1513,8,52,52,52,0,0.277526395173454,0.0676056338028169,0.793047644016541
838,6,26.6667,0,267,0,3,0,1254,338,1,9,0,0,13798,7982,0,0,3,0,1015,11,50,50,50,0,0.300408163265306,0.0518358531317495,0.39588631065845
869,0,0,0,18,0,0,0,189,115,5,8,0,0,2122,486,0,0,0,0,149,21,48,48,48,0,0.326241134751773,0.0948616600790514,0.0791451251977135
1527,2,0,37,0,0,96,0,0,6,2,6,2785,563,0,0,0,0,60,0,0,5,0,0,0,0,0,0.04,4.74597536456885e-07
1554,1,3,0,6,0,0,0,59,57,2,8,0,0,287,91,0,0,0,0,33,4,48,48,48,7.52666666666667,0.326241134751773,0.10762331838565,0.014423513105483
2241,60,66.9,0,253,0,0,0,635,74,6,10,0,0,16441,7026,0,0,0,0,565,13,50,50,50,0,0.300408163265306,0.0745341614906832,0.519869511714185
2242,63,19.4762,0,432,0,0,0,1131,45,1,7,0,0,69540,27563,0,0,0,0,992,14,50,50,50,0,0.300408163265306,0.0321285140562249,1
2244,35,54.1143,0,273,0,1,0,1596,120,2,6,0,0,31246,13376,0,0,0,0,1431,16,56,56,56,19,0.238961038961039,0.0757097791798107,0.42268208213123
2249,14,250.5714,0,30,0,6,0,131,94,2,7,0,0,667,634,0,0,6,0,122,6,50,50,50,0.82051282051282,0.300408163265306,0.106666666666667,0.0372097310908426
2253,1,0,0,1,0,0,0,3,14,4,9,0,0,104,104,0,0,0,0,3,15,44,44,44,0,0.361522198731501,0.0991735537190083,0.0118308320915075
2256,7,24.7143,0,36,0,0,0,73,13,1,7,0,0,2067,565,0,0,0,0,65,18,50,50,50,0,0.300408163265306,0.102127659574468,0.0748684165459398
2259,1,0,0,5,0,0,0,36,0,2,7,0,0,884,152,0,0,0,0,23,19,122,122,122,92.1506049988659,0.0463351849342907,0.111111111111111,0.0248363325810881
2262,0,0,0,1,0,0,0,2,0,2,9,0,0,189,0,0,0,0,0,2,20,44,44,44,1.02239789196311,0.361522198731501,0.10126582278481,0.00988627842824005
2263,3,2.3333,0,13,0,0,0,58,24,2,8,0,0,1676,99,0,0,0,0,37,17,46,46,46,0,0.330434782608696,0.094488188976378,0.0676295776782136
2269,0,0,0,10,0,0,0,28,0,1,7,0,0,1390,259,0,0,0,0,27,22,46,46,46,0,0.330434782608696,0.094488188976378,0.0453196331359095
2270,1,524,0,10,0,0,0,80,5,4,9,0,0,3458,304,0,0,0,0,79,25,94,94,94,35.6248351648352,0.0782429649965683,0.111111111111111,0.06640710239084
378243,1009,10.96,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0.04,4.74597536456885e-07
432589,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.04,4.74597536456885e-07
