"upeople_id","no_of_bug_owned","avg_resolution","X197scmChanges","X420scmChanges","X432scmChanges","X439scmChanges","X318scrChanges","X364scrChanges","X458scrChanges","X459scrChanges","X1mslChanges","number_of_domain","country","X197linesadded","X197linesremoved","X420linesadded","X420linesremoved","X432linesadded","X432linesremoved","X439linesadded","X439linesremoved","X318ReviewGotMerged","X364ReviewGotMerged","X458ReviewGotMerged","X459ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
167,2,0.5,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.0133333333333333,4.1639943057496e-07
536,3,4.3333,12,125,2,2,428,26,4,4,4,2,7,377,100,55363,19698,184,0,184,0,415,26,4,4,27,56,56,56,43.874208539998,0.207792207792208,0.0239948119325551,0.0593427260783249
826,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0133333333333333,4.1639943057496e-07
889,1,73,0,2,0,0,8,0,0,0,0,3,10,0,0,59,25,0,0,0,0,8,0,0,0,65,2,2,2,0,0,0.0228818800247372,0.000101899963236921
2038,11,0.2727,244,464,7,155,207,15,0,2,6,3,10,280068,72320,588470,208359,163,161,17716,8636,185,13,0,2,59,84,84,84,58.6625480814335,0.140562248995984,0.0238555770470664,0.467824874298409
2039,4,228,45,396,12,214,1400,11,53,5,0,3,6,1747,233,72587,34820,626,15,8072,2206,1302,8,53,5,20,128,128,128,62.6735375563549,0.0588090551181102,0.0240025948751216,0.364544503485699
2040,4,1,23,249,0,0,172,0,0,0,11,2,9,40208,4031,43579,30216,0,0,0,0,154,0,0,0,22,56,56,56,20.6588395780346,0.248051948051948,0.0238632699129313,0.199471625374552
2041,1,1,22,726,0,6,28,0,0,0,2,4,10,1006,139,72180,36616,0,0,0,0,25,0,0,0,2,60,60,60,36.7588684105712,0.218079096045198,0.0239482200647249,0.487272620916336
2042,0,0,100,545,16,117,239,23,73,13,2,1,10,287661,287032,500711,441099,5527,2676,9572,5456,223,23,68,13,4,112,112,112,23.4091153256788,0.055984555984556,0.0238940910558605,1
2043,1,1,18,289,0,0,104,8,0,0,0,3,8,11740,3838,59881,13436,0,0,0,0,93,8,0,0,25,98,98,98,77.1576371770644,0.0841573742899221,0.0240103828682674,0.21670456406408
2046,1,7,29,270,35,155,518,34,217,52,2,1,10,669,2508,20320,20511,1114,765,2474,1656,497,31,215,48,5,66,66,66,57.9077429106841,0.202331002331002,0.0238786705388835,0.504216446701799
2050,0,0,1,158,3,0,564,6,0,7,0,1,8,25,8,16456,9533,8,3,0,0,527,2,0,7,47,58,58,58,35.7159126133584,0.251663641863279,0.0239327296248383,0.0289877140881422
3182,1,0,0,61,0,0,12,0,0,0,0,1,6,0,0,1848,562,0,0,0,0,12,0,0,0,12,38,38,38,8.56065776328934,0.284495021337127,0.0239095315024233,0.0374573738865971
3183,0,0,0,35,0,0,0,0,0,0,0,1,9,0,0,960,102,0,0,0,0,0,0,0,0,44,32,32,32,17.4627872127872,0.286290322580645,0.0238325281803543,0.024403738569238
3184,3,0,0,510,4,4,220,0,7,0,0,3,9,0,0,57867,93316,24,3493,4,2651,218,0,5,0,14,62,62,62,37.1485452456041,0.222104706504495,0.0239018087855297,0.467215152074346
3185,5,5,0,30,0,0,35,0,0,0,0,3,8,0,0,6351,2416,0,0,0,0,35,0,0,0,17,36,36,36,20.5562409211016,0.33968253968254,0.0238863783085862,0.0068402234860991
3186,0,0,0,34,0,0,60,0,0,0,0,3,7,0,0,827,327,0,0,0,0,54,0,0,0,13,50,50,50,35.792153675358,0.267755102040816,0.0239559728067336,0.00602781424694943
3187,0,0,0,23,0,4,26,0,0,0,0,1,9,0,0,1489,768,0,0,61,35,21,0,0,0,18,20,20,20,0,0.378947368421053,0.0236270753512133,0.00450256575842786
3188,3,0.3333,0,4,0,0,3,0,0,0,0,1,7,0,0,43,2,0,0,0,0,3,0,0,0,32,16,16,16,26.8239039082692,0.35,0.0238863783085862,0.000252586510614785
3191,1,3,0,26,0,0,32,0,0,0,0,2,7,0,0,1521,863,0,0,0,0,25,0,0,0,16,46,46,46,1.23174603174603,0.106280193236715,0.0238095238095238,0.00821401933476988
3192,0,0,0,5,0,0,8,0,0,0,0,1,9,0,0,649,263,0,0,0,0,8,0,0,0,19,32,32,32,5.25714285714286,0.358870967741935,0.0237483953786906,0.00249685123776337
3193,1,42,0,2,0,0,0,0,0,0,0,2,8,0,0,231,7,0,0,0,0,0,0,0,0,70,22,22,22,1.23921568627451,0.303030303030303,0.0236951649055395,0.00214647186724706
3195,4,2.75,0,15,0,0,0,0,0,0,0,3,6,0,0,2758,463,0,0,0,0,0,0,0,0,26,32,32,32,39.363921046274,0.290322580645161,0.0238786705388835,0.00257488916896438
3197,1,0,18,152,9,32,302,0,7,0,2,3,7,622,625,24725,14447,56,56,240,354,207,0,3,0,42,50,50,50,10.570098932715,0.313469387755102,0.0238863783085862,0.127303489945109
3198,1,14,0,2,0,0,0,0,0,0,0,1,8,0,0,725,94,0,0,0,0,0,0,0,0,33,18,18,18,0,0.366013071895425,0.0232266164469554,0.0048302728736017
3200,1,0,0,16,0,0,3,0,0,0,1,1,6,0,0,356,50,0,0,0,0,3,0,0,0,21,26,26,26,36.237432441999,0.393846153846154,0.0239559728067336,0.00179978859316592
3201,1,0,0,1,0,0,0,0,0,0,0,2,7,0,0,34,16,0,0,0,0,0,0,0,0,73,16,16,16,6.00749967266995,0.35,0.0239095315024233,0.00059666751658465
3202,4,0.75,0,26,0,0,59,0,0,0,0,4,6,0,0,2644,317,0,0,0,0,56,0,0,0,31,34,34,34,54.0736646738195,0.35650623885918,0.0239714933592485,0.00146223323542408
