"upeople_id","no_of_bug_owned","avg_resolution","X9scmChanges","X23scmChanges","X164scmChanges","X373scrChanges","X1mslChanges","number_of_domain","country","X9linesadded","X9linesremoved","X23linesadded","X23linesremoved","X164linesadded","X164linesremoved","X373ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
104,17,15.6471,95,111,1716,9,2,5,10,18013,11350,123827,11794,1262632,1021414,9,4,60,60,60,0,0.0203389830508475,0.129411764705882,1
106,7,106.4286,22,32,229,0,26,7,7,814,1302,26949,58336,41836,37380,0,3,52,52,52,0,0.0271493212669683,0.120879120879121,0.359027203627719
107,0,0,14,12,201,0,3,2,7,1319,3077,655,538,14556,15434,0,9,36,36,36,0.8,0.0476190476190476,0.132530120481928,0.0496512587683271
108,5,0,14,6,94,0,3,4,8,61,295,27,25,39503,19876,0,10,44,44,44,15.8,0.0380549682875264,0.150684931506849,0.104720960215436
315,7,42,0,1,189,0,2,2,9,0,0,221,704,73023,38047,0,6,46,46,46,0,0.0289855072463768,0.126436781609195,0.473621116862049
316,0,0,0,2,12,0,0,1,9,0,0,139,0,5855,6463,0,8,22,22,22,0,0.12987012987013,0.129411764705882,0.0113308070551458
317,1,144,0,21,5,0,1,1,6,0,0,6916,3320,1373,1319,0,1,14,14,14,0,0.131868131868132,0.0814814814814815,0.00161036428377161
576,2,186.5,0,0,276,11,1,4,7,0,0,0,0,754372,704370,11,11,50,50,50,10,0.0293877551020408,0.146666666666667,0.604712092385747
3234,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,12,0,0,0,0,0,0.0833333333333333,0.000157062265308079
378243,53,16.3774,0,0,0,0,0,13,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0.0833333333333333,0.000157062265308079
382301,1,101,0,0,0,0,1,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0.0833333333333333,0.000157062265308079
382974,1,158,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0833333333333333,0.000157062265308079
