"no_of_bug_owned","avg_resolution","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
0,0,2,5,176,6,6,1,10,5,20,6,6,6,14,0.133333333333333,0.0111571565189672,0.024734269354216,24
47,5.4222,1499,199,924,5,7,382374,374136,174,8,24,24,24,32,0.0217391304347826,0.0113599480688088,1,95
2,1.5,0,0,34,5,7,0,0,0,13,0,0,0,0,0,0.0277777777777778,0.00911410372037604,198
13,2.6154,14,0,163,7,9,22,22,0,11,2,2,2,0,0,0.00731452455590387,0.113868779666688,273
1,0,0,0,0,3,10,0,0,0,14,0,0,0,0,0,0.0277777777777778,0.00911410372037604,371
1,0,0,0,106,2,7,0,0,0,23,0,0,0,0,0,0.0277777777777778,0.00911410372037604,379
1,6,0,3,21,3,6,0,0,3,3,0,0,0,0,0,0.0277777777777778,0.00911410372037604,415
8,0.875,8,0,37,1,6,688,66,0,6,4,4,4,8,0.333333333333333,0.0076703922857769,0.135298848869585,494
0,0,0,6,15,4,10,0,0,6,4,0,0,0,0,0,0.0277777777777778,0.00911410372037604,517
2,0,3,21,40,6,9,1804,1797,21,5,4,4,4,0,0.333333333333333,0.00717948717948718,0.178455235707639,526
10,68.9,11,1,131,4,10,51,42,1,1,6,6,6,8,0.266666666666667,0.0111358574610245,0.258359440041612,527
1,0,25,9,100,4,10,61,97,7,15,2,2,2,0,0,0.00270040891906489,0.662996210441786,554
0,0,0,0,13,3,10,0,0,0,7,0,0,0,0,0,0.0277777777777778,0.00911410372037604,1082
1,0,0,0,0,4,6,0,0,0,26,0,0,0,0,0,0.0277777777777778,0.00911410372037604,1159
64,36.3443,201,0,56,2,7,14178,7316,0,2,0,0,0,0,0,0.0277777777777778,0.00911410372037604,1539
0,0,6,2,24,4,8,14,11,2,28,4,4,4,0,0.333333333333333,0.0111075848936845,0.0408936677932139,1866
0,0,0,0,3,1,7,0,0,0,29,0,0,0,0,0,0.0277777777777778,0.00911410372037604,1867
0,0,13,4,2,3,10,29,20,4,36,8,8,8,0,0,0.00934579439252336,0.160299590137761,2038
1,0,42,4,122,4,7,177,113,4,21,8,8,8,0,0,0.010388839418225,0.645406028197074,2585
0,0,0,0,11,7,6,0,0,0,24,0,0,0,0,0,0.0277777777777778,0.00911410372037604,3080
1,0,0,0,13,1,8,0,0,0,30,0,0,0,0,0,0.0277777777777778,0.00911410372037604,3204
66,18.3636,0,0,0,13,0,0,0,0,31,0,0,0,0,0,0.0277777777777778,0.00911410372037604,378243
1,0,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0.0277777777777778,0.00911410372037604,378539
4,165.75,0,0,33,3,0,0,0,0,10,0,0,0,0,0,0.0277777777777778,0.00911410372037604,378553
3,127.3333,0,0,50,2,0,0,0,0,16,0,0,0,0,0,0.0277777777777778,0.00911410372037604,379016
1,0,0,0,15,3,0,0,0,0,17,0,0,0,0,0,0.0277777777777778,0.00911410372037604,379031
0,0,0,0,34,2,0,0,0,0,18,0,0,0,0,0,0.0277777777777778,0.00911410372037604,379033
1,0,0,0,1,1,0,0,0,0,25,0,0,0,0,0,0.0277777777777778,0.00911410372037604,382296
2,0,0,2,21,1,0,0,0,2,27,0,0,0,0,0,0.0277777777777778,0.00911410372037604,385203
1,0,0,0,4,1,0,0,0,0,32,0,0,0,0,0,0.0277777777777778,0.00911410372037604,386603
0,0,0,0,40,2,0,0,0,0,35,0,0,0,0,0,0.0277777777777778,0.00911410372037604,386677
0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0.0277777777777778,0.00911410372037604,433472
1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0.0277777777777778,0.00911410372037604,434143
1,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0.0277777777777778,0.00911410372037604,446729
0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0.0277777777777778,0.00911410372037604,446983
1,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0.0277777777777778,0.00911410372037604,447615
