"","no_of_bug_owned","avg_resolution","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
"no_of_bug_owned",1,0.0260746027293208,-0.117720620029912,-0.112297500371442,-0.152402477035488,0.847621736474172,-0.307254833239135,-0.148042492471337,-0.136415801766821,-0.111489191947893,-0.175501007389788,-0.188258846065362,-0.188258846065362,-0.188258846065362,-0.106464226802549,-0.165917802669522,0.178990733791855,-0.108698094315654,0.289889261096355
"avg_resolution",0.0260746027293208,1,-0.0775591675362944,-0.107549478818785,-0.0425421634617263,-0.00746227217834061,-0.257670278213045,0.00845683094911361,-0.103442526074592,-0.106511990589635,0.114865164433126,-0.109918713722787,-0.109918713722787,-0.109918713722787,-0.149549382534003,0.00092395989630409,0.0824649895103683,-0.10561469813219,0.243880055918257
"scmChanges",-0.117720620029912,-0.0775591675362944,1,0.987393599431679,0.175378935915928,0.0194003149888491,0.243985771507911,0.836631988912044,0.408676135607443,0.988269965702917,-0.214586867244222,0.648069200611608,0.648069200611608,0.648069200611608,0.0696602008968709,0.429267110222983,-0.841891496586774,0.933331957538728,-0.39455246156935
"scrChanges",-0.112297500371442,-0.107549478818785,0.987393599431679,1,0.192450504469667,0.00167107444993893,0.212143803010449,0.759701876918211,0.463779254767007,0.999942728477895,-0.258081466453839,0.640281476285579,0.640281476285579,0.640281476285579,0.0604402554125403,0.349820750244219,-0.822567678799849,0.919673556524981,-0.375476628985646
"mslChanges",-0.152402477035488,-0.0425421634617263,0.175378935915928,0.192450504469667,1,0.203674817753778,0.398964988594653,0.350738927250306,0.84910474280898,0.18397533281676,-0.460324612062408,0.704452310287643,0.704452310287643,0.704452310287643,0.103904813594712,0.545835423465621,-0.602766261039839,0.0147958409786964,-0.490915135467847
"number_of_domain",0.847621736474172,-0.00746227217834061,0.0194003149888491,0.00167107444993893,0.203674817753778,1,0.0175059873649506,0.139535918866036,0.178690539191239,3.71361515008898e-05,-0.444207657566125,0.11012259201762,0.11012259201762,0.11012259201762,-0.185125089878458,0.0520724624484062,-0.0665550157268061,-0.0235475709793699,-0.0900328163846265
"country",-0.307254833239135,-0.257670278213045,0.243985771507911,0.212143803010449,0.398964988594653,0.0175059873649506,1,0.394783275815034,0.297663427409982,0.210534252622842,-0.0813451834782084,0.515743914994964,0.515743914994964,0.515743914994964,0.424047963655464,0.527212627215054,-0.457361744436158,0.253729878060321,-0.961812361851531
"linesadded",-0.148042492471337,0.00845683094911361,0.836631988912044,0.759701876918211,0.350738927250306,0.139535918866036,0.394783275815034,1,0.458961668316549,0.759912772436198,-0.0860769460067586,0.783471915347573,0.783471915347573,0.783471915347573,0.106554262367216,0.618859443327556,-0.817871130254226,0.813120804801982,-0.489723612163599
"linesremoved",-0.136415801766821,-0.103442526074592,0.408676135607443,0.463779254767007,0.84910474280898,0.178690539191239,0.297663427409982,0.458961668316549,1,0.454509148242417,-0.416367780709848,0.811598351558133,0.811598351558133,0.811598351558133,-0.0146957761859053,0.245400462140501,-0.608265303621088,0.344471500398304,-0.437691496034248
"ReviewGotMerged",-0.111489191947893,-0.106511990589635,0.988269965702917,0.999942728477895,0.18397533281676,3.71361515008898e-05,0.210534252622842,0.759912772436198,0.454509148242417,1,-0.254170543663446,0.634969961119401,0.634969961119401,0.634969961119401,0.0610625169086187,0.350196058903278,-0.820520219303701,0.92094918655226,-0.372986346671217
"X",-0.175501007389788,0.114865164433126,-0.214586867244222,-0.258081466453839,-0.460324612062408,-0.444207657566125,-0.0813451834782084,-0.0860769460067586,-0.416367780709848,-0.254170543663446,1,-0.17388993228088,-0.17388993228088,-0.17388993228088,0.269977347141821,-0.130289862375922,0.327148561657826,0.000273860958365608,0.261021572974701
"in_degree",-0.188258846065362,-0.109918713722787,0.648069200611608,0.640281476285579,0.704452310287643,0.11012259201762,0.515743914994964,0.783471915347573,0.811598351558133,0.634969961119401,-0.17388993228088,1,1,1,0.398267226385564,0.617925674781303,-0.844031046971481,0.661947344554037,-0.607003241322361
"out_degree",-0.188258846065362,-0.109918713722787,0.648069200611608,0.640281476285579,0.704452310287643,0.11012259201762,0.515743914994964,0.783471915347573,0.811598351558133,0.634969961119401,-0.17388993228088,1,1,1,0.398267226385564,0.617925674781303,-0.844031046971481,0.661947344554037,-0.607003241322361
"degree",-0.188258846065362,-0.109918713722787,0.648069200611608,0.640281476285579,0.704452310287643,0.11012259201762,0.515743914994964,0.783471915347573,0.811598351558133,0.634969961119401,-0.17388993228088,1,1,1,0.398267226385564,0.617925674781303,-0.844031046971481,0.661947344554037,-0.607003241322361
"betweenness",-0.106464226802549,-0.149549382534003,0.0696602008968709,0.0604402554125403,0.103904813594712,-0.185125089878458,0.424047963655464,0.106554262367216,-0.0146957761859053,0.0610625169086187,0.269977347141821,0.398267226385564,0.398267226385564,0.398267226385564,1,0.549010088650399,-0.318774842521184,0.211100806291977,-0.332634513029189
"clustcoeff",-0.165917802669522,0.00092395989630409,0.429267110222983,0.349820750244219,0.545835423465621,0.0520724624484062,0.527212627215054,0.618859443327556,0.245400462140501,0.350196058903278,-0.130289862375922,0.617925674781303,0.617925674781303,0.617925674781303,0.549010088650399,1,-0.782730027532021,0.303964877597052,-0.544271567200471
"closeness",0.178990733791855,0.0824649895103683,-0.841891496586774,-0.822567678799849,-0.602766261039839,-0.0665550157268061,-0.457361744436158,-0.817871130254226,-0.608265303621088,-0.820520219303701,0.327148561657826,-0.844031046971481,-0.844031046971481,-0.844031046971481,-0.318774842521184,-0.782730027532021,1,-0.709697194670672,0.589080410972766
"eigencentrality",-0.108698094315654,-0.10561469813219,0.933331957538728,0.919673556524981,0.0147958409786964,-0.0235475709793699,0.253729878060321,0.813120804801982,0.344471500398304,0.92094918655226,0.000273860958365608,0.661947344554037,0.661947344554037,0.661947344554037,0.211100806291977,0.303964877597052,-0.709697194670672,1,-0.35863475757817
"upeople_id",0.289889261096355,0.243880055918257,-0.39455246156935,-0.375476628985646,-0.490915135467847,-0.0900328163846265,-0.961812361851531,-0.489723612163599,-0.437691496034248,-0.372986346671217,0.261021572974701,-0.607003241322361,-0.607003241322361,-0.607003241322361,-0.332634513029189,-0.544271567200471,0.589080410972766,-0.35863475757817,1
