"","temp","degree_centralization","betweenness_centralization","closeness_centralization","eigenvector_centralization","global_clustcoeff","assortativity","diameter","avg_degree","modularity","density","avg_path_length","vertices","edges"
"1","102_1",0.185650887573965,0.0262543750241714,0.0113670173196336,0.860157565947848,0.338235294117647,-0.346268882747132,13,3.05660377358491,0.119493979576284,0.0293904208998549,1.89705882352941,53,81
"2","102_2",0.0188609467455621,0,0.000718711622194942,0.980769230769231,0,0,1,0.0754716981132075,-0.5,0.000725689404934688,1,53,2
"3","102_3",0.125369822485207,0.0101809954751131,0.0064148187365826,0.919924365116265,0.446808510638298,-0.287649402390438,8,1.20754716981132,0.1796875,0.011611030478955,1.88888888888889,53,32
"4","102_4",0.0887573964497041,0.0115732683605987,0.00564311880826225,0.937013984762744,0.333333333333333,0.184460260972716,9,0.943396226415094,0.2592,0.0090711175616836,2.35135135135135,53,25
"5","102_5",0.114275147928994,0.00226244343891403,0.00215623495392922,0.98478292601004,0,-0.5,4,0.339622641509434,0,0.0032656023222061,1.5,53,9
"6","104_1",0.305770374776918,0.0758774538964902,0.0137810043486454,0.915215858873209,0.0983606557377049,-0.730351771936707,10,1.52380952380952,0.138671875,0.0185830429732869,1.94871794871795,42,32
"7","105_1",0.0680473372781065,0.00307692307692308,0.0104988632675326,0.945607170677958,0,-0.777777777777778,3,0.592592592592593,0.5,0.0113960113960114,1.2,27,8
"8","107_1",0.0439506172839506,0,0.000955448201825036,0,0,-0.5,1,0.130434782608696,0,0.00144927536231884,1,46,3
"9","107_2",0.0207407407407407,0,0.000912018738105723,0,0,0,5,0.173913043478261,0.5,0.00193236714975845,1,46,4
"10","108_1",0.219504132231405,0.0280583613916947,0.00834809554655306,0.906778353049717,0.42,-0.312783858238404,9,2.28571428571429,0.10888671875,0.0207792207792208,1.71428571428571,56,64
"11","111_1",0.346938775510204,0,0.064484126984127,0.797969491089558,1,-0.166666666666667,4,1.75,0,0.125,1,8,7
"12","117_1",0.416666666666667,0.2,0.139010989010989,0.711324865405187,0,-1,3,1.71428571428571,-0.333333333333333,0.142857142857143,1.5,7,6
"13","118_1",0.124444444444444,0.00952380952380952,0.0161224086791114,0,0,-1,4,0.5,-0.375,0.0166666666666667,1.33333333333333,16,4
"14","119_1",0.326530612244898,0.115646258503401,0.152417027417027,0.453081839321973,0,-1,9,4,-0.1875,0.285714285714286,1.46666666666667,8,16
"15","120_2",0.203703703703704,0.0130718954248366,0.0170298878033747,0.891828755177094,0.6,-0.6,4,1.05263157894737,-0.1,0.0292397660818713,1.33333333333333,19,10
"16","120_3",0.145061728395062,0.0185185185185185,0.0222748526214637,0.847942545353186,0.428571428571429,-0.5625,7,1.05263157894737,-0.02,0.0292397660818713,1.6,19,10
"17","122_1",0.095,0.00526315789473684,0.00928834726684088,0,0,-1,2,0.380952380952381,-0.375,0.00952380952380952,1.33333333333333,21,4
"18","123_2",0.0232426303854875,0,0.000271735200104169,0.988095238095238,0,1,1,0.141176470588235,0.444444444444444,0.000840336134453781,1,85,6
"19","123_4",0.0235260770975057,0.000286861732644865,0.000556891358454561,0,0,-1,4,0.0941176470588235,-0.375,0.000560224089635854,1.33333333333333,85,4
"20","124_1",0.0624349635796046,0.0021505376344086,0.00396751046202296,0,0,-1,2,0.25,-0.375,0.00403225806451613,1.33333333333333,32,4
"21","126_2",0.517146776406036,0.24770848721466,0.0463761705997567,0.778735088843383,0.306122448979592,-0.626640348488974,18,5.07142857142857,0,0.0939153439153439,1.89542483660131,28,71
"22","129_1",0.521683673469388,0.207247978005135,0.0420560819099491,0.746909884373965,0.403846153846154,-0.125750625110748,8,7.79310344827586,0.108700759652283,0.139162561576355,2.06535947712418,29,113
"23","133_1",0.00353352447060007,0,2.50163383793998e-05,0.99645390070922,0,0,1,0.0141342756183746,-0.5,2.50607723730045e-05,1,283,2
