"","labels","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
"1",611,3,3,6,5,0.133333333333333,0.0197723187537448,0.107128929144215
"2",199,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"3",1082,7,7,14,10.7333333333333,0.0549450549450549,0.0197841726618705,0.503271316631211
"4",273,5,5,10,0,0.0888888888888889,0.0197841726618705,0.35835001825151
"5",371,12,12,24,55.6,0.0543478260869565,0.0198257735055572,1
"6",1635,3,3,6,7.33333333333333,0.0666666666666667,0.0197663971248877,0.171652559415465
"7",379793,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"8",379900,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"9",348,5,5,10,48.5666666666667,0.0888888888888889,0.0198496240601504,0.140421312304108
"10",380062,1,1,2,0,0,0.0196604110813226,0.01199298952759
"11",380730,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"12",380733,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"13",380743,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"14",380749,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"15",446954,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"16",380751,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"17",380752,1,1,2,0,0,0.0193605162804341,0.213517971930374
"18",380759,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"19",380760,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"20",380761,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"21",380768,3,3,6,0,0.0666666666666667,0.0197782439316752,0.422876597271071
"22",380771,6,6,12,40.9666666666667,0.136363636363636,0.0198675496688742,0.175891563846015
"23",446956,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"24",380797,11,11,22,116.2,0.0562770562770563,0.0198855076830371,0.563721208311834
"25",369,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"26",380805,6,6,12,4,0.0909090909090909,0.0197663971248877,0.312760640784343
"27",446957,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"28",380826,4,4,8,21.4,0.178571428571429,0.0198376916140667,0.266593589926928
"29",380827,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"30",462,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"31",380890,7,7,14,18.5,0.0549450549450549,0.0197901049475262,0.37467799556352
"32",380921,5,5,10,28.1666666666667,0.0888888888888889,0.0198436560432953,0.0677021572251042
"33",380926,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"34",433088,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"35",446963,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"36",380983,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"37",381004,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"38",381180,6,6,12,46.8,0.106060606060606,0.01985559566787,0.153243622571224
"39",381280,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"40",458,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"41",1632,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"42",2034,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"43",465,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"44",379681,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"45",1831,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"46",447272,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"47",383677,1,1,2,0,0,0.0197901049475262,0.0240729218265765
"48",432947,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"49",383808,1,1,2,0,0,0.0196956132497762,0.048145843653153
"50",383961,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"51",381449,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"52",2315,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"53",386573,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"54",447680,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"55",1634,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"56",388687,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"57",309802,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"58",391599,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"59",395260,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"60",395360,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"61",395362,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"62",466,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"63",399789,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"64",399827,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"65",399834,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"66",399867,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
"67",1633,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
