"upeople_id","X31scmChanges","X40scmChanges","X63scmChanges","X73scmChanges","X74scmChanges","X80scmChanges","X123scmChanges","X137scmChanges","X146scmChanges","X154scmChanges","X186scmChanges","X189scmChanges","X192scmChanges","X196scmChanges","X212scmChanges","X218scmChanges","X233scmChanges","X236scmChanges","X256scmChanges","X262scmChanges","X337scmChanges","X354scmChanges","X358scmChanges","X367scmChanges","X372scmChanges","X436scmChanges","X1mslChanges","X2mslChanges","X3mslChanges","X4mslChanges","X5mslChanges","number_of_domain","country","X31linesadded","X31linesremoved","X40linesadded","X40linesremoved","X63linesadded","X63linesremoved","X73linesadded","X73linesremoved","X74linesadded","X74linesremoved","X80linesadded","X80linesremoved","X123linesadded","X123linesremoved","X137linesadded","X137linesremoved","X146linesadded","X146linesremoved","X154linesadded","X154linesremoved","X186linesadded","X186linesremoved","X189linesadded","X189linesremoved","X192linesadded","X192linesremoved","X196linesadded","X196linesremoved","X212linesadded","X212linesremoved","X218linesadded","X218linesremoved","X233linesadded","X233linesremoved","X236linesadded","X236linesremoved","X256linesadded","X256linesremoved","X354linesadded","X354linesremoved","X358linesadded","X358linesremoved","X367linesadded","X367linesremoved","X372linesadded","X372linesremoved","X436linesadded","X436linesremoved","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
273,274,109,43,16,520,0,4,2071,31,60,54,18,5636,555,50,19,129,382,1143,0,0,1369,0,23,21,1792,1224,24,263,1453,27,7,9,19249,24178,3162,5052,39274,44806,41,24,1778,11192823,0,0,171,2815,11156,198095114,1040,1198,696,405,413,328,2438,373,1169821,797742,29638,45602,3970,2004,199,150,763,285294,1895,2502247,531503,422254,639376,506178,0,0,2055,510,1898,3087,196198,117063,4,7,7,14,26,0.0549450549450549,0.0296846011131725,0.382023676102369
300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,3,129,73,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0.0282352941176471,0.08566026805547
348,326,0,0,0,0,0,0,0,0,0,34,0,39,0,0,0,0,0,0,0,0,0,0,2,0,29,44,0,5,1,6,5,7,41784,34645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1057,252,0,0,82,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,16,0,0,1514,592,8,4,4,8,13.1333333333333,0.142857142857143,0.0296846011131725,0.150115706504174
371,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498,6,152,72,2,3,10,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,11,22,36.3333333333333,0.051948051948052,0.0296479308214948,1
462,0,12,0,0,17,0,0,40,0,9,0,0,41,97,0,0,6,7,1,0,0,0,0,0,0,0,278,0,5,312,0,1,9,0,0,314,194,0,0,0,0,794,227,0,0,0,0,1758,266,0,0,342,157,0,0,0,0,112200,867,22927,3925,0,0,0,0,155,22,399,107,8,8,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,NA,0.0204081632653061,7.95451372998135e-18
611,0,0,19,0,0,0,2,7,2,0,0,0,0,0,3,7,5,1,94,0,0,67,7,0,6,34,203,0,18,100,10,2,6,0,0,0,0,1444,81,0,0,0,0,0,0,39,10,85,32,39,7,0,0,0,0,0,0,0,0,0,0,41,332,52,27,107,28,32,0,11913,4258,6498,4676,134,263,0,0,50,30,8305,395,2,3,3,6,26,0.133333333333333,0.0296113510178902,0.11096862152285
1082,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,440,5,22,74,0,3,10,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,10,30,0.0444444444444444,0.0292682926829268,0.484041176727087
1626,0,0,0,0,0,0,0,44,0,0,0,0,41,0,0,0,0,1,1007,0,0,966,0,0,0,69,68,0,3,108,5,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6403,5275,0,0,0,0,0,0,0,0,191,170,0,0,0,0,0,0,0,0,1,1,167223,166561,128540,110182,0,0,0,0,0,0,7389,1365,27,2,2,4,1.33333333333333,0.166666666666667,0.0295021511985249,0.105386068592905
309802,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,NA,0.0204081632653061,7.95451372998135e-18
378243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,NA,0.0204081632653061,7.95451372998135e-18
379653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,NA,0.0204081632653061,7.95451372998135e-18
379681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,NA,0.0204081632653061,7.95451372998135e-18
380730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,NA,0.0204081632653061,7.95451372998135e-18
380752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,17,166,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,2,0,0,0.0283353010625738,0.221211211395987
