"upeople_id","X134scmChanges","X288scmChanges","X351scmChanges","X376scmChanges","X268scrChanges","X1mslChanges","number_of_domain","country","X134linesadded","X134linesremoved","X288linesadded","X288linesremoved","X351linesadded","X351linesremoved","X376linesadded","X376linesremoved","X268ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
24,0,0,2,0,5,176,6,6,0,0,0,0,1,10,0,0,5,20,0,0,0,0,NA,0.0277777777777778,3.94645586246938e-17
95,82,11,1351,55,199,924,5,7,5526,33029,256606,526,81006,130670,39236,209911,174,8,12,12,24,102,0.0072463768115942,0.0396375990939977,1
198,0,0,0,0,0,34,5,7,0,0,0,0,0,0,0,0,0,13,0,0,0,0,NA,0.0277777777777778,3.94645586246938e-17
273,0,0,14,0,0,163,7,9,0,0,0,0,22,22,0,0,0,11,2,2,4,0,0,0.0391937290033595,0.425519110438623
371,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,14,0,0,0,0,NA,0.0277777777777778,3.94645586246938e-17
379,0,0,0,0,0,106,2,7,0,0,0,0,0,0,0,0,0,23,2,2,4,0,0.166666666666667,0.0388888888888889,0.335645022222501
415,0,0,0,0,3,21,3,6,0,0,0,0,0,0,0,0,3,3,1,1,2,0,0,0.0391937290033595,0.106379777609656
494,0,0,8,0,0,37,1,6,0,0,0,0,688,66,0,0,0,6,3,3,6,20,0,0.0392817059483726,0.537987103615662
517,0,0,0,0,6,15,4,10,0,0,0,0,0,0,0,0,6,4,0,0,0,0,NA,0.0277777777777778,3.94645586246938e-17
526,0,0,3,0,21,40,6,9,0,0,0,0,1804,1797,0,0,21,5,1,1,2,0,0,0.0388457269700333,0.0572309484394969
527,0,0,11,0,1,131,4,10,0,0,0,0,51,42,0,0,1,1,2,2,4,0,0.166666666666667,0.0392817059483726,0.12288546700319
554,0,0,25,0,9,100,4,10,0,0,0,0,61,97,0,0,7,15,1,1,2,0,0,0.037513397642015,0.531898888048279
1082,0,0,0,0,0,13,3,10,0,0,0,0,0,0,0,0,0,7,0,0,0,0,NA,0.0277777777777778,3.94645586246938e-17
1159,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,26,0,0,0,0,NA,0.0277777777777778,3.94645586246938e-17
1539,201,0,0,0,0,56,2,7,14178,7316,0,0,0,0,0,0,0,2,0,0,0,0,NA,0.0277777777777778,3.94645586246938e-17
1866,0,0,6,0,2,24,4,8,0,0,0,0,14,11,0,0,2,28,0,0,0,0,NA,0.0277777777777778,3.94645586246938e-17
1867,0,0,0,0,0,3,1,7,0,0,0,0,0,0,0,0,0,29,0,0,0,0,NA,0.0277777777777778,3.94645586246938e-17
2038,0,0,13,0,4,2,3,10,0,0,0,0,29,20,0,0,4,36,0,0,0,0,NA,0.0277777777777778,3.94645586246938e-17
2585,0,0,42,0,4,122,4,7,0,0,0,0,177,113,0,0,4,21,0,0,0,0,NA,0.0277777777777778,3.94645586246938e-17
3080,0,0,0,0,0,11,7,6,0,0,0,0,0,0,0,0,0,24,0,0,0,0,NA,0.0277777777777778,3.94645586246938e-17
3204,0,0,0,0,0,13,1,8,0,0,0,0,0,0,0,0,0,30,0,0,0,0,NA,0.0277777777777778,3.94645586246938e-17
378243,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,NA,0.0277777777777778,3.94645586246938e-17
378539,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,NA,0.0277777777777778,3.94645586246938e-17
378553,0,0,0,0,0,33,3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,NA,0.0277777777777778,3.94645586246938e-17
379016,0,0,0,0,0,50,2,0,0,0,0,0,0,0,0,0,0,16,1,1,2,0,0,0.0387596899224806,0.212759555219311
379031,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,NA,0.0277777777777778,3.94645586246938e-17
379033,0,0,0,0,0,34,2,0,0,0,0,0,0,0,0,0,0,18,1,1,2,0,0,0.0387596899224806,0.212759555219311
382296,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,25,1,1,2,0,0,0.0391937290033595,0.106379777609656
385203,0,0,0,0,2,21,1,0,0,0,0,0,0,0,0,0,2,27,3,3,6,20,0.133333333333333,0.0393258426966292,0.155158149080731
386603,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,NA,0.0277777777777778,3.94645586246938e-17
386677,0,0,0,0,0,40,2,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,NA,0.0277777777777778,3.94645586246938e-17
433472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,NA,0.0277777777777778,3.94645586246938e-17
434143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,NA,0.0277777777777778,3.94645586246938e-17
446729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,NA,0.0277777777777778,3.94645586246938e-17
446983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,NA,0.0277777777777778,3.94645586246938e-17
447615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,NA,0.0277777777777778,3.94645586246938e-17
