"upeople_id","X74scmChanges","X137scmChanges","X233scmChanges","X236scmChanges","X1mslChanges","number_of_domain","country","X74linesadded","X74linesremoved","X137linesadded","X137linesremoved","X233linesadded","X233linesremoved","X236linesadded","X236linesremoved","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
259,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,51,0,0,0,0,NA,0.0188679245283019,2.46598942925007e-18
273,520,2071,129,382,1224,7,9,1778,11192823,11156,198095114,763,285294,1895,2502247,3,4,4,8,11,0.107142857142857,0.0246679316888046,0.346105511300505
348,0,0,0,0,44,5,7,0,0,0,0,0,0,0,0,8,4,4,8,9,0.142857142857143,0.0247619047619048,0.1432819823046
371,0,0,0,0,498,3,10,0,0,0,0,0,0,0,0,5,13,13,26,48.3333333333333,0.0492307692307692,0.0247855100095329,1
432,0,0,0,0,1,2,9,0,0,0,0,0,0,0,0,7,0,0,0,0,NA,0.0188679245283019,2.46598942925007e-18
458,0,0,0,0,14,2,8,0,0,0,0,0,0,0,0,30,0,0,0,0,NA,0.0188679245283019,2.46598942925007e-18
460,0,1,0,0,16,5,7,0,0,11,2,0,0,0,0,4,0,0,0,0,NA,0.0188679245283019,2.46598942925007e-18
462,17,40,6,7,278,1,9,794,227,1758,266,155,22,399,107,23,0,0,0,0,NA,0.0188679245283019,2.46598942925007e-18
465,0,0,0,0,55,4,6,0,0,0,0,0,0,0,0,33,0,0,0,0,NA,0.0188679245283019,2.46598942925007e-18
466,0,1,0,0,0,4,6,0,0,46,1,0,0,0,0,52,0,0,0,0,NA,0.0188679245283019,2.46598942925007e-18
611,0,7,5,1,203,2,6,0,0,85,32,107,28,32,0,1,2,2,4,0,0,0.0245630609352858,0.0792573559050911
1082,0,0,0,0,440,3,10,0,0,0,0,0,0,0,0,2,6,6,12,7,0.0606060606060606,0.0246913580246914,0.348975494489925
1626,0,44,0,1,68,3,7,0,0,6403,5275,0,0,1,1,27,2,2,4,2,0.166666666666667,0.0246212121212121,0.105580647529873
1632,0,9,0,0,0,1,7,0,0,90,26,0,0,0,0,31,0,0,0,0,NA,0.0188679245283019,2.46598942925007e-18
1633,0,3,0,0,2,1,9,0,0,25,6,0,0,0,0,48,0,0,0,0,NA,0.0188679245283019,2.46598942925007e-18
1634,0,1,0,0,0,3,8,0,0,6,2,0,0,0,0,46,0,0,0,0,NA,0.0188679245283019,2.46598942925007e-18
1635,0,3,0,0,54,6,7,0,0,266,5,0,0,0,0,6,3,3,6,8.33333333333333,0.0666666666666667,0.0247030878859857,0.139231163320795
2034,0,0,0,0,2,1,9,0,0,0,0,0,0,0,0,32,0,0,0,0,NA,0.0188679245283019,2.46598942925007e-18
309802,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,50,0,0,0,0,NA,0.0188679245283019,2.46598942925007e-18
378243,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,49,0,0,0,0,NA,0.0188679245283019,2.46598942925007e-18
379681,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34,0,0,0,0,NA,0.0188679245283019,2.46598942925007e-18
380749,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,NA,0.0188679245283019,2.46598942925007e-18
380751,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,NA,0.0188679245283019,2.46598942925007e-18
380752,0,0,0,0,247,1,0,0,0,0,0,0,0,0,0,11,1,1,2,0,0,0.0240963855421687,0.225012573009445
380759,0,0,0,0,22,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,NA,0.0188679245283019,2.46598942925007e-18
380761,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,NA,0.0188679245283019,2.46598942925007e-18
380768,0,0,0,0,301,1,0,0,0,0,0,0,0,0,0,14,2,2,4,0,0.166666666666667,0.0246445497630332,0.412014997369592
380770,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,15,0,0,0,0,NA,0.0188679245283019,2.46598942925007e-18
380771,0,0,0,0,164,2,0,0,0,0,0,0,0,0,0,16,6,6,12,39,0.136363636363636,0.0248210023866348,0.162901251300813
380789,0,0,0,0,33,3,0,0,0,0,0,0,0,0,0,17,0,0,0,0,NA,0.0188679245283019,2.46598942925007e-18
380797,0,0,0,0,591,2,0,0,0,0,0,0,0,0,0,18,7,7,14,33.3333333333333,0.0989010989010989,0.0247973295183596,0.531612586045514
380805,0,0,0,0,231,2,0,0,0,0,0,0,0,0,0,19,5,5,10,0,0.111111111111111,0.0245630609352858,0.306968508346466
380826,0,0,0,0,83,2,0,0,0,0,0,0,0,0,0,20,4,4,8,13.6666666666667,0.178571428571429,0.0247501189909567,0.271972216902321
380827,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,21,0,0,0,0,NA,0.0188679245283019,2.46598942925007e-18
380853,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22,0,0,0,0,NA,0.0188679245283019,2.46598942925007e-18
380926,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24,0,0,0,0,NA,0.0188679245283019,2.46598942925007e-18
380983,0,0,0,0,67,1,0,0,0,0,0,0,0,0,0,26,0,0,0,0,NA,0.0188679245283019,2.46598942925007e-18
380991,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,41,0,0,0,0,NA,0.0188679245283019,2.46598942925007e-18
381174,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,28,0,0,0,0,NA,0.0188679245283019,2.46598942925007e-18
381180,0,0,0,0,87,1,0,0,0,0,0,0,0,0,0,29,5,5,10,48,0.111111111111111,0.0247855100095329,0.155377227571588
382329,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,35,0,0,0,0,NA,0.0188679245283019,2.46598942925007e-18
383914,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,37,0,0,0,0,NA,0.0188679245283019,2.46598942925007e-18
384011,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,38,0,0,0,0,NA,0.0188679245283019,2.46598942925007e-18
385978,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,40,0,0,0,0,NA,0.0188679245283019,2.46598942925007e-18
386116,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,42,0,0,0,0,NA,0.0188679245283019,2.46598942925007e-18
399827,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,47,0,0,0,0,NA,0.0188679245283019,2.46598942925007e-18
433088,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25,0,0,0,0,NA,0.0188679245283019,2.46598942925007e-18
434498,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,53,0,0,0,0,NA,0.0188679245283019,2.46598942925007e-18
443194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,NA,0.0188679245283019,2.46598942925007e-18
447272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,NA,0.0188679245283019,2.46598942925007e-18
447385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,NA,0.0188679245283019,2.46598942925007e-18
447680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,NA,0.0188679245283019,2.46598942925007e-18
447682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,NA,0.0188679245283019,2.46598942925007e-18
