"upeople_id","X1mslChanges","number_of_domain","country","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
382692,272,2,0,1,14,14,28,143.666666666667,0.0158730158730159,0.0776119402985075,1
383597,14,1,0,2,0,0,0,0,NA,0.037037037037037,0
388383,15,1,0,3,1,1,2,0,0,0.0689655172413793,0.00196246646651771
388385,1,1,0,5,0,0,0,0,NA,0.037037037037037,0
388386,235,1,0,6,5,5,10,28,0.0666666666666667,0.0740740740740741,0.295683112934257
388388,1180,2,0,7,6,6,12,25.3333333333333,0.0454545454545455,0.0749279538904899,0.844346962703356
388389,481,1,0,8,2,2,4,0,0.166666666666667,0.0712328767123288,0.393420098334103
388391,360,2,0,9,8,8,16,0,0.0416666666666667,0.0728291316526611,0.401057477501468
388392,131,1,0,10,0,0,0,0,NA,0.037037037037037,0
388393,219,2,0,11,7,7,14,16,0.021978021978022,0.0736543909348442,0.223522709237301
388395,92,6,0,12,2,2,4,0,0.166666666666667,0.0728291316526611,0.0252328850531105
388398,25,2,0,13,1,1,2,0,0,0.0689655172413793,0.0506643350736087
388401,331,4,0,14,11,11,22,67,0.0216450216450216,0.075801749271137,0.290948728848075
388406,194,2,0,15,5,5,10,36,0,0.0744985673352436,0.0581020099345973
388407,31,1,0,16,1,1,2,0,0,0.0744985673352436,0.0168881116912029
388408,54,2,0,17,2,2,4,0,0,0.0693333333333333,0.0334250177908187
388412,91,3,0,19,1,1,2,0,0,0.0671834625322997,0.00114213625300986
388413,0,1,0,20,0,0,0,0,NA,0.037037037037037,0
388416,39,1,0,21,2,2,4,28,0,0.0724233983286908,0.0338148004316206
388418,18,1,0,22,0,0,0,0,NA,0.037037037037037,0
388419,0,1,0,23,0,0,0,0,NA,0.037037037037037,0
388426,16,1,0,24,2,2,4,0,0.166666666666667,0.0716253443526171,0.053430521899205
388429,0,1,0,25,0,0,0,0,NA,0.037037037037037,0
388440,8,1,0,27,0,0,0,0,NA,0.037037037037037,0
447644,0,0,0,18,0,0,0,0,NA,0.037037037037037,0
447796,0,0,0,4,0,0,0,0,NA,0.037037037037037,0
447801,0,0,0,26,0,0,0,0,NA,0.037037037037037,0
