"upeople_id","X65scmChanges","X72scmChanges","X105scmChanges","X109scmChanges","X113scmChanges","X142scmChanges","X182scmChanges","X263scmChanges","X274scmChanges","X293scmChanges","X378scmChanges","X389scmChanges","X406scmChanges","X59scrChanges","X77scrChanges","X98scrChanges","X118scrChanges","X126scrChanges","X169scrChanges","X212scrChanges","X221scrChanges","X248scrChanges","X280scrChanges","X356scrChanges","X369scrChanges","X391scrChanges","X1mslChanges","X2mslChanges","X3mslChanges","X4mslChanges","X5mslChanges","X6mslChanges","X7mslChanges","X8mslChanges","X9mslChanges","X10mslChanges","X11mslChanges","number_of_domain","country","X65linesadded","X65linesremoved","X72linesadded","X72linesremoved","X105linesadded","X105linesremoved","X109linesadded","X109linesremoved","X113linesadded","X113linesremoved","X142linesadded","X142linesremoved","X182linesadded","X182linesremoved","X263linesadded","X263linesremoved","X274linesadded","X274linesremoved","X293linesadded","X293linesremoved","X378linesadded","X378linesremoved","X389linesadded","X389linesremoved","X406linesadded","X406linesremoved","X59ReviewGotMerged","X77ReviewGotMerged","X98ReviewGotMerged","X118ReviewGotMerged","X126ReviewGotMerged","X169ReviewGotMerged","X212ReviewGotMerged","X221ReviewGotMerged","X248ReviewGotMerged","X280ReviewGotMerged","X356ReviewGotMerged","X369ReviewGotMerged","X391ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
23,0,1,0,0,0,0,9,0,0,1,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,8,0,0,2,1,3,6,0,0,53,11,0,0,0,0,0,0,0,0,24,22,0,0,0,0,59,9,0,0,81365,42790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,NA,0.00366300366300366,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,39,6,0,0,2,0,0,0,13,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,NA,0.00366300366300366,0
29,0,4,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,34,16,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,172,83,0,0,0,0,0,0,1,0,6,7,0,0,0,0,0,179,0,0,0,0,NA,0.00366300366300366,0
32,1,31,0,3,0,0,2,0,7,4,24,0,0,24,0,0,0,30,108,109,0,1,0,0,6,22,0,0,3,0,0,0,0,0,0,0,2,2,9,7,0,7006,2346,0,0,188,35,0,0,0,0,62,4,0,0,343,210,192,42,997,414,0,0,0,0,22,0,0,0,28,75,97,0,1,0,0,6,20,146,0,0,0,0,NA,0.00366300366300366,0
33,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,1,0,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2289,1369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,NA,0.00366300366300366,0
177,113,65,56,10,7,0,132,13,15,11,11,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,6,2,6,5423,2155,20082,10706,11165,5700,4322,3105,157,24,0,0,3225,3116,2362,1053,13495,8201,3039,2466,4738,3475,6993,4949,8438,4778,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,1,2,0,0,0.00367647058823529,0
179,0,0,0,7,0,0,332,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,1,0,0,0,0,9,5,9,0,0,0,0,0,0,21,7,0,0,0,0,24514,21948,0,0,0,0,0,0,0,0,0,0,70,6,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,NA,0.00366300366300366,0
182,0,0,0,46,0,0,210,0,0,73,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,8,72,11,0,0,15,3,6,0,0,0,0,0,0,1754,3123,0,0,0,0,24242,29361,0,0,0,0,11789,2978,0,0,0,0,86,82,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,NA,0.00366300366300366,0
185,193,131,0,0,0,0,388,0,307,0,1,0,582,0,0,0,0,0,0,0,0,0,0,0,0,0,157,1,1,0,0,1,3,3,0,3,8,4,10,18789,11311,7748,4473,0,0,0,0,0,0,0,0,4790,3777,0,0,26095,31579,0,0,0,0,0,0,145902,107487,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,NA,0.00366300366300366,0
189,0,407,881,0,0,0,556,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,19,139,0,0,0,3,2,10,0,0,53791,28314,164288,108720,0,0,0,0,0,0,7481,3498,89868,48858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1,1,2,0,0,0.00367647058823529,0
