"upeople_id","X123scmChanges","X146scmChanges","X212scmChanges","X256scmChanges","X354scmChanges","X372scmChanges","X1mslChanges","number_of_domain","country","X123linesadded","X123linesremoved","X146linesadded","X146linesremoved","X212linesadded","X212linesremoved","X256linesadded","X256linesremoved","X354linesadded","X354linesremoved","X372linesadded","X372linesremoved","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
199,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
273,4,31,50,1143,1369,21,1224,7,9,171,2815,1040,1198,3970,2004,531503,422254,639376,506178,1898,3087,5,3,3,6,13,0,0.0163690476190476,0.710009544379624
300,0,0,0,0,0,0,149,4,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
370,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
413,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
460,1,3,7,1267,1379,6,16,5,7,2,1,6,6,20,398,250341,63818,191279,61114,13,14,7,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
462,0,0,0,1,0,0,278,1,9,0,0,0,0,0,0,8,8,0,0,0,0,21,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
611,2,2,3,94,67,6,203,2,6,39,10,39,7,41,332,11913,4258,6498,4676,50,30,2,1,1,2,0,0,0.0163487738419619,0.275959086702212
668,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
829,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
1463,0,0,0,0,0,0,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
1587,4,6,14,0,0,16,24,1,9,145,66,60,4,653,72,0,0,0,0,14185,14599,6,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
1626,0,0,0,1007,966,0,68,3,7,0,0,0,0,0,0,167223,166561,128540,110182,0,0,26,1,1,2,0,0,0.0163487738419619,0.195933585416855
1633,0,0,0,0,0,0,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
2313,0,0,0,20,2,0,1,3,9,0,0,0,0,0,0,1278,1107,22,11,0,0,66,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
2569,0,0,0,0,0,0,1,3,10,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
2967,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
194325,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
378243,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
378327,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
379027,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
379036,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
379793,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
380752,0,0,0,0,0,0,247,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
380768,0,0,0,0,0,0,301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,2,4,3,0,0.0163609320773426,0.655939891093699
380789,0,0,0,0,0,0,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
380805,0,0,0,0,0,0,231,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,2,4,0,0,0.0163487738419619,0.615867616856695
380875,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
380890,0,0,0,0,0,0,41,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,4,8,18,0,0.0163690476190476,1
380991,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
381171,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
