"upeople_id","X177scmChanges","X156scrChanges","X1mslChanges","number_of_domain","country","X177linesadded","X177linesremoved","X156ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
286,10,3,71,3,6,5414,2114,3,2,0,0,0,0,NA,0.0454545454545455,3.92523114670944e-17
554,9,0,11,4,10,4299,2962,0,3,0,0,0,0,NA,0.0454545454545455,3.92523114670944e-17
743,86,0,47,1,7,42148,24236,0,5,0,0,0,0,NA,0.0454545454545455,3.92523114670944e-17
758,27,0,37,4,8,26014,601,0,1,0,0,0,0,NA,0.0454545454545455,3.92523114670944e-17
817,157,134,526,7,7,261178,257147,117,14,1,1,2,0,0,0.0472972972972973,1
876,32,18,40,5,7,2985,638,18,8,0,0,0,0,NA,0.0454545454545455,3.92523114670944e-17
906,1,1,0,4,8,7,1,1,20,0,0,0,0,NA,0.0454545454545455,3.92523114670944e-17
914,1,1,0,2,9,1,1,1,22,0,0,0,0,NA,0.0454545454545455,3.92523114670944e-17
1730,6,24,0,3,7,231,150,22,9,0,0,0,0,NA,0.0454545454545455,3.92523114670944e-17
1917,1,0,146,2,6,4,4,0,6,0,0,0,0,NA,0.0454545454545455,3.92523114670944e-17
1918,20,64,10,4,8,31948,1076,53,21,1,1,2,0,0,0.0476190476190476,7.85046229341887e-17
1925,26,121,14,3,8,14703,12530,108,18,1,1,2,0,0,0.0472972972972973,1
1926,1,3,2,1,8,5,0,1,17,1,1,2,0,0,0.0476190476190476,7.85046229341887e-17
1928,1,8,0,1,10,351,0,5,19,0,0,0,0,NA,0.0454545454545455,3.92523114670944e-17
382963,0,0,72,2,0,0,0,0,7,0,0,0,0,NA,0.0454545454545455,3.92523114670944e-17
384178,0,0,0,2,0,0,0,0,15,0,0,0,0,NA,0.0454545454545455,3.92523114670944e-17
386690,0,0,33,1,0,0,0,0,10,0,0,0,0,NA,0.0454545454545455,3.92523114670944e-17
388540,0,0,63,2,0,0,0,0,11,0,0,0,0,NA,0.0454545454545455,3.92523114670944e-17
389876,0,0,61,3,0,0,0,0,12,0,0,0,0,NA,0.0454545454545455,3.92523114670944e-17
389891,0,0,18,1,0,0,0,0,13,0,0,0,0,NA,0.0454545454545455,3.92523114670944e-17
426556,0,0,6,1,0,0,0,0,16,0,0,0,0,NA,0.0454545454545455,3.92523114670944e-17
433031,0,0,0,0,0,0,0,0,4,0,0,0,0,NA,0.0454545454545455,3.92523114670944e-17
