"upeople_id","X250scmChanges","X275scmChanges","X158scrChanges","X227scrChanges","X1mslChanges","number_of_domain","country","X250linesadded","X250linesremoved","X275linesadded","X275linesremoved","X158ReviewGotMerged","X227ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
199,255,0,0,3,1,3,6,53758,57972,0,0,0,3,5,0,0,0,0,NA,0.0222222222222222,0
587,175,1562,1711,32,235,5,8,5760,26531,210664,253865,1620,32,7,4,4,8,32,0,0.0325925925925926,0.285789511916929
679,0,39,0,0,3,4,6,0,0,131468,23729,0,0,8,0,0,0,0,NA,0.0222222222222222,0
688,0,640,112,0,139,6,10,0,0,413894,336674,92,0,39,2,2,4,0,0.166666666666667,0.0267965895249695,0.627061112588017
910,17,4,8,32,1,4,8,13755,13759,7,3,8,30,42,0,0,0,0,NA,0.0222222222222222,0
1520,83,183,516,0,39,3,7,1348,20203,16980,27099,479,0,43,2,2,4,32,0,0.0329341317365269,0.0423936600445365
2240,0,626,0,0,25,2,6,0,0,125224,134338,0,0,1,2,2,4,0,0.166666666666667,0.0328849028400598,0.320212609259447
2245,27,580,988,5,70,3,8,16112,13321,198904,105506,940,5,12,2,2,4,0,0,0.0319303338171263,0.118496400015126
2281,2,7,0,0,0,3,6,4294,99,25185,233,0,0,11,0,0,0,0,NA,0.0222222222222222,0
2282,231,1506,0,0,624,3,7,36605,18478,517325,155469,0,0,2,17,17,34,250,0.0053475935828877,0.0336391437308868,1
2283,1,69,0,0,29,1,8,32,0,13747,11186,0,0,3,2,2,4,0,0.166666666666667,0.0317460317460317,0.129672885104194
2287,1,0,0,0,14,2,9,1,1,0,0,0,0,25,1,1,2,0,0,0.0309859154929577,0.14811209646803
2424,0,64,0,0,2,2,7,0,0,6412,3672,0,0,19,0,0,0,0,NA,0.0222222222222222,0
2425,0,157,234,0,110,2,10,0,0,121495,99803,208,0,27,4,4,8,56,0,0.0330827067669173,0.4697403801943
2426,0,14,0,0,6,1,8,0,0,664,199,0,0,21,0,0,0,0,NA,0.0222222222222222,0
2428,0,745,0,0,28,4,7,0,0,329813,254460,0,0,4,4,4,8,32,0.0357142857142857,0.0332829046898638,0.133728562811585
2430,0,1072,626,0,246,1,7,0,0,315450,241364,609,0,6,2,2,4,32,0.166666666666667,0.0284605433376455,0.439308236564347
2432,0,95,0,0,8,1,9,0,0,26508,26721,0,0,24,1,1,2,0,0,0.0328358208955224,0.0423177418480086
2434,0,1,0,0,0,1,8,0,0,11,28,0,0,16,0,0,0,0,NA,0.0222222222222222,0
2435,0,9,0,0,0,1,8,0,0,5546,1441,0,0,9,0,0,0,0,NA,0.0222222222222222,0
2441,0,455,2188,0,69,2,10,0,0,192576,75916,1953,0,14,1,1,2,0,0,0.0306406685236769,0.169270967392034
2442,0,24,9,0,21,1,10,0,0,21208,8253,7,0,13,2,2,4,32,0.166666666666667,0.0332829046898638,0.0321337982770558
2443,0,161,51,0,41,2,6,0,0,14042,12911,49,0,26,1,1,2,0,0,0.0322108345534407,0.0060469833940845
2444,0,2,0,0,0,1,8,0,0,319,4,0,0,34,0,0,0,0,NA,0.0222222222222222,0
2445,0,26,55,0,2,3,8,0,0,4185,1872,42,0,41,0,0,0,0,NA,0.0222222222222222,0
2451,0,640,3666,0,116,5,6,0,0,204561,286181,3232,0,38,5,5,10,34,0,0.0327868852459016,0.1500794328857
2452,0,298,2841,0,40,2,7,0,0,118661,42270,2284,0,28,1,1,2,0,0,0.03240058910162,0.00317551134877629
2456,0,32,168,0,16,2,7,0,0,3248,1212,140,0,23,1,1,2,0,0,0.0321637426900585,0.00179400396175691
2470,0,157,1694,0,1,2,8,0,0,39326,10839,1456,0,35,0,0,0,0,NA,0.0222222222222222,0
2475,0,146,492,0,3,4,10,0,0,154166,141445,406,0,29,0,0,0,0,NA,0.0222222222222222,0
2476,0,59,260,0,0,3,6,0,0,15764,2110,215,0,36,0,0,0,0,NA,0.0222222222222222,0
3252,0,26,247,0,0,3,9,0,0,6042,589,232,0,37,0,0,0,0,NA,0.0222222222222222,0
64611,0,11,97,0,0,2,0,0,0,3261,339,86,0,44,0,0,0,0,NA,0.0222222222222222,0
378243,0,0,0,0,0,13,0,0,0,0,0,0,0,20,0,0,0,0,NA,0.0222222222222222,0
381484,0,0,0,0,0,4,0,0,0,0,0,0,0,15,0,0,0,0,NA,0.0222222222222222,0
390222,0,0,0,0,0,1,0,0,0,0,0,0,0,17,0,0,0,0,NA,0.0222222222222222,0
390248,0,0,0,0,0,1,0,0,0,0,0,0,0,18,0,0,0,0,NA,0.0222222222222222,0
390253,0,0,0,0,0,2,0,0,0,0,0,0,0,22,0,0,0,0,NA,0.0222222222222222,0
426838,0,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,NA,0.0222222222222222,0
426884,0,0,0,0,0,1,0,0,0,0,0,0,0,33,0,0,0,0,NA,0.0222222222222222,0
433121,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,NA,0.0222222222222222,0
433146,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,NA,0.0222222222222222,0
434351,0,0,0,0,0,1,0,0,0,0,0,0,0,45,0,0,0,0,NA,0.0222222222222222,0
451576,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,NA,0.0222222222222222,0
452199,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,NA,0.0222222222222222,0
