"upeople_id","X363scmChanges","X426scmChanges","X441scmChanges","X459scmChanges","X463scmChanges","X467scmChanges","X164scrChanges","X457scrChanges","X1mslChanges","number_of_domain","country","X363linesadded","X363linesremoved","X426linesadded","X426linesremoved","X459linesadded","X459linesremoved","X463linesadded","X463linesremoved","X467linesadded","X467linesremoved","X164ReviewGotMerged","X457ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
259,1285,5,0,35,5,2,2288,29,608,7,9,514902,522530,639,216,96096,229160,59,1,1705,38,2084,17,1,4,4,8,4,0.0357142857142857,0.11,0.985949198702952
2073,482,0,0,0,18,0,2419,85,160,5,6,33885,35585,0,0,0,0,161,0,0,0,2250,73,6,0,0,0,0,NA,0.0833333333333333,4.02820218614569e-17
2074,129,0,0,0,1,0,746,3,36,5,6,24832,9077,0,0,0,0,1350,227,0,0,670,1,11,0,0,0,0,NA,0.0833333333333333,4.02820218614569e-17
2318,225,0,0,0,50,0,1066,297,28,4,7,13708,9274,0,0,0,0,2369,905,0,0,982,173,7,0,0,0,0,NA,0.0833333333333333,4.02820218614569e-17
2319,2,0,0,0,0,0,57,0,92,4,7,1354,807,0,0,0,0,0,0,0,0,57,0,12,0,0,0,0,NA,0.0833333333333333,4.02820218614569e-17
2929,374,0,0,14,0,1,2,0,16,3,6,51892,38846,0,0,491877,111742,0,0,234,59,2,0,3,2,2,4,0,0.166666666666667,0.108910891089109,0.347876998843364
2931,274,0,0,0,0,0,44,0,4,2,10,64547,30023,0,0,0,0,0,0,0,0,44,0,2,1,1,2,0,0,0.107843137254902,0.114867677054181
2932,27,0,0,0,0,0,1,0,5,2,9,22709,23968,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,NA,0.0833333333333333,4.02820218614569e-17
2934,28,0,0,0,0,0,95,0,109,1,7,8805,0,0,0,0,0,0,0,0,0,95,0,5,3,3,6,0,0.0666666666666667,0.106796116504854,1
194327,60,0,0,0,0,0,396,0,1,3,0,8175,3384,0,0,0,0,0,0,0,0,335,0,10,0,0,0,0,NA,0.0833333333333333,4.02820218614569e-17
378243,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,NA,0.0833333333333333,4.02820218614569e-17
452605,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,NA,0.0833333333333333,4.02820218614569e-17
