"upeople_id","X154scmChanges","X1mslChanges","number_of_domain","country","X154linesadded","X154linesremoved","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
273,60,1224,7,9,696,405,2,1,1,2,0,0,0.0634328358208955,0.427327587113269
371,0,498,3,10,0,0,3,6,6,12,18,0.0151515151515152,0.0708333333333333,1
458,13,14,2,8,789,479,14,0,0,0,0,NA,0.0555555555555556,0
462,9,278,1,9,342,157,11,0,0,0,0,NA,0.0555555555555556,0
465,1,55,4,6,12,1,15,0,0,0,0,NA,0.0555555555555556,0
1082,0,440,3,10,0,0,1,3,3,6,0,0.0666666666666667,0.0691056910569106,0.448860971849992
1635,0,54,6,7,0,0,4,3,3,6,8,0.0666666666666667,0.0702479338842975,0.225455949059016
1831,0,5,1,10,0,0,16,0,0,0,0,NA,0.0555555555555556,0
380062,0,30,1,0,0,0,5,0,0,0,0,NA,0.0555555555555556,0
380751,0,4,1,0,0,0,7,0,0,0,0,NA,0.0555555555555556,0
380752,0,247,1,0,0,0,8,1,1,2,0,0,0.0653846153846154,0.305233990795192
380759,0,22,2,0,0,0,9,0,0,0,0,NA,0.0555555555555556,0
380768,0,301,1,0,0,0,10,1,1,2,0,0,0.0615942028985507,0.549421183431346
380926,0,0,1,0,0,0,12,0,0,0,0,NA,0.0555555555555556,0
381280,0,3,1,0,0,0,13,0,0,0,0,NA,0.0555555555555556,0
446954,0,0,0,0,0,0,6,0,0,0,0,NA,0.0555555555555556,0
447015,0,0,0,0,0,0,17,0,0,0,0,NA,0.0555555555555556,0
447383,0,0,0,0,0,0,18,0,0,0,0,NA,0.0555555555555556,0
