"upeople_id","X237scmChanges","X1mslChanges","X2mslChanges","X3mslChanges","number_of_domain","country","X237linesadded","X237linesremoved","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
2183,14,0,1,0,3,7,2082,1988,10,0,0,0,0,NA,0.0769230769230769,7.47340329807525e-18
2185,15,0,114,1,1,8,531,84,1,2,2,4,0,0,0.0476190476190476,0.720103644963564
378243,0,0,0,0,13,0,0,0,5,0,0,0,0,NA,0.0769230769230769,7.47340329807525e-18
379966,0,20,310,43,2,0,0,0,2,5,5,10,10,0.0222222222222222,0.08,1
379967,0,0,1,0,1,0,0,0,3,0,0,0,0,NA,0.0769230769230769,7.47340329807525e-18
379968,0,0,64,0,1,0,0,0,4,3,3,6,6,0.0666666666666667,0.0794701986754967,0.583842135881469
379970,0,1,24,5,1,0,0,0,6,1,1,2,0,0,0.0714285714285714,0.121912996570124
379973,0,0,0,0,1,0,0,0,7,0,0,0,0,NA,0.0769230769230769,7.47340329807525e-18
379976,0,0,40,0,3,0,0,0,8,2,2,4,0,0.166666666666667,0.0736196319018405,0.433509785344868
379989,0,0,6,0,1,0,0,0,9,0,0,0,0,NA,0.0769230769230769,7.47340329807525e-18
379993,0,0,0,0,2,0,0,0,11,0,0,0,0,NA,0.0769230769230769,7.47340329807525e-18
379994,0,0,0,0,1,0,0,0,12,0,0,0,0,NA,0.0769230769230769,7.47340329807525e-18
379995,0,0,0,0,1,0,0,0,13,0,0,0,0,NA,0.0769230769230769,7.47340329807525e-18
