"upeople_id","X166scmChanges","X192scmChanges","X1mslChanges","number_of_domain","country","X166linesadded","X166linesremoved","X192linesadded","X192linesremoved","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
200,0,3,69,4,9,0,0,54,70,22,0,0,0,0,NA,0.0434782608695652,1.94353676117176e-18
273,5324,5636,1453,7,9,69258,66301,1169821,797742,3,6,6,12,42,0.0303030303030303,0.0514018691588785,1
300,0,0,129,4,8,0,0,0,0,1,1,1,2,0,0,0.0502283105022831,0.000330237477537694
371,1,0,72,3,10,2,3,0,0,4,4,4,8,0,0.0714285714285714,0.0503432494279176,0.0592013244920714
462,330,41,312,1,9,13325,10059,112200,867,11,1,1,2,0,0,0.0497737556561086,0.0346912027960782
465,65,6,17,4,6,11325,11119,10,8,20,0,0,0,0,NA,0.0434782608695652,1.94353676117176e-18
1073,194,5,0,1,8,2379,2334,65,12,16,0,0,0,0,NA,0.0434782608695652,1.94353676117176e-18
1082,0,0,74,3,10,0,0,0,0,2,4,4,8,24,0.0357142857142857,0.0510440835266821,0.019038687097642
1626,706,41,108,3,7,1285,1269,191,170,15,1,1,2,0,0,0.039568345323741,0.00119189955932379
1632,35,0,0,1,7,1072,1043,0,0,18,0,0,0,0,NA,0.0434782608695652,1.94353676117176e-18
1822,8,0,281,1,7,139,139,0,0,13,3,3,6,24,0,0.0432220039292731,0.495039966076986
2034,0,0,0,1,9,0,0,0,0,19,0,0,0,0,NA,0.0434782608695652,1.94353676117176e-18
309802,0,0,0,3,0,0,0,0,0,21,0,0,0,0,NA,0.0434782608695652,1.94353676117176e-18
380752,0,0,166,1,0,0,0,0,0,5,2,2,4,14,0,0.0400728597449909,0.0687148016360241
380768,0,0,13,1,0,0,0,0,0,6,2,2,4,0,0.166666666666667,0.0506912442396313,0.01939936655179
380770,0,0,0,2,0,0,0,0,0,7,0,0,0,0,NA,0.0434782608695652,1.94353676117176e-18
380789,0,0,49,3,0,0,0,0,0,8,0,0,0,0,NA,0.0434782608695652,1.94353676117176e-18
380797,0,0,12,2,0,0,0,0,0,9,0,0,0,0,NA,0.0434782608695652,1.94353676117176e-18
380805,0,0,20,2,0,0,0,0,0,10,0,0,0,0,NA,0.0434782608695652,1.94353676117176e-18
381265,0,0,0,5,0,0,0,0,0,17,0,0,0,0,NA,0.0434782608695652,1.94353676117176e-18
433088,0,0,0,1,0,0,0,0,0,12,0,0,0,0,NA,0.0434782608695652,1.94353676117176e-18
433504,0,0,0,1,0,0,0,0,0,23,0,0,0,0,NA,0.0434782608695652,1.94353676117176e-18
446983,0,0,0,0,0,0,0,0,0,14,0,0,0,0,NA,0.0434782608695652,1.94353676117176e-18
