"upeople_id","X9scmChanges","X23scmChanges","X164scmChanges","X373scrChanges","X1mslChanges","number_of_domain","country","X9linesadded","X9linesremoved","X23linesadded","X23linesremoved","X164linesadded","X164linesremoved","X373ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
104,95,111,1716,9,2,5,10,18013,11350,123827,11794,1262632,1021414,9,4,0,0,0,0,NA,0.0833333333333333,1
106,22,32,229,0,26,7,7,814,1302,26949,58336,41836,37380,0,3,1,1,2,0,0,0.0909090909090909,0
107,14,12,201,0,3,2,7,1319,3077,655,538,14556,15434,0,9,0,0,0,0,NA,0.0833333333333333,1
108,14,6,94,0,3,4,8,61,295,27,25,39503,19876,0,10,0,0,0,0,NA,0.0833333333333333,1
315,0,1,189,0,2,2,9,0,0,221,704,73023,38047,0,6,0,0,0,0,NA,0.0833333333333333,1
316,0,2,12,0,0,1,9,0,0,139,0,5855,6463,0,8,0,0,0,0,NA,0.0833333333333333,1
317,0,21,5,0,1,1,6,0,0,6916,3320,1373,1319,0,1,1,1,2,0,0,0.0909090909090909,0
576,0,0,276,11,1,4,7,0,0,0,0,754372,704370,11,11,0,0,0,0,NA,0.0833333333333333,1
3234,0,0,0,0,0,1,7,0,0,0,0,0,0,0,12,0,0,0,0,NA,0.0833333333333333,1
378243,0,0,0,0,0,13,0,0,0,0,0,0,0,0,5,0,0,0,0,NA,0.0833333333333333,1
382301,0,0,0,0,1,3,0,0,0,0,0,0,0,0,7,0,0,0,0,NA,0.0833333333333333,1
382974,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,NA,0.0833333333333333,1
