"upeople_id","X424scmChanges","X1mslChanges","X2mslChanges","number_of_domain","country","X424linesadded","X424linesremoved","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
379,2944,1061,1,2,7,514384,257897,3,14,14,28,232.5,0.037037037037037,0.010703228659885,0.96340040237032
1134,1141,235,0,1,10,395801,152759,36,2,2,4,0,0.166666666666667,0.0106852702225362,0.0544785157353668
1135,717,337,0,1,6,82614,39021,37,0,0,0,0,NA,0.00819672131147541,0
1138,859,328,0,4,7,362267,172961,7,13,13,26,345.333333333333,0.0369230769230769,0.0107127047366091,0.297032534222703
1142,151,46,0,1,6,49279,5854,30,0,0,0,0,NA,0.00819672131147541,0
1146,1381,204,0,2,6,95824,31268,44,1,1,2,0,0,0.0106280193236715,0.00220820593523952
1147,1411,432,1,1,7,424591,248847,25,1,1,2,0,0,0.0106862139009097,0.0100497828723436
1148,1434,408,0,4,8,229879,92709,23,1,1,2,0,0,0.0106457856765793,0.0225057502429935
1153,275,77,0,1,8,32932,12135,13,2,2,4,87,0.166666666666667,0.0106966053748232,0.0435370767047455
1159,2434,776,0,4,6,344058,123143,10,7,7,14,56,0.032967032967033,0.0106909347941332,1
1160,1255,300,0,2,6,449993,105422,42,2,2,4,24,0.166666666666667,0.0106890459363958,0.0451223420122122
1161,311,238,0,1,7,85200,20342,48,0,0,0,0,NA,0.00819672131147541,0
1162,243,86,0,4,10,620443,320582,49,5,5,10,27,0.0888888888888889,0.0106890459363958,0.146589927042815
1169,2,7,0,1,7,4,4,14,0,0,0,0,NA,0.00819672131147541,0
1170,160,60,0,2,7,51105,10348,5,0,0,0,0,NA,0.00819672131147541,0
1174,304,341,0,1,6,83314,24330,16,6,6,12,80,0.0454545454545455,0.0106984969053935,0.370240708905297
1179,1396,38,0,4,10,91271,37379,64,0,0,0,0,NA,0.00819672131147541,0
1189,1487,185,0,3,8,136205,66634,85,3,3,6,0,0.0666666666666667,0.0106796116504854,0.0475222485015386
1191,598,106,0,3,6,45957,12652,20,2,2,4,0,0,0.0106645513837476,0.0362895863485511
1193,1400,209,0,2,8,232520,56163,93,0,0,0,0,NA,0.00819672131147541,0
1199,150,10,0,1,10,21181,4369,68,0,0,0,0,NA,0.00819672131147541,0
1200,396,35,0,3,8,17371,8611,21,0,0,0,0,NA,0.00819672131147541,0
1210,5,0,0,1,8,119,64,109,0,0,0,0,NA,0.00819672131147541,0
1212,61,0,0,1,8,695,340,112,0,0,0,0,NA,0.00819672131147541,0
1213,132,0,0,4,6,7020,2579,97,0,0,0,0,NA,0.00819672131147541,0
1215,5,0,0,1,10,52,28,78,0,0,0,0,NA,0.00819672131147541,0
1218,122,0,0,2,8,11803,2276,77,0,0,0,0,NA,0.00819672131147541,0
1228,228,425,0,4,8,111798,164993,34,2,2,4,0,0.166666666666667,0.0106937693327441,0.0319326609335861
1248,2,0,0,1,7,13,1,110,0,0,0,0,NA,0.00819672131147541,0
1273,33,374,0,1,8,1333,459,4,1,1,2,0,0,0.0106796116504854,0.0109414390306213
1275,19,0,0,1,9,3281,2827,107,0,0,0,0,NA,0.00819672131147541,0
1296,25,2,0,2,6,5975,5248,113,0,0,0,0,NA,0.00819672131147541,0
378243,0,0,0,13,0,0,0,114,0,0,0,0,NA,0.00819672131147541,0
379873,0,6,0,3,0,0,0,1,0,0,0,0,NA,0.00819672131147541,0
380915,0,0,0,2,0,0,0,2,0,0,0,0,NA,0.00819672131147541,0
381400,0,4,0,1,0,0,0,6,0,0,0,0,NA,0.00819672131147541,0
382536,0,265,0,2,0,0,0,8,3,3,6,24,0.133333333333333,0.0106956598603377,0.0652018089420538
382556,0,0,0,3,0,0,0,33,0,0,0,0,NA,0.00819672131147541,0
382772,0,213,0,4,0,0,0,9,2,2,4,0,0.166666666666667,0.010672076203916,0.0550186312439819
383086,0,0,0,2,0,0,0,92,0,0,0,0,NA,0.00819672131147541,0
383817,0,183,75,1,0,0,0,11,18,18,36,303,0.0253968253968254,0.0107060697221731,0.323386425815463
