"upeople_id","X269scmChanges","X319scmChanges","X353scmChanges","X1mslChanges","number_of_domain","country","X269linesadded","X269linesremoved","X319linesadded","X319linesremoved","X353linesadded","X353linesremoved","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
273,33,27,404,1224,7,9,28598,9134,2863,2294,13180,14606,2,3,3,6,10,0.133333333333333,0.029045643153527,0.368113196224695
371,0,0,0,498,3,10,0,0,0,0,0,0,4,9,9,18,18,0.0522875816993464,0.0290858725761773,1
611,0,0,0,203,2,6,0,0,0,0,0,0,1,1,1,2,0,0,0.0288065843621399,0.0581278629914524
1060,25,0,0,1,3,6,12729,18695,0,0,0,0,36,0,0,0,0,NA,0.0232558139534884,0
1587,0,0,0,24,1,9,0,0,0,0,0,0,3,0,0,0,0,NA,0.0232558139534884,0
1626,188,146,2786,68,3,7,694,14780944,1602,898841,110133,1172058226,23,2,2,4,1.33333333333333,0.166666666666667,0.0289655172413793,0.119456483725207
1633,0,0,0,2,1,9,0,0,0,0,0,0,38,0,0,0,0,NA,0.0232558139534884,0
1812,297,0,0,5,3,8,246480,120847,0,0,0,0,5,0,0,0,0,NA,0.0232558139534884,0
378243,0,0,0,0,13,0,0,0,0,0,0,0,40,0,0,0,0,NA,0.0232558139534884,0
380749,0,0,0,5,2,0,0,0,0,0,0,0,6,0,0,0,0,NA,0.0232558139534884,0
380752,0,0,0,247,1,0,0,0,0,0,0,0,8,1,1,2,0,0,0.0283018867924528,0.252218694434977
380768,0,0,0,301,1,0,0,0,0,0,0,0,9,2,2,4,0,0.166666666666667,0.0290055248618785,0.462974842325293
380770,0,0,0,2,2,0,0,0,0,0,0,0,10,0,0,0,0,NA,0.0232558139534884,0
380771,0,0,0,164,2,0,0,0,0,0,0,0,11,4,4,8,27.3333333333333,0.178571428571429,0.0291666666666667,0.122297653019727
380779,0,0,0,2,2,0,0,0,0,0,0,0,12,0,0,0,0,NA,0.0232558139534884,0
380788,0,0,0,5,1,0,0,0,0,0,0,0,13,0,0,0,0,NA,0.0232558139534884,0
380789,0,0,0,33,3,0,0,0,0,0,0,0,14,0,0,0,0,NA,0.0232558139534884,0
380792,0,0,0,1,1,0,0,0,0,0,0,0,15,0,0,0,0,NA,0.0232558139534884,0
380797,0,0,0,591,2,0,0,0,0,0,0,0,16,5,5,10,16,0.111111111111111,0.029126213592233,0.576165291015313
380805,0,0,0,231,2,0,0,0,0,0,0,0,17,4,4,8,0,0.107142857142857,0.0288461538461538,0.335113842080669
380827,0,0,0,28,1,0,0,0,0,0,0,0,18,0,0,0,0,NA,0.0232558139534884,0
380853,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,0,0,NA,0.0232558139534884,0
380875,0,0,0,5,3,0,0,0,0,0,0,0,20,0,0,0,0,NA,0.0232558139534884,0
380991,0,0,0,13,2,0,0,0,0,0,0,0,21,0,0,0,0,NA,0.0232558139534884,0
381171,0,0,0,20,1,0,0,0,0,0,0,0,22,0,0,0,0,NA,0.0232558139534884,0
381180,0,0,0,87,1,0,0,0,0,0,0,0,24,5,5,10,32.6666666666667,0.111111111111111,0.0291666666666667,0.178043748153857
382296,0,0,0,0,1,0,0,0,0,0,0,0,25,0,0,0,0,NA,0.0232558139534884,0
382329,0,0,0,3,1,0,0,0,0,0,0,0,26,0,0,0,0,NA,0.0232558139534884,0
383914,0,0,0,1,2,0,0,0,0,0,0,0,27,0,0,0,0,NA,0.0232558139534884,0
384011,0,0,0,4,1,0,0,0,0,0,0,0,28,0,0,0,0,NA,0.0232558139534884,0
385978,0,0,0,4,1,0,0,0,0,0,0,0,31,0,0,0,0,NA,0.0232558139534884,0
385979,0,0,0,1,1,0,0,0,0,0,0,0,32,0,0,0,0,NA,0.0232558139534884,0
386116,0,0,0,7,2,0,0,0,0,0,0,0,35,0,0,0,0,NA,0.0232558139534884,0
386206,0,0,0,9,1,0,0,0,0,0,0,0,37,0,0,0,0,NA,0.0232558139534884,0
406819,0,0,0,0,1,0,0,0,0,0,0,0,39,0,0,0,0,NA,0.0232558139534884,0
410064,0,0,0,0,1,0,0,0,0,0,0,0,41,0,0,0,0,NA,0.0232558139534884,0
410087,0,0,0,0,1,0,0,0,0,0,0,0,42,0,0,0,0,NA,0.0232558139534884,0
433525,0,0,0,0,1,0,0,0,0,0,0,0,43,0,0,0,0,NA,0.0232558139534884,0
446954,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,NA,0.0232558139534884,0
447526,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,NA,0.0232558139534884,0
447527,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,NA,0.0232558139534884,0
447528,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,NA,0.0232558139534884,0
447530,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,NA,0.0232558139534884,0
