"upeople_id","X72scmChanges","X263scmChanges","X293scmChanges","X77scrChanges","X212scrChanges","X391scrChanges","X1mslChanges","number_of_domain","country","X72linesadded","X72linesremoved","X263linesadded","X263linesremoved","X293linesadded","X293linesremoved","X77ReviewGotMerged","X212ReviewGotMerged","X391ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
32,31,0,4,0,109,22,2,2,9,7006,2346,0,0,192,42,0,97,20,81,0,0,0,0,NA,0.008,5.5507546812065e-17
177,65,13,11,0,0,0,6,2,6,20082,10706,2362,1053,3039,2466,0,0,0,25,0,0,0,0,NA,0.008,5.5507546812065e-17
182,0,0,73,0,0,0,15,3,6,0,0,0,0,11789,2978,0,0,0,40,0,0,0,0,NA,0.008,5.5507546812065e-17
185,131,0,0,0,0,0,8,4,10,7748,4473,0,0,0,0,0,0,0,35,0,0,0,0,NA,0.008,5.5507546812065e-17
189,407,471,0,0,0,0,3,2,10,53791,28314,89868,48858,0,0,0,0,0,31,0,0,0,0,NA,0.008,5.5507546812065e-17
197,225,9,59,0,18,5,31,3,7,4966,11070,1706,1113,2039,1300,0,17,5,20,0,0,0,0,NA,0.008,5.5507546812065e-17
199,72,2,1,0,25,0,0,3,6,5541,3065,6,5,1,0,0,25,0,8,0,0,0,0,NA,0.008,5.5507546812065e-17
234,0,0,0,0,0,0,103,4,10,0,0,0,0,0,0,0,0,0,42,1,1,2,0,0,0.00806451612903226,1
249,211,45,0,0,0,0,8,3,6,87423,81604,2366,1210,0,0,0,0,0,44,0,0,0,0,NA,0.008,5.5507546812065e-17
258,11,0,22,0,28,57,5,2,9,1226,649,0,0,917,108,0,24,53,14,0,0,0,0,NA,0.008,5.5507546812065e-17
273,10,1,0,0,4,0,16,7,9,52,104,2,33,0,0,0,4,0,15,0,0,0,0,NA,0.008,5.5507546812065e-17
276,483,5,37,24,4093,220,161,5,8,15483332,8053385,14,30,1604,2150,20,3486,199,2,0,0,0,0,NA,0.008,5.5507546812065e-17
278,6,0,0,0,0,0,0,2,9,1137,46,0,0,0,0,0,0,0,96,0,0,0,0,NA,0.008,5.5507546812065e-17
286,14,0,0,0,107,0,36,3,6,2409,363,0,0,0,0,0,67,0,9,0,0,0,0,NA,0.008,5.5507546812065e-17
411,464,22,1338,0,76,55,93,4,6,41204,42439,917,3963,73748,43519,0,73,51,11,0,0,0,0,NA,0.008,5.5507546812065e-17
412,8,0,1,0,0,0,12,2,7,79,9,0,0,3,2,0,0,0,23,0,0,0,0,NA,0.008,5.5507546812065e-17
413,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,22,0,0,0,0,NA,0.008,5.5507546812065e-17
415,1,0,0,0,1,0,0,3,6,31,8,0,0,0,0,0,1,0,3,0,0,0,0,NA,0.008,5.5507546812065e-17
430,113,0,0,0,3,0,3,2,7,17526,10720,0,0,0,0,0,3,0,69,0,0,0,0,NA,0.008,5.5507546812065e-17
432,61,0,0,0,0,0,17,2,9,44117,6418,0,0,0,0,0,0,0,67,0,0,0,0,NA,0.008,5.5507546812065e-17
443,1,2,11,0,0,0,0,1,10,24,0,20,8,106,53,0,0,0,17,0,0,0,0,NA,0.008,5.5507546812065e-17
526,4,0,0,0,4,0,18,6,9,2030,1813,0,0,0,0,0,0,0,4,0,0,0,0,NA,0.008,5.5507546812065e-17
610,1,1,0,0,9,0,0,5,9,1,1,6,4,0,0,0,6,0,10,0,0,0,0,NA,0.008,5.5507546812065e-17
659,20,0,0,0,0,0,12,3,9,785,198,0,0,0,0,0,0,0,41,0,0,0,0,NA,0.008,5.5507546812065e-17
663,1469,0,0,0,0,0,417,5,10,524403,463832,0,0,0,0,0,0,0,64,1,1,2,0,0,0.00806451612903226,1
665,386,4,0,0,0,0,109,3,8,50772,38192,3,4,0,0,0,0,0,57,1,1,2,0,0,0.00806451612903226,0.999870132895892
670,0,0,321,0,0,0,0,13,8,0,0,0,0,31900,30034,0,0,0,5,0,0,0,0,NA,0.008,5.5507546812065e-17
671,22,0,0,0,14,0,1,3,6,2358,1710,0,0,0,0,0,14,0,7,0,0,0,0,NA,0.008,5.5507546812065e-17
677,186,0,11,0,182,22,16,5,7,10809,3898,0,0,476,266,0,161,14,18,0,0,0,0,NA,0.008,5.5507546812065e-17
693,12,0,0,0,0,0,0,2,8,56,24,0,0,0,0,0,0,0,51,0,0,0,0,NA,0.008,5.5507546812065e-17
721,188,0,0,0,0,0,19,3,10,21940,10979,0,0,0,0,0,0,0,43,0,0,0,0,NA,0.008,5.5507546812065e-17
724,352,0,0,0,0,0,15,3,9,33919,19862,0,0,0,0,0,0,0,45,0,0,0,0,NA,0.008,5.5507546812065e-17
735,29,0,0,0,0,0,36,3,7,4248,3037,0,0,0,0,0,0,0,29,0,0,0,0,NA,0.008,5.5507546812065e-17
738,60,0,0,0,0,0,6,4,6,4636,2628,0,0,0,0,0,0,0,87,0,0,0,0,NA,0.008,5.5507546812065e-17
743,371,0,0,0,0,0,7,1,7,65972,26285,0,0,0,0,0,0,0,74,0,0,0,0,NA,0.008,5.5507546812065e-17
750,56,402,0,0,0,0,0,3,8,1044,748,75865,54996,0,0,0,0,0,75,0,0,0,0,NA,0.008,5.5507546812065e-17
756,280,0,0,0,0,0,71,3,6,47073,7759,0,0,0,0,0,0,0,12,0,0,0,0,NA,0.008,5.5507546812065e-17
758,273,0,0,0,2,0,10,4,8,139591,69589,0,0,0,0,0,2,0,6,0,0,0,0,NA,0.008,5.5507546812065e-17
760,355,0,0,0,16,0,132,1,6,32049,13450,0,0,0,0,0,12,0,28,0,0,0,0,NA,0.008,5.5507546812065e-17
765,325,0,245,0,0,0,118,2,10,24252,12060,0,0,36354,20667,0,0,0,71,0,0,0,0,NA,0.008,5.5507546812065e-17
771,98,0,0,0,0,0,1,4,10,11496,4186,0,0,0,0,0,0,0,98,0,0,0,0,NA,0.008,5.5507546812065e-17
804,21,0,0,0,40,0,7,3,9,827,352,0,0,0,0,0,37,0,19,0,0,0,0,NA,0.008,5.5507546812065e-17
823,5,0,0,0,9,0,0,2,10,28,5,0,0,0,0,0,0,0,115,0,0,0,0,NA,0.008,5.5507546812065e-17
824,53,0,2,0,137,2,0,2,10,9020,13912,0,0,296,32,0,127,1,108,0,0,0,0,NA,0.008,5.5507546812065e-17
832,10,0,1,0,20,4,0,1,8,185,32,0,0,2,2,0,19,2,21,0,0,0,0,NA,0.008,5.5507546812065e-17
872,1,0,0,0,0,0,0,2,10,1,1,0,0,0,0,0,0,0,97,0,0,0,0,NA,0.008,5.5507546812065e-17
873,14,0,0,0,16,0,0,2,10,230564,5480735,0,0,0,0,0,9,0,13,0,0,0,0,NA,0.008,5.5507546812065e-17
874,4,0,0,0,9,0,0,1,9,23,6,0,0,0,0,0,7,0,124,0,0,0,0,NA,0.008,5.5507546812065e-17
875,1,0,0,0,0,0,0,3,6,78,7,0,0,0,0,0,0,0,122,0,0,0,0,NA,0.008,5.5507546812065e-17
876,6,0,16,0,21,46,0,5,7,3815,2399,0,0,2571,368,0,16,41,89,0,0,0,0,NA,0.008,5.5507546812065e-17
884,3,0,0,1,6,0,0,2,6,19,27,0,0,0,0,0,6,0,116,0,0,0,0,NA,0.008,5.5507546812065e-17
893,3,0,0,0,18,0,0,1,8,1655,608,0,0,0,0,0,13,0,123,0,0,0,0,NA,0.008,5.5507546812065e-17
1377,0,0,0,0,0,0,7,2,10,0,0,0,0,0,0,0,0,0,65,0,0,0,0,NA,0.008,5.5507546812065e-17
1448,0,754,0,0,0,0,4,3,6,0,0,75691,64155,0,0,0,0,0,52,0,0,0,0,NA,0.008,5.5507546812065e-17
1539,0,0,0,0,4,0,3,2,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0.008,5.5507546812065e-17
1644,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,30,0,0,0,0,NA,0.008,5.5507546812065e-17
1645,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,24,0,0,0,0,NA,0.008,5.5507546812065e-17
