"repository_id","number_of_unique_author"
72,281
182,191
330,187
424,176
94,165
78,136
276,122
380,106
166,100
247,100
171,95
274,93
275,92
20,91
100,83
105,75
420,74
151,73
383,72
377,71
293,70
436,67
389,66
5,64
177,61
259,58
109,57
256,55
295,54
285,53
196,53
64,52
65,52
153,50
245,50
398,49
378,48
224,48
406,48
433,47
38,47
354,42
263,42
322,41
137,38
103,38
120,37
192,37
300,36
324,36
117,36
252,35
142,35
482,35
133,35
232,34
280,34
41,34
351,34
379,33
149,33
211,32
403,32
417,31
180,31
278,31
154,30
158,30
184,29
363,29
246,29
327,29
31,28
415,28
40,27
360,27
59,27
63,27
80,27
353,27
264,26
12,26
16,26
148,26
328,25
13,25
188,24
48,24
357,24
104,23
178,23
326,23
344,22
116,22
164,22
294,22
122,21
478,21
305,21
440,20
236,20
61,20
385,20
218,19
75,19
286,19
366,19
34,19
162,19
452,19
397,18
272,18
84,18
231,18
375,18
169,17
250,17
173,17
62,17
382,17
451,17
290,17
340,17
213,17
229,17
421,17
21,17
186,16
331,16
189,16
159,16
129,16
273,16
66,16
83,16
308,16
197,16
422,16
491,16
314,15
140,15
350,15
449,15
208,15
17,15
4,15
201,14
281,14
74,14
202,14
220,14
237,14
483,14
128,14
258,14
468,14
372,14
168,13
296,13
392,13
265,13
43,13
123,13
172,13
348,13
157,13
110,13
223,13
176,13
113,13
241,13
98,13
114,13
228,13
388,13
230,13
439,13
23,12
73,12
121,12
58,12
362,12
222,12
238,12
127,12
337,12
82,12
470,12
212,12
55,12
25,11
203,11
283,11
299,11
108,11
221,11
253,11
179,11
355,11
68,11
85,11
70,11
358,11
390,11
456,11
233,10
29,10
349,10
30,10
46,10
432,10
146,10
51,10
131,10
277,10
437,10
391,10
475,10
56,9
234,9
444,9
461,9
76,9
332,9
428,9
77,9
269,9
301,9
317,9
333,9
143,9
303,9
384,9
81,9
1,9
67,9
291,9
405,9
489,9
262,9
39,9
279,9
136,8
9,8
42,8
10,8
155,8
28,8
205,8
381,8
95,8
111,8
271,8
319,8
352,8
466,8
33,8
242,8
486,8
2,8
147,8
453,8
52,8
356,8
404,8
22,8
119,8
423,8
7,7
458,7
410,7
460,7
107,7
187,7
315,7
45,7
270,7
79,7
255,7
368,7
416,7
145,7
193,7
338,7
386,7
402,7
18,7
243,7
419,7
36,7
454,7
118,7
374,7
248,6
492,6
185,6
313,6
393,6
442,6
26,6
282,6
443,6
27,6
139,6
60,6
124,6
316,6
364,6
413,6
463,6
206,6
334,6
367,6
240,6
257,6
115,6
339,6
435,6
3,6
19,6
54,6
490,6
87,6
167,6
199,6
407,6
88,5
216,5
376,5
8,5
297,5
409,5
394,5
347,5
92,5
204,5
445,5
365,5
448,5
96,5
336,5
289,5
434,5
387,5
260,5
69,5
101,5
309,5
215,5
311,5
343,5
152,4
89,4
425,4
138,4
91,4
235,4
427,4
479,4
396,4
429,4
446,4
126,4
174,4
175,4
431,4
112,4
304,4
400,4
49,4
369,4
485,4
370,4
195,4
227,4
487,4
244,4
165,4
261,4
373,4
86,4
150,4
183,4
312,3
408,3
476,3
217,3
361,3
219,3
412,3
480,3
430,3
191,3
287,3
399,3
15,3
144,3
450,3
209,3
50,3
418,3
37,3
53,3
325,3
341,3
198,3
214,3
310,3
342,3
438,3
6,3
135,3
200,2
249,2
329,2
459,2
477,2
106,2
170,2
266,2
346,2
251,2
267,2
395,2
411,2
44,2
268,2
141,2
481,2
254,2
414,2
464,2
14,2
207,2
239,2
465,2
32,2
401,2
467,2
130,2
194,2
210,2
226,2
35,2
163,2
307,2
323,2
371,2
292,2
471,2
488,2
181,2
102,2
134,2
474,2
359,2
57,1
345,1
90,1
298,1
426,1
11,1
156,1
284,1
462,1
93,1
125,1
190,1
302,1
318,1
47,1
335,1
160,1
288,1
320,1
484,1
97,1
161,1
225,1
321,1
306,1
99,1
132,1
455,1
473,1
71,1
457,1
