"repository_id","number_of_unique_author"
45,1064
2,554
53,516
102,516
130,510
126,507
127,504
1,477
104,474
112,462
23,419
131,406
42,406
88,379
93,354
66,328
78,300
48,249
49,249
62,246
60,221
57,193
30,191
4,188
54,179
72,154
22,148
77,138
40,135
76,131
28,130
99,129
113,116
64,106
55,105
15,103
109,100
58,97
32,83
107,79
37,78
63,76
10,76
29,75
81,75
92,73
51,71
84,68
133,67
25,67
132,66
17,64
106,64
39,61
87,61
52,58
44,58
111,57
96,57
74,54
16,52
85,51
94,47
50,47
75,46
56,41
110,40
27,40
43,39
97,38
67,37
105,37
12,37
114,36
19,36
73,36
46,35
82,33
98,33
122,32
117,31
119,30
61,29
65,29
79,28
18,28
7,28
91,28
36,26
108,26
24,25
3,24
35,24
20,24
8,24
47,23
103,22
59,22
95,20
101,20
34,19
9,19
125,18
129,18
83,18
89,18
33,17
70,17
135,17
26,17
21,16
100,15
69,15
11,14
86,11
128,10
6,10
14,8
5,8
38,8
80,7
115,7
116,7
118,7
124,7
71,6
123,6
120,5
41,5
121,5
13,3
31,3
134,3
90,3
68,2
