"upeople_id","31scmChanges","40scmChanges","63scmChanges","73scmChanges","74scmChanges","80scmChanges","123scmChanges","137scmChanges","146scmChanges","154scmChanges","186scmChanges","189scmChanges","192scmChanges","196scmChanges","212scmChanges","218scmChanges","233scmChanges","236scmChanges","256scmChanges","262scmChanges","337scmChanges","354scmChanges","358scmChanges","367scmChanges","372scmChanges","436scmChanges","1mslChanges","2mslChanges","3mslChanges","4mslChanges","5mslChanges","number_of_domain","country","31linesadded","31linesremoved","40linesadded","40linesremoved","63linesadded","63linesremoved","73linesadded","73linesremoved","74linesadded","74linesremoved","80linesadded","80linesremoved","123linesadded","123linesremoved","137linesadded","137linesremoved","146linesadded","146linesremoved","154linesadded","154linesremoved","186linesadded","186linesremoved","189linesadded","189linesremoved","192linesadded","192linesremoved","196linesadded","196linesremoved","212linesadded","212linesremoved","218linesadded","218linesremoved","233linesadded","233linesremoved","236linesadded","236linesremoved","256linesadded","256linesremoved","354linesadded","354linesremoved","358linesadded","358linesremoved","367linesadded","367linesremoved","372linesadded","372linesremoved","436linesadded","436linesremoved"
273,274,109,43,16,520,0,4,2071,31,60,54,18,5636,555,50,19,129,382,1143,0,0,1369,0,23,21,1792,1224,24,263,1453,27,7,9,19249,24178,3162,5052,39274,44806,41,24,1778,11192823,0,0,171,2815,11156,198095114,1040,1198,696,405,413,328,2438,373,1169821,797742,29638,45602,3970,2004,199,150,763,285294,1895,2502247,531503,422254,639376,506178,0,0,2055,510,1898,3087,196198,117063
300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,3,129,73,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348,326,0,0,0,0,0,0,0,0,0,34,0,39,0,0,0,0,0,0,0,0,0,0,2,0,29,44,0,5,1,6,5,7,41784,34645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1057,252,0,0,82,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,16,0,0,1514,592
371,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498,6,152,72,2,3,10,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
462,0,12,0,0,17,0,0,40,0,9,0,0,41,97,0,0,6,7,1,0,0,0,0,0,0,0,278,0,5,312,0,1,9,0,0,314,194,0,0,0,0,794,227,0,0,0,0,1758,266,0,0,342,157,0,0,0,0,112200,867,22927,3925,0,0,0,0,155,22,399,107,8,8,0,0,0,0,0,0,0,0,0,0
611,0,0,19,0,0,0,2,7,2,0,0,0,0,0,3,7,5,1,94,0,0,67,7,0,6,34,203,0,18,100,10,2,6,0,0,0,0,1444,81,0,0,0,0,0,0,39,10,85,32,39,7,0,0,0,0,0,0,0,0,0,0,41,332,52,27,107,28,32,0,11913,4258,6498,4676,134,263,0,0,50,30,8305,395
1082,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,440,5,22,74,0,3,10,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1626,0,0,0,0,0,0,0,44,0,0,0,0,41,0,0,0,0,1,1007,0,0,966,0,0,0,69,68,0,3,108,5,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6403,5275,0,0,0,0,0,0,0,0,191,170,0,0,0,0,0,0,0,0,1,1,167223,166561,128540,110182,0,0,0,0,0,0,7389,1365
309802,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
