"upeople_id","74scmChanges","137scmChanges","233scmChanges","236scmChanges","1mslChanges","number_of_domain","country","74linesadded","74linesremoved","137linesadded","137linesremoved","233linesadded","233linesremoved","236linesadded","236linesremoved"
259,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0
273,520,2071,129,382,1224,7,9,1778,11192823,11156,198095114,763,285294,1895,2502247
348,0,0,0,0,44,5,7,0,0,0,0,0,0,0,0
371,0,0,0,0,498,3,10,0,0,0,0,0,0,0,0
432,0,0,0,0,1,2,9,0,0,0,0,0,0,0,0
458,0,0,0,0,14,2,8,0,0,0,0,0,0,0,0
460,0,1,0,0,16,5,7,0,0,11,2,0,0,0,0
462,17,40,6,7,278,1,9,794,227,1758,266,155,22,399,107
465,0,0,0,0,55,4,6,0,0,0,0,0,0,0,0
466,0,1,0,0,0,4,6,0,0,46,1,0,0,0,0
611,0,7,5,1,203,2,6,0,0,85,32,107,28,32,0
1082,0,0,0,0,440,3,10,0,0,0,0,0,0,0,0
1626,0,44,0,1,68,3,7,0,0,6403,5275,0,0,1,1
1632,0,9,0,0,0,1,7,0,0,90,26,0,0,0,0
1633,0,3,0,0,2,1,9,0,0,25,6,0,0,0,0
1634,0,1,0,0,0,3,8,0,0,6,2,0,0,0,0
1635,0,3,0,0,54,6,7,0,0,266,5,0,0,0,0
2034,0,0,0,0,2,1,9,0,0,0,0,0,0,0,0
309802,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
378243,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
379681,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
380749,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0
380751,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
380752,0,0,0,0,247,1,0,0,0,0,0,0,0,0,0
380759,0,0,0,0,22,2,0,0,0,0,0,0,0,0,0
380761,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
380768,0,0,0,0,301,1,0,0,0,0,0,0,0,0,0
380770,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
380771,0,0,0,0,164,2,0,0,0,0,0,0,0,0,0
380789,0,0,0,0,33,3,0,0,0,0,0,0,0,0,0
380797,0,0,0,0,591,2,0,0,0,0,0,0,0,0,0
380805,0,0,0,0,231,2,0,0,0,0,0,0,0,0,0
380826,0,0,0,0,83,2,0,0,0,0,0,0,0,0,0
380827,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0
380853,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
380926,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
380983,0,0,0,0,67,1,0,0,0,0,0,0,0,0,0
380991,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0
381174,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0
381180,0,0,0,0,87,1,0,0,0,0,0,0,0,0,0
382329,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
383914,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
384011,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
385978,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
386116,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0
399827,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
433088,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
434498,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
443194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
