"upeople_id","79scmChanges","82scmChanges","127scmChanges","149scmChanges","150scmChanges","238scmChanges","259scmChanges","309scmChanges","328scmChanges","329scmChanges","357scmChanges","189scrChanges","228scrChanges","1mslChanges","number_of_domain","country","79linesadded","79linesremoved","82linesadded","82linesremoved","127linesadded","127linesremoved","149linesadded","149linesremoved","238linesadded","238linesremoved","259linesadded","259linesremoved","309linesadded","309linesremoved","328linesadded","328linesremoved","357linesadded","357linesremoved","189ReviewGotMerged","228ReviewGotMerged"
105,0,0,0,0,0,0,55,0,0,0,0,0,0,68,7,8,0,0,0,0,0,0,0,0,0,0,12268,68537,0,0,0,0,0,0,0,0
276,0,0,1,1,0,0,102,0,9,0,3,6,366,389,5,8,0,0,0,0,3,3,0,48,0,0,3034,46143,0,0,217,163,257,257,6,339
319,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411,0,12,6,24,0,147,4,0,147,0,42,0,0,259,4,6,0,0,84,75,192,298,526,507,7530,3842,199,394,0,0,20992,21469,1615,949,0,0
412,0,0,0,237,0,1,1,0,8,0,13,0,0,71,2,7,0,0,0,0,0,0,4341,3683,3,2,15,0,0,0,79,9,85,8,0,0
430,5,2,0,35,0,0,12,1,72,0,3,0,0,51,2,7,103,96,12,6,0,0,140,68,0,0,42836,289,0,7,16357,3783,58,59,0,0
610,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0
677,0,0,0,0,0,0,47,0,0,0,6,0,9,94,5,7,0,0,0,0,0,0,0,0,0,0,3653,1119,0,0,0,0,1196,34,0,5
756,0,0,0,12,0,0,0,0,188,0,54,0,0,131,3,6,0,0,0,0,0,0,60,16,0,0,0,0,0,0,45305,5265,2065,303,0,0
765,0,20,9,14,0,167,0,0,103,0,40,0,0,42,2,10,0,0,398,263,72,178,96,88,32775,21878,0,0,0,0,18301,7449,3521,1569,0,0
771,0,0,0,17,0,0,0,0,0,0,0,0,0,32,4,10,0,0,0,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0
773,0,0,702,44,0,0,0,0,31,0,0,0,0,232,5,7,0,0,0,0,336430,87597,176,87,0,0,0,0,0,0,14099,526,0,0,0,0
804,0,0,0,1,0,0,67,0,0,0,0,0,41,61,3,9,0,0,0,0,0,0,1,1,0,0,1364,721,0,0,0,0,0,0,0,39
813,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
817,0,0,0,0,0,0,49,0,0,0,0,0,156,177,7,7,0,0,0,0,0,0,0,0,0,0,5374,2387,0,0,0,0,0,0,0,143
826,0,0,0,0,0,0,18,0,0,0,0,0,107,43,2,8,0,0,0,0,0,0,0,0,0,0,2007,161,0,0,0,0,0,0,0,70
889,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3,10,0,0,0,0,0,0,0,0,0,0,70,39,0,0,0,0,0,0,0,2
906,0,0,0,0,0,0,1,0,0,0,0,0,6,1,4,8,0,0,0,0,0,0,0,0,0,0,17,16,0,0,0,0,0,0,0,1
911,0,0,0,0,0,0,43,0,0,0,0,0,251,7,2,7,0,0,0,0,0,0,0,0,0,0,14864,6192,0,0,0,0,0,0,0,233
1058,38,0,0,10,0,0,0,0,0,0,0,0,0,40,3,8,11030,5927,0,0,0,0,62,44,0,0,0,0,0,0,0,0,0,0,0,0
1060,27,0,0,1,0,0,0,0,0,0,0,0,0,13,3,6,11886,6921,0,0,0,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0
1342,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1696,0,0,0,1,0,0,0,0,0,0,0,0,0,22,1,8,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0
2334,0,0,0,0,0,0,13,0,0,0,0,0,70,24,2,8,0,0,0,0,0,0,0,0,0,0,7241,3326,0,0,0,0,0,0,0,58
378243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412979,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
433146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
