"upeople_id","42scmChanges","211scmChanges","289scmChanges","291scmChanges","394scmChanges","403scrChanges","1mslChanges","2mslChanges","4mslChanges","5mslChanges","number_of_domain","country","42linesadded","42linesremoved","211linesadded","211linesremoved","289linesadded","289linesremoved","291linesadded","291linesremoved","394linesadded","394linesremoved","403ReviewGotMerged"
498,87,1925,57,178,36,25,30,0,400,400,3,9,1496,944,146600,96190,1521,571,14417,4632,212,219,23
499,5,3276,4,14,0,52,16,1,323,104,5,6,7,7,848029,459460,13,0,602,74,0,0,37
500,11,1962,1,270,0,1,13,0,197,513,6,10,70,101,545441,477039,233,233,42430,22988,0,0,0
501,2,192,0,0,2,0,1,0,75,70,3,8,8,1,17323,8928,0,0,0,0,348,73,0
502,6,1246,4,30,40,7,8,0,167,415,5,8,66,14,196577,109747,0,0,29726,89,514,262,6
503,1,137,0,12,0,0,0,0,14,78,3,9,8,0,23242,6874,0,0,851,346,0,0,0
504,1,392,0,6,0,164,0,0,57,122,2,10,8,0,42143,27482,0,0,223,3,0,0,1
589,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0
2079,0,32,0,0,0,0,0,0,13,0,2,7,0,0,440,204,0,0,0,0,0,0,0
2080,0,19,0,0,0,0,0,0,6,0,1,8,0,0,1554,74,0,0,0,0,0,0,0
2081,0,1742,0,15,0,55,0,0,103,218,5,6,0,0,381054,275417,0,0,1025,327,0,0,47
425353,0,0,0,0,0,0,0,0,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0
