"upeople_id","123scmChanges","146scmChanges","212scmChanges","256scmChanges","354scmChanges","372scmChanges","1mslChanges","number_of_domain","country","123linesadded","123linesremoved","146linesadded","146linesremoved","212linesadded","212linesremoved","256linesadded","256linesremoved","354linesadded","354linesremoved","372linesadded","372linesremoved"
199,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0
273,4,31,50,1143,1369,21,1224,7,9,171,2815,1040,1198,3970,2004,531503,422254,639376,506178,1898,3087
300,0,0,0,0,0,0,149,4,8,0,0,0,0,0,0,0,0,0,0,0,0
370,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0
413,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0
460,1,3,7,1267,1379,6,16,5,7,2,1,6,6,20,398,250341,63818,191279,61114,13,14
462,0,0,0,1,0,0,278,1,9,0,0,0,0,0,0,8,8,0,0,0,0
611,2,2,3,94,67,6,203,2,6,39,10,39,7,41,332,11913,4258,6498,4676,50,30
668,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0
829,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0
1463,0,0,0,0,0,0,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0
1587,4,6,14,0,0,16,24,1,9,145,66,60,4,653,72,0,0,0,0,14185,14599
1626,0,0,0,1007,966,0,68,3,7,0,0,0,0,0,0,167223,166561,128540,110182,0,0
1633,0,0,0,0,0,0,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0
2313,0,0,0,20,2,0,1,3,9,0,0,0,0,0,0,1278,1107,22,11,0,0
2569,0,0,0,0,0,0,1,3,10,0,0,0,0,0,0,0,0,0,0,0,0
2967,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0
194325,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0
378243,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
378327,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
379027,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
379036,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
379793,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
380752,0,0,0,0,0,0,247,1,0,0,0,0,0,0,0,0,0,0,0,0,0
380768,0,0,0,0,0,0,301,1,0,0,0,0,0,0,0,0,0,0,0,0,0
380789,0,0,0,0,0,0,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0
380805,0,0,0,0,0,0,231,2,0,0,0,0,0,0,0,0,0,0,0,0,0
380875,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
380890,0,0,0,0,0,0,41,2,0,0,0,0,0,0,0,0,0,0,0,0,0
380991,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0
381171,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0
381180,0,0,0,0,0,0,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0
381449,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
382329,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
385978,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
