"upeople_id","177scmChanges","156scrChanges","1mslChanges","number_of_domain","country","177linesadded","177linesremoved","156ReviewGotMerged"
286,10,3,71,3,6,5414,2114,3
554,9,0,11,4,10,4299,2962,0
743,86,0,47,1,7,42148,24236,0
758,27,0,37,4,8,26014,601,0
817,157,134,526,7,7,261178,257147,117
876,32,18,40,5,7,2985,638,18
906,1,1,0,4,8,7,1,1
914,1,1,0,2,9,1,1,1
1730,6,24,0,3,7,231,150,22
1917,1,0,146,2,6,4,4,0
1918,20,64,10,4,8,31948,1076,53
1925,26,121,14,3,8,14703,12530,108
1926,1,3,2,1,8,5,0,1
1928,1,8,0,1,10,351,0,5
382963,0,0,72,2,0,0,0,0
384178,0,0,0,2,0,0,0,0
386690,0,0,33,1,0,0,0,0
388540,0,0,63,2,0,0,0,0
389876,0,0,61,3,0,0,0,0
389891,0,0,18,1,0,0,0,0
426556,0,0,6,1,0,0,0,0
433031,0,0,0,0,0,0,0,0
