"upeople_id","63scmChanges","218scmChanges","358scmChanges","482scmChanges","376scrChanges","1mslChanges","number_of_domain","country","63linesadded","63linesremoved","218linesadded","218linesremoved","358linesadded","358linesremoved","482linesadded","482linesremoved","376ReviewGotMerged"
273,43,19,0,38,0,1224,7,9,39274,44806,199,150,0,0,38527,44599,0
319,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0
443,0,0,2,2,0,1,1,10,0,0,0,0,501,501,501,501,0
460,0,0,0,0,0,16,5,7,0,0,0,0,0,0,0,0,0
462,0,0,0,0,0,278,1,9,0,0,0,0,0,0,0,0,0
494,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0
517,0,0,0,0,0,15,4,10,0,0,0,0,0,0,0,0,0
610,1,0,0,1,0,0,5,9,20,8,0,0,0,0,20,8,0
611,19,7,7,23,0,203,2,6,1444,81,52,27,134,263,218,225,0
612,6,2,0,15,5,41,3,9,19,9,7,7,0,0,146,149,5
620,3,1,0,4,0,0,1,8,12,11,9,9,0,0,21,20,0
671,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0
378243,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
379033,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0
379552,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
380964,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
381246,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0
381449,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
387404,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
390006,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
390020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
390046,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
390073,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
447349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
