"upeople_id","95scmChanges","179scmChanges","188scmChanges","231scmChanges","265scmChanges","106scrChanges","345scrChanges","1mslChanges","number_of_domain","country","188linesadded","188linesremoved","231linesadded","231linesremoved","106ReviewGotMerged","345ReviewGotMerged"
2015,0,0,16,136,0,2,4,224,3,6,1262,559,5390,928,2,3
378327,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
379027,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
379031,0,0,0,0,0,0,0,102,3,0,0,0,0,0,0,0
379033,0,0,0,0,0,0,0,56,2,0,0,0,0,0,0,0
379145,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
380481,0,0,0,0,0,0,0,328,1,0,0,0,0,0,0,0
390086,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0
390088,0,0,0,0,0,0,0,109,1,0,0,0,0,0,0,0
390089,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
390091,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0
390100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
390114,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
390144,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
390166,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
433832,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
434099,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
443980,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
448006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
