"upeople_id","324scmChanges","450scmChanges","464scmChanges","326scrChanges","1mslChanges","2mslChanges","number_of_domain","country","324linesadded","324linesremoved","450linesadded","450linesremoved","464linesadded","464linesremoved","326ReviewGotMerged"
198,601,42,19,90,624,1108,5,7,151652,153326,2393,460,2260,1189,81
330,4,0,0,0,4,23,3,7,72,44,0,0,0,0,0
670,77,0,0,0,27,29,13,8,163262,731,0,0,0,0,0
1404,127,3,0,1,33,181,4,7,10575,7208,20,2,0,0,1
1714,22,0,0,75,39,19,3,8,1483,323,0,0,0,0,75
2744,287,0,0,0,15,4,2,6,15606,19886,0,0,0,0,0
2745,7,0,0,0,0,0,3,6,311,210,0,0,0,0,0
3166,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0
378243,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
388687,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
432589,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
445339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
