"upeople_id","363scmChanges","426scmChanges","441scmChanges","459scmChanges","463scmChanges","467scmChanges","164scrChanges","457scrChanges","1mslChanges","number_of_domain","country","363linesadded","363linesremoved","426linesadded","426linesremoved","459linesadded","459linesremoved","463linesadded","463linesremoved","467linesadded","467linesremoved","164ReviewGotMerged","457ReviewGotMerged"
259,1285,5,0,35,5,2,2288,29,608,7,9,514902,522530,639,216,96096,229160,59,1,1705,38,2084,17
2073,482,0,0,0,18,0,2419,85,160,5,6,33885,35585,0,0,0,0,161,0,0,0,2250,73
2074,129,0,0,0,1,0,746,3,36,5,6,24832,9077,0,0,0,0,1350,227,0,0,670,1
2318,225,0,0,0,50,0,1066,297,28,4,7,13708,9274,0,0,0,0,2369,905,0,0,982,173
2319,2,0,0,0,0,0,57,0,92,4,7,1354,807,0,0,0,0,0,0,0,0,57,0
2929,374,0,0,14,0,1,2,0,16,3,6,51892,38846,0,0,491877,111742,0,0,234,59,2,0
2931,274,0,0,0,0,0,44,0,4,2,10,64547,30023,0,0,0,0,0,0,0,0,44,0
2932,27,0,0,0,0,0,1,0,5,2,9,22709,23968,0,0,0,0,0,0,0,0,1,0
2934,28,0,0,0,0,0,95,0,109,1,7,8805,0,0,0,0,0,0,0,0,0,95,0
194327,60,0,0,0,0,0,396,0,1,3,0,8175,3384,0,0,0,0,0,0,0,0,335,0
378243,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
452605,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
