"upeople_id","1mslChanges","number_of_domain","country"
14,13,1,10
37,30,1,7
45,1,3,8
93,3,1,10
114,69,3,10
166,5,1,10
199,5,3,6
259,19,7,9
273,2129,7,9
300,6,4,8
340,2,2,9
379,14,2,7
432,6,2,9
494,142,1,6
501,28,3,8
526,121,6,9
527,11,4,10
535,2,5,9
610,0,5,9
670,45,13,8
844,6,3,9
1060,4,3,6
1098,2,7,10
1351,44,7,8
1407,0,1,7
1503,0,6,8
1727,0,1,6
2042,17,1,10
2151,30,3,8
2282,9,3,7
94773,0,2,0
378243,0,13,0
379033,0,2,0
381271,65,3,0
382296,10,1,0
386797,0,3,0
390996,0,2,0
432704,0,1,0
447507,0,0,0
