"upeople_id","4scmChanges","330scmChanges","347scmChanges","419scrChanges","1mslChanges","number_of_domain","country","4linesadded","4linesremoved","330linesadded","330linesremoved","347linesadded","347linesremoved","419ReviewGotMerged"
21,320,372,0,0,212,4,9,292781,107856,29197,8310,0,0,0
22,88,627,0,5,524,2,10,6535,2395,36783,17809,0,0,2
23,1,649,0,30,502,3,6,84,3,201312,90955,0,0,16
24,26,1703,46,409,4096,6,6,1238,310,355481,264669,656,97,370
25,12,984,2,0,469,1,7,983,531,189584,141827,138,131,0
26,16,12,0,0,6,1,10,3305,1616,1742,605,0,0,0
27,38,12,0,0,52,1,7,58254,15212,2015,919,0,0,0
28,80,4,0,1,24,3,7,10322,4709,137,44,0,0,1
29,2,1586,0,23,251,1,10,24,13,193130,96698,0,0,23
32,1,3070,0,1153,831,2,9,2,2,417077,235026,0,0,1027
33,3,209,0,0,413,2,10,463,2,14362,5317,0,0,0
273,0,0,0,0,0,7,9,0,0,0,0,0,0,0
412,0,663,0,0,64,2,7,0,0,127237,60759,0,0,0
430,0,225,0,0,47,2,7,0,0,48767,31556,0,0,0
493,0,189,0,5,75,1,10,0,0,36761,12056,0,0,4
494,0,17,0,18,165,1,6,0,0,6202,3618,0,0,13
614,0,33,0,111,17,1,7,0,0,4455,4949,0,0,93
679,0,25,0,300,36,4,6,0,0,11024,2865,0,0,230
771,0,13,0,28,7,4,10,0,0,455,83,0,0,21
823,0,0,0,0,1,2,10,0,0,0,0,0,0,0
845,0,30,0,5,70,4,10,0,0,6380,744,0,0,5
849,0,685,0,329,812,2,10,0,0,85221,27785,0,0,284
1377,0,45,0,111,59,2,10,0,0,28649,9263,0,0,85
1489,0,7,0,36,114,5,9,0,0,1476,69,0,0,21
2218,0,0,0,0,6,4,8,0,0,0,0,0,0,0
2272,0,1581,0,133,558,3,6,0,0,211140,113481,0,0,114
2430,0,154,0,310,152,1,7,0,0,141289,7502,0,0,288
2454,0,4,0,8,13,4,9,0,0,2502,647,0,0,3
2471,0,24,0,367,15,5,8,0,0,677,264,0,0,258
2568,0,2,0,12,0,1,7,0,0,32,21,0,0,2
2589,0,356,0,47,586,1,9,0,0,70351,24132,0,0,45
2590,0,280,0,2,173,2,7,0,0,714936,566790,0,0,2
2598,0,11,0,0,17,3,7,0,0,21404,21320,0,0,0
2600,0,2,0,13,5,5,7,0,0,48,1,0,0,12
2774,0,53,0,0,232,1,7,0,0,82956,2637,0,0,0
2776,0,96,0,0,80,1,10,0,0,4065,2044,0,0,0
2777,0,1620,0,308,609,8,10,0,0,170837,87622,0,0,281
2778,0,2915,0,0,680,2,6,0,0,291202,145509,0,0,0
2779,0,39,0,0,236,3,8,0,0,1089,613,0,0,0
2780,0,25,0,0,15,1,8,0,0,4572,3684,0,0,0
2782,0,1107,0,0,194,3,7,0,0,472760,301457,0,0,0
2784,0,134,0,0,24,2,9,0,0,40227,15028,0,0,0
2785,0,202,0,0,154,1,10,0,0,56997,29751,0,0,0
2786,0,68,0,0,63,2,8,0,0,16703,7175,0,0,0
2787,0,89,0,0,35,3,6,0,0,17906,9227,0,0,0
2789,0,239,0,0,421,1,9,0,0,139906,89132,0,0,0
2792,0,493,0,0,74,2,7,0,0,47087,31742,0,0,0
2793,0,2275,0,6,654,4,8,0,0,390354,289841,0,0,4
2794,0,274,0,0,82,3,10,0,0,72793,47428,0,0,0
2795,0,22,0,0,31,3,7,0,0,1627,506,0,0,0
2796,0,31,0,0,117,2,7,0,0,969,611,0,0,0
2802,0,34,0,148,13,4,6,0,0,1065,285,0,0,136
2812,0,8,0,9,29,4,9,0,0,151,32,0,0,9
2813,0,6,0,26,100,11,6,0,0,666,48,0,0,0
2819,0,7,0,78,0,1,8,0,0,14354,20,0,0,71
2833,0,9,0,15,38,2,9,0,0,589,340,0,0,14
2836,0,42,0,144,72,4,7,0,0,13587,6706,0,0,132
2844,0,207,0,265,198,1,7,0,0,16533,4795,0,0,234
2846,0,43,0,312,23,3,9,0,0,5338,858,0,0,269
2852,0,1,0,1,0,3,9,0,0,886,676,0,0,0
2857,0,3,0,0,0,1,6,0,0,329,222,0,0,0
2858,0,2,0,10,116,4,6,0,0,12,0,0,0,5
2860,0,3,0,11,6,1,6,0,0,532,53,0,0,11
2875,0,1,0,1,0,3,10,0,0,18,2,0,0,0
3107,0,0,0,0,2,5,8,0,0,0,0,0,0,0
64670,0,4,0,29,0,2,0,0,0,241,60,0,0,26
309806,0,1,0,10,1,3,0,0,0,33,1,0,0,10
378228,0,2,0,11,9,3,0,0,0,2,15,0,0,7
378243,0,0,0,0,0,13,0,0,0,0,0,0,0,0
379795,0,0,0,0,155,4,0,0,0,0,0,0,0,0
379909,0,0,0,0,49,3,0,0,0,0,0,0,0,0
379951,0,0,0,0,33,2,0,0,0,0,0,0,0,0
380016,0,0,0,0,0,2,0,0,0,0,0,0,0,0
380197,0,0,0,0,0,2,0,0,0,0,0,0,0,0
381658,0,0,0,0,34,2,0,0,0,0,0,0,0,0
381967,0,0,0,0,0,1,0,0,0,0,0,0,0,0
387129,0,0,0,0,7,1,0,0,0,0,0,0,0,0
391952,0,0,0,0,0,1,0,0,0,0,0,0,0,0
391953,0,0,0,0,0,1,0,0,0,0,0,0,0,0
391972,0,0,0,0,14,2,0,0,0,0,0,0,0,0
391977,0,0,0,0,15,2,0,0,0,0,0,0,0,0
391979,0,0,0,0,4,2,0,0,0,0,0,0,0,0
398335,0,0,0,0,10,2,0,0,0,0,0,0,0,0
398953,0,0,0,0,30,1,0,0,0,0,0,0,0,0
399109,0,0,0,5,22,2,0,0,0,0,0,0,0,0
400259,0,0,0,0,31,2,0,0,0,0,0,0,0,0
404097,0,0,0,0,0,1,0,0,0,0,0,0,0,0
410508,0,0,0,0,1,2,0,0,0,0,0,0,0,0
410684,0,0,0,0,12,2,0,0,0,0,0,0,0,0
411260,0,0,0,0,0,1,0,0,0,0,0,0,0,0
412675,0,0,0,0,0,1,0,0,0,0,0,0,0,0
413978,0,0,0,0,0,1,0,0,0,0,0,0,0,0
422572,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426907,0,0,0,11,0,2,0,0,0,0,0,0,0,7
427228,0,0,0,0,0,1,0,0,0,0,0,0,0,0
427468,0,0,0,0,5,1,0,0,0,0,0,0,0,0
427546,0,0,0,0,0,1,0,0,0,0,0,0,0,0
427876,0,0,0,0,0,1,0,0,0,0,0,0,0,0
428113,0,0,0,0,0,2,0,0,0,0,0,0,0,0
428729,0,0,0,0,0,1,0,0,0,0,0,0,0,0
428736,0,0,0,0,0,1,0,0,0,0,0,0,0,0
429382,0,0,0,4,0,2,0,0,0,0,0,0,0,0
432588,0,0,0,0,0,1,0,0,0,0,0,0,0,0
432797,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
444193,0,0,0,6,0,1,0,0,0,0,0,0,0,6
447097,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
448212,0,0,0,0,0,0,0,0,0,0,0,0,0,0
448844,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452230,0,0,0,0,0,0,0,0,0,0,0,0,0,0
