"upeople_id","67scmChanges","151scmChanges","417scmChanges","38scrChanges","179scrChanges","1mslChanges","number_of_domain","country","67linesadded","67linesremoved","151linesadded","151linesremoved","417linesadded","417linesremoved","38ReviewGotMerged","179ReviewGotMerged"
96,0,1,0,0,0,0,3,6,0,0,9,7,0,0,0,0
185,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0
189,0,981,1,0,0,0,2,10,0,0,331083,188055,42,20,0,0
193,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0
197,0,8,0,0,1,0,3,7,0,0,124,60,0,0,0,1
199,0,3,2,0,4,0,3,6,0,0,72,8,2,0,0,4
258,0,3,0,0,5,0,2,9,0,0,31,60,0,0,0,5
262,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0
273,0,0,0,0,0,5,7,9,0,0,0,0,0,0,0,0
276,0,12,0,0,54,0,5,8,0,0,630,689,0,0,0,26
277,0,7,0,0,5,0,4,6,0,0,76,34,0,0,0,1
286,0,1,0,0,4,12,3,6,0,0,9,1,0,0,0,1
300,0,0,0,0,0,4,4,8,0,0,0,0,0,0,0,0
319,0,812,0,0,0,9,2,7,0,0,154832,47375,0,0,0,0
411,0,0,12,0,0,8,4,6,0,0,0,0,39,36,0,0
412,0,0,641,0,0,51,2,7,0,0,0,0,55184,21388,0,0
417,0,9,0,0,39,2,6,8,0,0,4622,177,0,0,0,37
517,0,0,0,0,0,28,4,10,0,0,0,0,0,0,0,0
610,0,813,0,0,42,0,5,9,0,0,181841,107677,0,0,0,36
668,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0
670,0,0,666,1,0,55,13,8,0,0,0,0,38468,23536,1,0
671,0,1360,40,19,180,225,3,6,0,0,145802,116501,3624,3667,13,159
677,0,3,0,0,7,14,5,7,0,0,229,69,0,0,0,0
693,43,3637,0,0,0,8,2,8,60796,10513,384473,331148,0,0,0,0
694,6,320,0,0,0,6,2,9,3884,47,88050,29064,0,0,0,0
695,15,642,0,0,0,38,2,9,1726,289,69842,55573,0,0,0,0
721,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0
754,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0
759,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0
765,0,0,0,0,0,10,2,10,0,0,0,0,0,0,0,0
817,0,1,0,0,4,1,7,7,0,0,19,4,0,0,0,2
