"upeople_id","3scmChanges","19scmChanges","27scmChanges","70scmChanges","144scmChanges","163scmChanges","198scmChanges","251scmChanges","286scmChanges","297scmChanges","400scmChanges","488scmChanges","35scrChanges","49scrChanges","175scrChanges","256scrChanges","324scrChanges","1mslChanges","number_of_domain","country","3linesadded","3linesremoved","19linesadded","19linesremoved","27linesadded","27linesremoved","70linesadded","70linesremoved","144linesadded","144linesremoved","163linesadded","163linesremoved","251linesadded","251linesremoved","286linesadded","286linesremoved","297linesadded","297linesremoved","488linesadded","488linesremoved","35ReviewGotMerged","49ReviewGotMerged","175ReviewGotMerged","256ReviewGotMerged","324ReviewGotMerged"
4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,0,0,10,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1744,1670,0,0,0,0,5,0,0
9,0,4,2,1,1,0,0,0,9,2,0,0,0,0,0,4,0,274,6,6,0,0,494,316,170,25,0,0,24,46,0,0,0,0,16504,16501,350,350,0,0,0,0,0,3,0
20,37,2,269,6,56,3,0,1,18,3,0,2,14,20,11,2,18,525,5,6,12970,6723,281,13,64080,22169,2144,26,18434,11731,88,13,47,13,5756,83,281,13,324,2,14,14,8,0,11
710,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,1919,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
712,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,6,0,102,1,10,0,0,0,0,0,0,7774,6818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
714,0,0,0,15,0,0,0,0,16,0,0,0,0,19,0,24,0,1,2,8,0,0,0,0,0,0,10933,4146,0,0,0,0,0,0,1917,1502,0,0,0,0,0,12,0,13,0
1580,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,4,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,958,415,0,0,0,0,0,3,0,0,0
2624,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,89,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26862,11354,0,0,0,0,0,0,0,0,0
2626,0,0,0,0,0,0,0,0,29,0,0,0,0,45,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1551,1730,0,0,0,0,0,33,0,0,0
2628,0,1,0,0,0,0,0,0,29,0,0,0,0,54,0,0,0,24,5,7,0,0,1503,621,0,0,0,0,0,0,0,0,0,0,19195,7146,0,0,0,0,0,28,0,0,0
2679,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1803,0,0,0,0,0,0,0,0
395088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433476,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1
