"upeople_id","85scmChanges","152scmChanges","176scmChanges","223scmChanges","273scmChanges","308scmChanges","349scmChanges","145scrChanges","188scrChanges","241scrChanges","336scrChanges","367scrChanges","387scrChanges","404scrChanges","1mslChanges","number_of_domain","country","85linesadded","85linesremoved","152linesadded","152linesremoved","176linesadded","176linesremoved","223linesadded","223linesremoved","273linesadded","273linesremoved","308linesadded","308linesremoved","349linesadded","349linesremoved","145ReviewGotMerged","188ReviewGotMerged","241ReviewGotMerged","336ReviewGotMerged","367ReviewGotMerged","387ReviewGotMerged","404ReviewGotMerged"
1111,20,0,49,44,83,47,25,27,137,64,175,45,0,136,137,1,10,44653,103,0,0,34189,18290,15286,24239,29831,1313,27654,6769,20413,11053,27,104,54,146,43,0,122
1112,5,0,1,0,23,1,0,0,0,1,10,0,0,2,0,2,6,1042,145,0,0,256,215,0,0,8471,1372,11,6,0,0,0,0,0,5,0,0,2
1116,2,20,2,13,0,4,1,4,4,6,5,2,39,5,3,3,9,5565,6,3861,2849,5010,5009,9584,333,0,0,22429,2,20,1,4,2,6,5,2,33,5
1117,15,79,52,48,92,40,70,109,156,179,348,100,272,178,96,4,9,18299,16609,13058,6278,5479,3542,17799,16042,77816,74275,21265,20465,23869,8764,105,147,177,330,95,266,175
1119,1,2,1,4,1,13,0,0,5,13,0,1,8,1,0,1,10,9,3,250,146,2,2,77,27,1,2,4756,320,0,0,0,5,12,0,1,8,0
1880,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,82,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1881,0,0,12,0,0,2,0,0,0,2,0,0,0,11,15,1,9,0,0,0,0,4033,174,0,0,0,0,4,4,0,0,0,0,2,0,0,0,10
1882,0,0,2,0,0,0,0,0,0,0,0,0,0,0,17,3,9,0,0,0,0,42,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1883,0,0,2,0,1,0,0,0,0,0,3,0,0,2,4,1,6,0,0,0,0,67,28,0,0,115,5,0,0,0,0,0,0,0,3,0,0,1
2118,0,0,0,29,0,0,0,0,12,0,0,0,0,0,1,1,6,0,0,0,0,0,0,149538,127377,0,0,0,0,0,0,0,8,0,0,0,0,0
2119,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,9,0,0,0,0,0,0,40886,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2120,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,3,7,0,0,0,0,0,0,1136,81,0,0,0,0,0,0,0,0,0,0,0,0,0
2122,0,0,0,7,12,19,0,0,7,25,9,0,0,0,0,1,8,0,0,0,0,0,0,4057,667,3797,302,8322,2251,0,0,0,7,25,9,0,0,0
2123,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,6,0,0,0,0,0,0,222,144,0,0,0,0,0,0,0,0,0,0,0,0,0
2379,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,35,23,0,0,0,0,0,0,0,0,0,0,0
2380,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,556,71,0,0,0,0,0,0,0,0,0,0,0
2381,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,51,4,0,0,0,0,0,0,0,0,0,0,0
2382,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,99,77,0,0,0,0,0,0,0,0,0,0,0
2383,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,1,6,0,0,0,0,0,0,0,0,954,115,0,0,0,0,0,0,0,7,0,0,0
2386,0,0,0,0,9,0,0,0,0,0,12,0,0,0,8,2,10,0,0,0,0,0,0,0,0,9415,1085,0,0,0,0,0,0,0,9,0,0,0
2669,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8,5173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2702,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2703,0,0,0,0,0,3,0,0,0,12,0,1,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,549,403,0,0,0,0,12,0,1,0,0
2901,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
2902,0,0,0,0,0,0,2,0,0,0,3,1,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,616,11,0,0,0,3,1,0,0
64480,0,0,2,0,1,0,0,0,0,0,5,0,0,4,0,2,0,0,0,0,0,82,61,0,0,390,183,0,0,0,0,0,0,0,4,0,0,3
194322,3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2,0,6663,1818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
363832,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
378243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
379928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380045,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
