"upeople_id","103scmChanges","number_of_domain","country","103linesadded","103linesremoved"
341,2,1,7,16,13
411,22,4,6,1759,3357
412,6,2,7,1252,110
670,169,13,8,1785458,1470684
693,0,2,8,0,0
1401,18,4,6,7574,821
1407,130,1,7,2691,794
1449,0,4,8,0,0
1569,0,1,6,0,0
2972,0,2,8,0,0
3071,0,5,6,0,0
379690,0,6,0,0,0
380118,0,1,0,0,0
381082,0,1,0,0,0
381084,0,2,0,0,0
381114,0,1,0,0,0
382758,0,2,0,0,0
382814,0,1,0,0,0
383631,0,2,0,0,0
389186,0,1,0,0,0
395937,0,1,0,0,0
432600,0,1,0,0,0
432620,0,1,0,0,0
432896,0,1,0,0,0
433146,0,0,0,0,0
433641,0,0,0,0,0
433973,0,1,0,0,0
