"upeople_id","166scmChanges","192scmChanges","1mslChanges","number_of_domain","country","166linesadded","166linesremoved","192linesadded","192linesremoved"
200,0,3,69,4,9,0,0,54,70
273,5324,5636,1453,7,9,69258,66301,1169821,797742
300,0,0,129,4,8,0,0,0,0
371,1,0,72,3,10,2,3,0,0
462,330,41,312,1,9,13325,10059,112200,867
465,65,6,17,4,6,11325,11119,10,8
1073,194,5,0,1,8,2379,2334,65,12
1082,0,0,74,3,10,0,0,0,0
1626,706,41,108,3,7,1285,1269,191,170
1632,35,0,0,1,7,1072,1043,0,0
1822,8,0,281,1,7,139,139,0,0
2034,0,0,0,1,9,0,0,0,0
309802,0,0,0,3,0,0,0,0,0
380752,0,0,166,1,0,0,0,0,0
380768,0,0,13,1,0,0,0,0,0
380770,0,0,0,2,0,0,0,0,0
380789,0,0,49,3,0,0,0,0,0
380797,0,0,12,2,0,0,0,0,0
380805,0,0,20,2,0,0,0,0,0
381265,0,0,0,5,0,0,0,0,0
433088,0,0,0,1,0,0,0,0,0
433504,0,0,0,1,0,0,0,0,0
446983,0,0,0,0,0,0,0,0,0
