"upeople_id","14scmChanges","215scmChanges","327scmChanges","415scmChanges","50scrChanges","181scrChanges","229scrChanges","1mslChanges","number_of_domain","country","14linesadded","14linesremoved","215linesadded","215linesremoved","327linesadded","327linesremoved","415linesadded","415linesremoved","50ReviewGotMerged","181ReviewGotMerged","229ReviewGotMerged"
106,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0
152,0,0,0,129,0,1,98,12,4,8,0,0,0,0,0,0,144937,135529,0,0,75
172,773,574,8205,0,21,325,0,96,5,8,41600,28961,367764,233972,9628620,13162842,0,0,17,249,0
309,0,0,0,1744,0,0,0,1,2,9,0,0,0,0,0,0,898984,357374,0,0,0
392,0,0,36,0,0,0,0,2,3,8,0,0,0,0,365,183,0,0,0,0,0
432,0,0,0,0,0,0,0,71,2,9,0,0,0,0,0,0,0,0,0,0,0
554,0,0,0,0,0,0,0,20,4,10,0,0,0,0,0,0,0,0,0,0,0
1351,0,0,101,2,0,46,16,47,7,8,0,0,0,0,55010,4078,4203,26,0,42,14
1860,0,0,0,0,0,0,0,1,6,6,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,34,0,0,0,56,2,6,0,0,0,0,0,0,471,212,0,0,0
2106,0,46,250,0,0,0,0,1,3,6,0,0,12587,2416,187613,51822,0,0,0,0,0
2107,0,1,198,0,0,0,0,1,1,7,0,0,2942,0,39137,15084,0,0,0,0,0
2635,0,0,4,0,0,20,0,0,1,9,0,0,0,0,651,22,0,0,0,9,0
2639,0,0,51,0,0,356,0,0,6,8,0,0,0,0,6639,1216,0,0,0,283,0
2699,0,0,233,0,0,24,0,51,2,8,0,0,0,0,49117,21132,0,0,0,16,0
2762,0,0,231,0,0,0,0,1,2,9,0,0,0,0,56159,15432,0,0,0,0,0
2763,0,0,119,0,0,1,0,7,1,6,0,0,0,0,30018,7850,0,0,0,0,0
2765,0,0,69,0,0,0,0,2,1,9,0,0,0,0,30441,6619,0,0,0,0,0
2766,0,0,44,0,0,0,0,0,4,10,0,0,0,0,4480,938,0,0,0,0,0
2771,0,0,2,0,0,23,0,0,2,7,0,0,0,0,1153,80,0,0,0,0,0
2906,0,0,0,0,0,0,0,2,4,7,0,0,0,0,0,0,0,0,0,0,0
378243,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
378804,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
379145,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
380718,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
381162,0,0,0,0,0,0,0,35,2,0,0,0,0,0,0,0,0,0,0,0,0
381698,0,0,0,0,0,0,0,48,1,0,0,0,0,0,0,0,0,0,0,0,0
381702,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
381759,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
381777,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
381779,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
381787,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
381807,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
381834,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
381860,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
381917,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
382197,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
382303,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
382382,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
384772,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
432694,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
432764,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
434309,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
444342,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
444362,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
445339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
