"upeople_id","110scmChanges","285scmChanges","287scmChanges","466scmChanges","139scrChanges","451scrChanges","1mslChanges","2mslChanges","3mslChanges","4mslChanges","5mslChanges","number_of_domain","country","110linesadded","110linesremoved","285linesadded","285linesremoved","287linesadded","287linesremoved","466linesadded","466linesremoved","139ReviewGotMerged","451ReviewGotMerged"
25,13,630,0,0,0,0,0,0,79,0,0,1,7,536,117,66350,12276,0,0,0,0,0,0
1483,1268,61,0,0,5,0,2,14,248,29,347,7,6,1390765,1127208,35551,3365,0,0,0,0,2,0
1485,43,15,0,0,0,0,0,0,135,2,32,1,7,4002,2663,496,66,0,0,0,0,0,0
1489,173,5621,15,117,451,231,29,325,2279,551,80,5,9,9485,5518,2134821,1413529,28083,25295,49772,29575,398,204
1490,6,0,0,0,0,0,0,0,1,0,1,1,10,741,435,0,0,0,0,0,0,0,0
1491,12,0,0,0,0,0,0,0,0,0,0,1,10,1554,393,0,0,0,0,0,0,0,0
1493,2,0,0,0,0,0,0,0,0,0,5,2,7,52,12,0,0,0,0,0,0,0,0
2456,0,1,0,0,16,0,0,26,21,11,0,2,7,0,0,149,0,0,0,0,0,1,0
2510,0,144,0,10,47,122,0,262,238,57,0,1,9,0,0,38967,47066,0,0,1229,305,38,119
2582,0,177,0,0,0,0,0,0,87,0,0,1,6,0,0,31257,12469,0,0,0,0,0,0
2583,0,860,0,0,0,0,1,0,94,16,0,4,9,0,0,158894,109013,0,0,0,0,0,0
2584,0,160,0,0,0,0,0,0,39,0,0,2,7,0,0,43895,41551,0,0,0,0,0,0
2585,0,1237,10,0,40,0,36,28,1354,389,121,4,7,0,0,271805,50796,5,4,0,0,26,0
2587,0,103,0,0,30,0,1,98,345,67,6,3,8,0,0,48810,14151,0,0,0,0,27,0
2588,0,111,0,0,0,0,0,0,35,1,0,4,9,0,0,38333,17198,0,0,0,0,0,0
2589,0,252,0,0,5,0,1,1,261,44,0,1,9,0,0,59854,39949,0,0,0,0,3,0
2590,0,141,0,0,0,0,0,0,34,0,0,2,7,0,0,24984,13582,0,0,0,0,0,0
2591,0,147,0,0,31,0,0,56,582,63,0,4,10,0,0,104112,60845,0,0,0,0,13,0
2592,0,521,0,0,0,0,0,0,258,24,0,1,10,0,0,214753,160809,0,0,0,0,0,0
2593,0,14,0,0,0,0,0,0,114,2,0,1,10,0,0,3154,3018,0,0,0,0,0,0
2594,0,8,0,0,0,0,0,0,12,0,0,3,7,0,0,118,90,0,0,0,0,0,0
2595,0,19,0,0,0,0,0,0,11,0,0,1,7,0,0,26418,24824,0,0,0,0,0,0
2596,0,105,0,0,0,0,0,0,86,3,0,3,10,0,0,17069,12032,0,0,0,0,0,0
2597,0,172,0,0,0,0,0,0,8,7,0,2,8,0,0,41306,30489,0,0,0,0,0,0
2598,0,42,0,0,0,0,0,0,8,0,0,3,7,0,0,11218,2077,0,0,0,0,0,0
2599,0,13,0,0,1,0,0,0,2,0,0,1,8,0,0,11768,2874,0,0,0,0,1,0
2600,0,202,0,3,135,39,0,139,106,87,3,5,7,0,0,31803,20313,0,0,2,2,118,38
2605,0,197,0,0,50,0,0,98,27,18,0,3,7,0,0,133219,104756,0,0,0,0,45,0
2608,0,2,0,0,0,0,0,0,2,0,0,1,8,0,0,2954,460,0,0,0,0,0,0
2614,0,21,0,1,55,1,0,83,76,1,0,3,9,0,0,2958,1981,0,0,1,8,53,1
2618,0,54,0,0,0,0,0,0,21,2,0,3,8,0,0,5294,4656,0,0,0,0,0,0
2622,0,6,0,0,59,0,0,131,70,84,6,3,8,0,0,1625,184,0,0,0,0,49,0
378228,0,1,0,0,10,0,0,34,7,1,0,3,0,0,0,8,4,0,0,0,0,6,0
378243,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
382535,0,0,0,0,0,0,0,0,42,1,0,1,0,0,0,0,0,0,0,0,0,0,0
382551,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
384963,0,0,0,0,0,0,0,0,15,13,4,1,0,0,0,0,0,0,0,0,0,0,0
384972,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
385004,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
385010,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
447422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
